counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,17,4,21,3,7,19,6,0,18,3,0,22,9,1
NONE_MPOLY,8,12,8,18,22,6,13,3,7,11,3,6,4,5
SBX_MNUF,14,6,31,9,16,33,5,8,35,7,4,34,6,2
SBX_MPOLY,5,16,11,17,28,10,14,6,7,12,6,8,14,3
SBX_NONE,10,23,12,31,551,12,22,60,6,18,64,15,25,59
SPC_MNUF,14,7,36,7,20,25,8,4,34,8,4,27,10,5
SPC_MPOLY,2,11,6,15,23,7,19,9,4,9,8,4,12,4
SPC_NONE,1,6,5,6,56,2,5,16,4,9,21,2,6,12
TPC_MNUF,12,6,33,7,9,34,6,3,28,7,1,31,7,4
TPC_MPOLY,2,10,11,18,13,15,7,2,9,18,2,13,11,5
TPC_NONE,1,4,1,5,54,5,5,15,1,7,18,5,7,19
UC_MNUF,13,11,28,9,21,28,9,5,27,9,3,27,8,2
UC_MPOLY,7,12,6,8,27,10,12,5,6,13,8,4,10,6
UC_NONE,0,2,2,6,61,3,5,17,3,6,6,4,8,18
