State,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
SBX_MNUF,4,4,1,0,5,0,0,0,0,0,0,0
SBX_MPOLY,3,2,0,0,3,1,2,0,0,0,0,0
SBX_NONE,1,1,1,0,1,0,0,0,0,0,0,1
SPC_MNUF,0,0,0,3,1,0,0,0,0,0,0,0
SPC_MPOLY,3,2,2,1,15,3,2,1,1,2,1,2
SPC_NONE,1,0,0,0,4,3,1,1,0,0,0,0
TPC_MNUF,0,1,1,0,1,2,0,0,0,0,1,0
TPC_MPOLY,1,0,0,0,0,0,1,1,0,0,1,0
TPC_NONE,1,0,0,0,0,0,0,0,0,0,0,0
UC_MNUF,0,0,0,0,2,0,0,0,0,0,0,0
UC_MPOLY,1,0,0,0,0,1,0,0,0,0,0,1
UC_NONE,0,1,0,0,2,0,0,1,0,0,0,0
