ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BDZEDS[M],0,1,100,100,1.0,True,True,"[0, 5, 15, 38, 46, 6, 62, 6]",[],"[0.37003312775323616, 5.788129140443627, 15.557408240288735, 38.179042004145074, 46.61619169773349, 6.0180698096885115, 62.31918427379583, 6.80467758447603]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7121894218849307,,,,989064704,4710692,,,,,,"[0, 5, 15, 38, 46, 6, 62, 6]",0.7305772862022099,-1.27804229894668e-05,0.375,0.125,0.0,0.125,1.0,0,0,0,100,0,0.0,BEST,False,False,77,True,True,GREEDY,,,GREEDY_MUT
BPRJAS[M],1,2,100,98,1.0,True,True,"[22, 0, 4, 38, 28, 7, 55, 23]",[],"[22.26641442150174, 0.774931285695745, 4.522743305892783, 38.67901823395985, 28.459364116689184, 7.325413536187423, 55.10112587589288, 23.603650189362995]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7131795683735243,,,,986646528,4302628,,,,,,"[22, 0, 4, 38, 28, 7, 55, 23]",0.7331572285934936,-2.1499731127527788e-05,0.125,0.375,0.0,0.0,0.98,0,0,0,100,0,0.0,BEST,False,False,63,True,True,GREEDY,,,GREEDY_MUT
BFMUMK[M][M][M],2,3,100,96,1.0,True,True,"[14, 4, 20, 22, 28, 7, 38, 55]",[],"[14.770650129207164, 4.421412078521134, 20.769818404302363, 22.805204453552516, 28.0046686648282, 7.54327976897345, 38.36543991622623, 55.856251510600444]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7155858348456797,,,,862026752,4184228,,,,,,"[14, 4, 20, 22, 27, 7, 38, 55]",0.7350419130915531,-5.91774798608391e-06,0.0,0.0,0.125,0.0,0.96,0,0,0,100,0,0.0,BEST,False,False,38,True,True,GREEDY,,,GREEDY_MUT
BZOURQ[M],3,4,100,99,1.0,True,True,"[14, 7, 15, 38, 46, 6, 31, 23]",[],"[14.473836636609041, 7.008507103748741, 15.002431208534496, 38.98679535924261, 46.32207861580178, 6.581858372640007, 31.071755023433685, 23.734018248061535]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7172302687559283,,,,1552890880,4078628,,,,,,"[14, 7, 15, 38, 46, 6, 31, 23]",0.7368675925941162,-0.0001289867242026,0.125,0.625,0.0,0.0,0.99,0,0,0,100,0,0.0,BEST,False,False,17,True,True,GREEDY,,,GREEDY_MUT
BZBUXV[M],4,5,100,99,1.0,True,True,"[14, 6, 4, 6, 46, 6, 7, 23]",[],"[14.644477814680489, 6.0225628749455105, 4.634998212875984, 6.998100902749122, 46.46480264892253, 6.9833828938311155, 7.814779109132142, 23.98072529350732]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7087362726553432,,,,868405760,2627620,,,,,,"[14, 6, 4, 6, 46, 6, 7, 23]",0.7286597803355511,-0.0002253594973379,0.25,0.375,0.0,0.0,0.99,0,0,0,100,0,0.0,BEST,False,False,125,True,True,GREEDY,,,GREEDY_MUT
BPXWOK[M],5,6,100,99,1.0,True,True,"[2, 6, 18, 36, 46, 6, 39, 55]",[],"[2.1359969159178656, 6.860079759468168, 18.427679541470123, 36.87655880197974, 46.57477077582559, 6.2579428840064315, 39.62636661321469, 55.71018261445554]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7159249060093048,,,,695790592,4765860,,,,,,"[2, 6, 18, 36, 46, 6, 39, 55]",0.7361586814066436,-7.264841493936913e-07,0.5,0.125,0.0,0.0,0.99,0,0,0,100,0,0.0,BEST,False,False,30,True,True,GREEDY,,,GREEDY_MUT
BLTJUI[M],6,7,100,97,1.0,True,True,"[0, 7, 15, 47, 46, 6, 22, 55]",[],"[0.8124692515676074, 7.2329674793458585, 15.618378788590546, 47.59131653169933, 46.42870844030778, 6.375823599471939, 22.389584167829288, 55.605565005014554]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7152320969460297,,,,1793980416,6112164,,,,,,"[0, 7, 15, 47, 46, 6, 22, 55]",0.7346716062744859,-5.843907648817037e-05,0.125,0.375,0.0,0.0,0.97,0,0,0,100,0,0.0,BEST,False,False,41,True,True,GREEDY,,,GREEDY_MUT
BSSOAI[M],7,8,100,98,1.0,True,True,"[7, 31, 23, 23, 46, 7, 55, 55]",[],"[7.6128301948249915, 31.75976573365396, 23.016969036667355, 23.228226946842632, 46.92112196908355, 7.935586078174012, 55.21703225435234, 55.464528648664206]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7178939762632642,,,,3035730944,8045092,,,,,,"[7, 31, 22, 23, 46, 7, 55, 55]",0.7375153408016204,-8.694565546418787e-06,0.0,0.5,0.125,0.0,0.98,0,0,0,100,0,0.0,BEST,False,False,13,True,True,GREEDY,,,GREEDY_MUT
BUBHIF[M],8,9,100,99,1.0,True,True,"[14, 30, 30, 38, 47, 7, 22, 23]",[],"[14.46863092014199, 30.66671690321341, 30.22638616086684, 38.60186999191965, 47.78761975102703, 7.120752095382527, 22.93778780410002, 23.39473205038793]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.715435492626851,,,,2266127360,4635940,,,,,,"[14, 30, 30, 38, 47, 7, 22, 23]",0.7342740116521141,-8.881417005945913e-06,0.875,0.125,0.0,0.0,0.99,0,0,0,100,0,0.0,BEST,False,False,39,True,True,GREEDY,,,GREEDY_MUT
BGXRVC[M],9,10,100,100,1.0,True,True,"[18, 15, 4, 38, 46, 6, 31, 23]",[],"[18.461910470366135, 15.994937837840089, 4.577448262099957, 38.71370209010621, 46.07412712329667, 6.704942668486745, 31.670049658360544, 23.066684060620666]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7153178486664232,,,,1172323328,3557284,,,,,,"[18, 15, 4, 38, 46, 6, 31, 23]",0.7310281554298229,-0.0001877290892314,0.125,0.625,0.0,0.375,1.0,0,0,0,100,0,0.0,BEST,False,False,40,True,True,GREEDY,,,GREEDY_MUT
