CROSS,SBX_MPOLY,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
SBX_MPOLY,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
SPC_MNUF,0.002304,0.152074,0.186636,0.149770,0.147465,0.119816,0.089862,0.043779,0.043779,0.064516
SPC_MPOLY,0.000000,0.146293,0.190381,0.134269,0.136273,0.120240,0.120240,0.050100,0.056112,0.046092
SPC_NONE,0.000000,0.181360,0.168766,0.108312,0.123426,0.138539,0.105793,0.045340,0.073048,0.055416
TPC_MNUF,0.000000,0.127321,0.159151,0.124668,0.132626,0.164456,0.090186,0.068966,0.063660,0.068966
TPC_MPOLY,0.000000,0.122249,0.166259,0.134474,0.112469,0.117359,0.146699,0.070905,0.073350,0.056235
TPC_NONE,0.000000,0.153153,0.135135,0.150150,0.108108,0.171171,0.108108,0.063063,0.054054,0.057057
UC_MNUF,0.000000,0.171598,0.177515,0.124260,0.130178,0.136095,0.088757,0.035503,0.094675,0.041420
UC_MPOLY,0.000000,0.107527,0.172043,0.129032,0.123656,0.145161,0.112903,0.080645,0.059140,0.069892
UC_NONE,0.000000,0.157576,0.139394,0.145455,0.121212,0.145455,0.121212,0.060606,0.066667,0.042424
