Execution,Generation,Crossover_type,Mutation_type,mean_accuracy,std_accuracy,mean_flops,std_flops,mean_params,std_params,HV,dHV,succ_cross,succ_mut,GD,search_name,GOs_history,GOs_count
1,1,UC,MPOLY,0.6589247430699678,0.01784540578788353,1449149350.4,948649084.2110877,2746002.08,1324294.508612036,0.6751299639851616,0,0.22,0.205,7.801212121212121,GREEDY_HV,['SBX_MNUF'],{'SBX_MNUF': 1}
1,2,UC,MPOLY,0.662776556362808,0.018194135186546532,1106825191.68,616240407.9554801,2180476.32,943631.682073921,0.6908954211537189,0.015765457168557373,0.14,0.065,7.714141414141414,GREEDY_HV,"['SBX_MNUF', 'TPC_MPOLY']","{'SBX_MNUF': 1, 'TPC_MPOLY': 1}"
1,3,UC,MPOLY,0.6655330145377804,0.020516875874843937,871521470.72,633424229.9343519,2065062.56,1103707.4972016125,0.692724551709863,0.0018291305561440874,0.22,0.08,7.6183838383838385,GREEDY_HV,"['SBX_MNUF', 'TPC_MPOLY', 'SPC_MPOLY']","{'SBX_MNUF': 1, 'TPC_MPOLY': 1, 'SPC_MPOLY': 1}"
1,4,UC,MPOLY,0.6685701677112758,0.019230516781181334,878787363.84,656810267.4988141,1938004.64,1106536.607331502,0.6972407174036043,0.0045161656937412475,0.15,0.1,7.51070707070707,GREEDY_HV,"['SBX_MNUF', 'TPC_MPOLY', 'SPC_MPOLY', 'SBX_MPOLY']","{'SBX_MNUF': 1, 'TPC_MPOLY': 1, 'SPC_MPOLY': 1, 'SBX_MPOLY': 1}"
1,5,UC,MPOLY,0.6728636297834111,0.015738677547296916,791603223.04,632155523.0365328,1962636.96,1157530.7918436897,0.6990624140162061,0.0018216966126017864,0.14,0.055,7.428484848484849,GREEDY_HV,"['SBX_MNUF', 'TPC_MPOLY', 'SPC_MPOLY', 'SBX_MPOLY', 'TPC_NONE']","{'SBX_MNUF': 1, 'TPC_MPOLY': 1, 'SPC_MPOLY': 1, 'SBX_MPOLY': 1, 'TPC_NONE': 1}"
1,6,UC,MPOLY,0.6720684879509363,0.01962285980458883,741770945.28,677281395.682318,1852240.8,1153455.7568006848,0.7052349593148495,0.006172545298643417,0.1,0.06,7.225858585858586,GREEDY_HV,"['SBX_MNUF', 'TPC_MPOLY', 'SPC_MPOLY', 'SBX_MPOLY', 'TPC_NONE', 'UC_NONE']","{'SBX_MNUF': 1, 'TPC_MPOLY': 1, 'SPC_MPOLY': 1, 'SBX_MPOLY': 1, 'TPC_NONE': 1, 'UC_NONE': 1}"
1,7,UC,MPOLY,0.6756359390038403,0.02202199072167664,711784957.44,604398728.1036644,1889428.64,1018583.8198306072,0.7083263347520696,0.0030913754372201563,0.13,0.03,7.1153535353535355,GREEDY_HV,"['SBX_MNUF', 'TPC_MPOLY', 'SPC_MPOLY', 'SBX_MPOLY', 'TPC_NONE', 'UC_NONE', 'SPC_NONE']","{'SBX_MNUF': 1, 'TPC_MPOLY': 1, 'SPC_MPOLY': 1, 'SBX_MPOLY': 1, 'TPC_NONE': 1, 'UC_NONE': 1, 'SPC_NONE': 1}"
1,8,UC,MPOLY,0.6741776011287014,0.02355414566969047,569774337.28,416105361.6458523,1675051.68,982411.6833402469,0.7109393176750034,0.002612982922933771,0.1,0.03,6.892525252525252,GREEDY_HV,"['SBX_MNUF', 'TPC_MPOLY', 'SPC_MPOLY', 'SBX_MPOLY', 'TPC_NONE', 'UC_NONE', 'SPC_NONE', 'TPC_NONE']","{'SBX_MNUF': 1, 'TPC_MPOLY': 1, 'SPC_MPOLY': 1, 'SBX_MPOLY': 1, 'TPC_NONE': 2, 'UC_NONE': 1, 'SPC_NONE': 1}"
1,9,UC,MPOLY,0.6771761705337288,0.020220783640745803,548736820.48,336688261.6929365,1684478.88,999348.7895135041,0.7127778566834579,0.0018385390084545428,0.07,0.025,6.7672727272727276,GREEDY_HV,"['SBX_MNUF', 'TPC_MPOLY', 'SPC_MPOLY', 'SBX_MPOLY', 'TPC_NONE', 'UC_NONE', 'SPC_NONE', 'TPC_NONE', 'SPC_MPOLY']","{'SBX_MNUF': 1, 'TPC_MPOLY': 1, 'SPC_MPOLY': 2, 'SBX_MPOLY': 1, 'TPC_NONE': 2, 'UC_NONE': 1, 'SPC_NONE': 1}"
1,10,UC,MPOLY,0.676987004417828,0.021238742833157357,536970945.28,323347618.5113092,1657856.16,986022.4359874853,0.7141035407045184,0.0013256840210604803,0.1,0.075,6.715959595959596,GREEDY_HV,"['SBX_MNUF', 'TPC_MPOLY', 'SPC_MPOLY', 'SBX_MPOLY', 'TPC_NONE', 'UC_NONE', 'SPC_NONE', 'TPC_NONE', 'SPC_MPOLY', 'TPC_MPOLY']","{'SBX_MNUF': 1, 'TPC_MPOLY': 2, 'SPC_MPOLY': 2, 'SBX_MPOLY': 1, 'TPC_NONE': 2, 'UC_NONE': 1, 'SPC_NONE': 1}"
