counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,3,0,0,2,1,1,1,0,1,1,0,1,0,4
NONE_MPOLY,0,2,1,8,0,1,3,13,1,3,12,1,7,12
SBX_MNUF,0,2,0,4,1,2,3,4,4,3,4,3,0,2
SBX_MPOLY,1,5,7,28,6,0,12,52,3,13,47,4,16,45
SBX_NONE,0,2,0,6,4,2,4,17,1,6,14,1,4,28
SPC_MNUF,1,0,4,6,2,3,2,5,4,1,11,5,3,7
SPC_MPOLY,1,3,0,11,6,2,10,28,2,10,34,1,8,38
SPC_NONE,2,19,1,38,18,9,29,146,7,22,144,9,35,141
TPC_MNUF,0,0,3,1,0,5,1,9,4,0,6,5,1,13
TPC_MPOLY,1,4,1,16,3,0,10,24,0,14,25,1,11,27
TPC_NONE,1,9,4,48,18,8,34,150,10,20,143,5,25,164
UC_MNUF,1,0,3,3,0,8,2,7,5,4,7,1,3,5
UC_MPOLY,0,3,1,12,4,3,10,21,2,7,37,5,5,30
UC_NONE,4,15,5,50,25,10,34,147,7,31,158,8,21,175
