ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BLOKUN[M][M][M][M][M][M][M],0,1,100,60,1.0,True,True,"[2, 28, 46, 38, 46, 6, 27, 23]",[],"[2.0360405046444243, 28.68276788401421, 46.25892672325904, 38.54598619425818, 46.45502774046243, 6.551353552262807, 27.753963404902866, 23.193422705194433]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7121873448408971,,,,1298554880,3763748,,,,,,"[2, 27, 46, 38, 46, 6, 28, 23]",0.7201998439295139,-1.4777962860423877e-05,0.0,0.0,0.25,0.0,0.6,0,0,0,100,0,0.0,BEST,False,False,29,True,True,GREEDY,,,GREEDY_GD
BLMAX[M][M][M][M][M][M][M][M][M][M][M][M],1,2,100,48,1.0,True,True,"[18, 28, 39, 38, 55, 7, 22, 62]",[],"[18.2796166113473, 28.182401938264427, 39.46137165526184, 38.69296301560027, 55.628811767077025, 7.572464677663156, 22.160401289269938, 62.842108065099524]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7135022937825953,,,,1717958656,6874788,,,,,,"[19, 27, 39, 38, 55, 6, 22, 62]",0.7253553491212631,-2.2541010062715472e-05,0.0,0.0,0.375,0.0,0.48,0,0,0,100,0,0.0,BEST,False,False,19,True,True,GREEDY,,,GREEDY_GD
BTAKWI[M][M][M][M][M][M][M][M][M],2,3,100,26,1.0,True,True,"[14, 3, 0, 45, 39, 38, 38, 39]",[],"[14.146828476024119, 3.0946990088573516, 0.0, 45.7562597749497, 39.65744395017275, 38.743138331411714, 38.33794213081456, 39.72267282912165]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7052909447713663,,,,1048837120,4086564,,,,,,"[14, 3, 0, 46, 40, 38, 38, 39]",0.7154320707032841,-3.1641105823210225e-05,0.0,0.0,0.25,0.0,0.26,0,0,0,100,0,0.0,BEST,False,False,133,True,True,GREEDY,,,GREEDY_GD
BNOBJO[M][M][M][M][M][M][M][M][M][M][M][M][M][M][M][M],3,4,100,72,1.0,True,True,"[20, 7, 27, 36, 52, 6, 11, 55]",[],"[20.864286157584694, 7.054790365708611, 27.596444624017288, 36.2911555843432, 52.761486179413005, 6.406965814867732, 11.600184036517359, 55.01308651378417]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [64, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7075267367740464,,,,1260196352,3863972,,,,,,"[20, 6, 27, 36, 52, 6, 11, 55]",0.7204211152243775,-1.3421872219199216e-06,0.0,0.0,0.125,0.0,0.72,0,0,0,100,0,0.0,BEST,False,False,94,True,True,GREEDY,,,GREEDY_GD
BGSLXU[M][M][M][M][M][M][M],4,5,100,53,1.0,True,True,"[12, 28, 15, 38, 20, 39, 22, 39]",[],"[12.263079520714442, 28.335813617378093, 15.626378086434135, 38.46004670256249, 20.72094116036303, 39.096496162785435, 22.009724049956166, 39.033886324033254]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7116203035467987,,,,1414879232,3897380,,,,,,"[12, 28, 15, 38, 20, 38, 22, 39]",0.7227265686248842,-1.0962927762703243e-05,0.0,0.0,0.125,0.0,0.53,0,0,0,100,0,0.0,BEST,False,False,35,True,True,GREEDY,,,GREEDY_GD
BVZJQG[M][M][M][M][M][M][M][M][M][M][M][M],5,6,100,88,1.0,True,True,"[46, 61, 39, 38, 55, 30, 30, 6]",[],"[46.93426957603924, 61.74094030719561, 39.48792490590857, 38.40630078355738, 55.08137192430895, 30.397857525585287, 30.0830794462836, 6.145047877891077]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7147012814499241,,,,7242570240,8043172,,,,,,"[47, 61, 39, 38, 55, 30, 30, 6]",0.7196331916712821,-3.863395731107389e-07,0.0,0.0,0.125,0.0,0.88,0,0,0,100,0,0.0,BEST,False,False,10,True,True,GREEDY,,,GREEDY_GD
BZKNDC[M][M][M][M][M][M][M][M],6,7,100,57,1.0,True,True,"[42, 51, 47, 38, 36, 6, 44, 23]",[],"[42.68519013581014, 51.22758767609464, 47.40298120638306, 38.888156259559594, 36.60379231492768, 6.8205761081425464, 44.27029722353393, 23.154684997677165]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [256, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7089324372163406,,,,2663081984,4489636,,,,,,"[42, 50, 46, 38, 36, 6, 44, 23]",0.7178468477375243,-1.4178700221245675e-05,0.0,0.0,0.25,0.0,0.57,0,0,0,100,0,0.0,BEST,False,False,72,True,True,GREEDY,,,GREEDY_GD
BIUOKY[M][M][M][M][M][M][M][M][M][M][M],7,8,100,96,1.0,True,True,"[48, 5, 22, 38, 28, 22, 5, 23]",[],"[48.669049918173954, 5.81452319407819, 22.062507834282368, 38.22590394962627, 28.264720656551297, 22.42541336825289, 5.131446446784424, 23.79136788727447]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 3]}, {'CONV': [32, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7063233856140123,,,,1216274944,2544036,,,,,,"[48, 4, 22, 38, 28, 22, 5, 23]",0.7133578849449947,-2.536661090057901e-05,0.0,0.0,0.125,0.0,0.96,0,0,0,100,0,0.0,BEST,False,False,114,True,True,GREEDY,,,GREEDY_GD
BTQJQC[M][M][M][M][M][M][M][M][M][M][M][M][M][M][M][M][M][M][M][M][M],8,9,100,95,1.0,True,True,"[34, 19, 38, 38, 36, 30, 38, 55]",[],"[34.54059547957283, 19.30415545606813, 38.40490213771996, 38.1717059722756, 36.067279427796585, 30.95646330120417, 38.4629655695058, 55.08104201032293]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7078473711889737,,,,1277228032,4895780,,,,,,"[34, 19, 38, 38, 35, 30, 38, 55]",0.717394858498755,-1.4625773075871429e-05,0.0,0.0,0.125,0.0,0.95,0,0,0,100,0,0.0,BEST,False,False,88,True,True,GREEDY,,,GREEDY_GD
BPDLFX[M][M][M][M][M][M][M][M][M][M][M][M][M][M][M][M][M][M],9,10,100,99,1.0,True,True,"[62, 28, 39, 36, 23, 38, 39, 55]",[],"[62.91701116733738, 28.291756297369833, 39.738281953018465, 36.27875357000955, 23.848411337437312, 38.414790006622795, 39.20402645282513, 55.608766305898804]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7155592304809469,,,,4011791360,7346724,,,,,,"[62, 28, 39, 36, 23, 38, 38, 55]",0.7236160349193312,-8.772706252435647e-06,0.0,0.0,0.125,0.0,0.99,0,0,0,100,0,0.0,BEST,False,False,6,True,True,GREEDY,,,GREEDY_GD
