ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
QCIZ,42,1,1,False,False,"[1, 0, 0, 1, 2, 1, 1, 0, 1, 1, 2, 0, 1, 2, 1, 2, -1, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'CONV': [32, 5]}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,14,"[0.23149999976158142, 0.1477999985218048, 0.31049999594688416, 0.21770000457763672, 0.26840001344680786, 0.3472999930381775, 0.3880000114440918, 0.2930000126361847, 0.5016000270843506, 0.43309998512268066, 0.45579999685287476, 0.42149999737739563, 0.4830000102519989, 0.4681999981403351]","[3.462761640548706, 4.981452465057373, 2.7214837074279785, 5.9145989418029785, 4.665955543518066, 3.3548312187194824, 2.225099563598633, 3.5600757598876953, 1.4907702207565308, 2.0964949131011963, 2.007668972015381, 2.194904088973999, 1.6406464576721191, 1.9333914518356323]",0.468199998,1.933391452,672270174,145.5017612,4850602,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,6,9,20,20,False,False
UNJF,42,1,1,False,False,"[1, 1, 0, 1, 3, 0, 2, -1, 0, 1, 3, 1, 1, 0, 0, 2, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,15,"[0.3788999915122986, 0.20309999585151672, 0.23499999940395355, 0.3100999891757965, 0.4465000033378601, 0.3734999895095825, 0.4142000079154968, 0.23499999940395355, 0.47589999437332153, 0.459199994802475, 0.45239999890327454, 0.4377000033855438, 0.498199999332428, 0.45339998602867126, 0.47530001401901245]","[1.6646716594696045, 2.258894920349121, 2.3819069862365723, 2.14876651763916, 1.5054810047149658, 1.8493492603302002, 1.7929283380508423, 2.5705759525299072, 1.4860531091690063, 1.5624488592147827, 1.7258888483047485, 1.7528743743896484, 1.384030818939209, 1.7205023765563965, 1.7354203462600708]",0.475300014,1.735420346,591933086,157.0946751,2392490,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,6,9,20,20,False,False
SAAG,42,1,1,False,False,"[1, 3, 1, 1, 2, 0, 1, 0, 0, 1, 2, 1, 1, 3, 0, 2, -1, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [128, 3]}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,15,"[0.4424000084400177, 0.2840999960899353, 0.34790000319480896, 0.5160999894142151, 0.5403000116348267, 0.5443999767303467, 0.5685999989509583, 0.6244000196456909, 0.6733999848365784, 0.7020000219345093, 0.6967999935150146, 0.5999000072479248, 0.6765000224113464, 0.6869000196456909, 0.6919999718666077]","[1.5509181022644043, 2.44551420211792, 1.9894646406173706, 1.3199111223220825, 1.3117663860321045, 1.3381563425064087, 1.2120009660720825, 1.0675030946731567, 0.9223458766937256, 0.8607853651046753, 0.8556429743766785, 1.2150856256484985, 0.9480929970741272, 0.923738956451416, 0.9155330061912537]",0.691999972,0.915533006,770762718,156.6269803,4719146,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,6,9,20,20,False,False
KATS,42,1,1,False,False,"[1, 3, 0, 1, 3, 0, 1, 3, 1, 1, 0, 1, 2, -1, 1, 1, 3, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,15,"[0.23639999330043793, 0.11389999836683273, 0.11289999634027481, 0.12890000641345978, 0.3497999906539917, 0.28790000081062317, 0.37290000915527344, 0.2906999886035919, 0.20430000126361847, 0.4027000069618225, 0.35280001163482666, 0.23739999532699585, 0.4424999952316284, 0.45750001072883606, 0.5295000076293945]","[2.1703388690948486, 3.0970897674560547, 3.2237141132354736, 3.6200129985809326, 1.9345638751983643, 2.2002456188201904, 1.8489220142364502, 2.044145345687866, 2.4496214389801025, 1.731046438217163, 1.9759248495101929, 3.1282386779785156, 1.610232949256897, 1.5725183486938477, 1.3098936080932617]",0.529500008,1.309893608,2527684590,160.7797306,6616874,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,6,9,20,20,False,False
VHVH,42,1,1,False,False,"[1, 0, 1, 1, 0, 0, 1, 3, 0, 1, 3, 1, 2, -1, 1, 1, 0, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [32, 3]}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,6,"[0.4056999981403351, 0.311599999666214, 0.33230000734329224, 0.3626999855041504, 0.3578999936580658, 0.350600004196167]","[1.732396125793457, 2.1788368225097656, 2.750493288040161, 2.3056159019470215, 2.1056206226348877, 2.3818376064300537]",0.350600004,2.381837606,1790828398,64.15434384,2429130,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,6,9,20,20,False,False
THDE,42,1,1,False,False,"[1, 0, 1, 2, -1, 1, 1, 1, 1, 1, 2, 0, 2, -1, 0, 1, 2, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,8,"[0.38029998540878296, 0.27250000834465027, 0.5034999847412109, 0.3935999870300293, 0.3815999925136566, 0.2971999943256378, 0.3276999890804291, 0.4115999937057495]","[1.6489099264144897, 3.209444046020508, 1.4320704936981201, 2.2798361778259277, 1.9509555101394653, 2.62284255027771, 2.346992015838623, 2.151686191558838]",0.411599994,2.151686192,32968142,81.47530055,1130442,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,6,9,20,20,False,False
XQJL,42,1,1,False,False,"[1, 3, 0, 1, 2, 0, 2, -1, 0, 1, 3, 1, 1, 0, 0, 2, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,15,"[0.19110000133514404, 0.3269999921321869, 0.31450000405311584, 0.13819999992847443, 0.22059999406337738, 0.25699999928474426, 0.3345000147819519, 0.26969999074935913, 0.2345000058412552, 0.39730000495910645, 0.23880000412464142, 0.3319000005722046, 0.3953000009059906, 0.2434999942779541, 0.47999998927116394]","[2.345170497894287, 1.921600580215454, 1.8957068920135498, 2.964071273803711, 3.0243735313415527, 2.683560848236084, 1.9845513105392456, 3.0028040409088135, 2.5117807388305664, 1.8562359809875488, 2.8596439361572266, 2.081470012664795, 1.978551983833313, 2.6971781253814697, 1.5213019847869873]",0.479999989,1.521301985,538488478,152.2583964,1726250,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,6,9,20,20,False,False
JXQQ,42,1,1,False,False,"[1, 3, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 2, -1, 0, 1, 0, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [32, 5]}, {'CONV': [32, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,15,"[0.4196999967098236, 0.43380001187324524, 0.517300009727478, 0.5626000165939331, 0.5999000072479248, 0.578499972820282, 0.5483999848365784, 0.6535000205039978, 0.6212000250816345, 0.6236000061035156, 0.5827000141143799, 0.6643000245094299, 0.654699981212616, 0.6809999942779541, 0.614799976348877]","[1.6010745763778687, 1.676053762435913, 1.4354288578033447, 1.2952181100845337, 1.1396681070327759, 1.2181847095489502, 1.3765935897827148, 0.9930998086929321, 1.0694063901901245, 1.0749385356903076, 1.3612021207809448, 0.9886096715927124, 0.9936800003051758, 0.9280187487602234, 1.2081220149993896]",0.614799976,1.208122015,292760862,153.5176673,4504714,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,6,9,20,20,False,False
GVAV,42,1,1,False,False,"[1, 3, 0, 2, -1, 1, 1, 2, 1, 1, 3, 0, 2, -1, 1, 1, 1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,12,"[0.10400000214576721, 0.20440000295639038, 0.22849999368190765, 0.18690000474452972, 0.17870000004768372, 0.15760000050067902, 0.2944999933242798, 0.24969999492168427, 0.13490000367164612, 0.2175000011920929, 0.26809999346733093, 0.2084999978542328]","[4.453353404998779, 3.923762083053589, 3.892091751098633, 3.769413948059082, 4.245138168334961, 4.429532051086426, 2.6443469524383545, 3.2267651557922363, 5.706565856933594, 4.335762977600098, 2.7533910274505615, 3.8149375915527344]",0.208499998,3.814937592,145089118,121.3225663,1803978,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,6,9,20,20,False,False
CMMS,42,1,1,False,False,"[1, 2, 0, 1, 2, 1, 1, 2, 0, 1, 1, 1, 1, 1, 0, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'CONV': [128, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,11,"[0.27090001106262207, 0.22450000047683716, 0.29109999537467957, 0.36660000681877136, 0.2069000005722046, 0.45159998536109924, 0.3005000054836273, 0.41179999709129333, 0.44600000977516174, 0.3246999979019165, 0.35260000824928284]","[2.3163981437683105, 3.326716423034668, 3.1204771995544434, 2.385610818862915, 2.6643052101135254, 1.5581010580062866, 3.291231632232666, 1.7852107286453247, 1.6922194957733154, 4.121145725250244, 2.881126642227173]",0.352600008,2.881126642,825697598,113.3943045,4777354,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,6,9,20,20,False,False
