ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
QBEE,42,1,1,False,False,"[1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, -1, 1, 1, 1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,10,"[0.2971000075340271, 0.36000001430511475, 0.3718999922275543, 0.39590001106262207, 0.4163999855518341, 0.32420000433921814, 0.40549999475479126, 0.3133000135421753, 0.2863999903202057, 0.26489999890327454]","[2.32438325881958, 2.459811210632324, 2.0253078937530518, 2.3104026317596436, 1.9744232892990112, 2.214695930480957, 1.992329478263855, 2.911515712738037, 2.760376453399658, 3.0822489261627197]",0.264899999,3.082248926,204506206,102.1381502,4202250,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,5,7,20,20,False,False
PMSP,42,1,1,False,False,"[1, 0, 0, 1, 2, 1, 1, 1, 1, 2, -1, 1, 1, 2, 1, 1, 1, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,11,"[0.35830000042915344, 0.3154999911785126, 0.31189998984336853, 0.3522999882698059, 0.26030001044273376, 0.444599986076355, 0.3352000117301941, 0.33329999446868896, 0.2897000014781952, 0.37940001487731934, 0.3797000050544739]","[1.9532486200332642, 2.033371925354004, 2.387066602706909, 1.8511240482330322, 2.2390029430389404, 1.522661566734314, 1.9734336137771606, 2.154170513153076, 2.3114700317382812, 1.7950193881988525, 1.8176482915878296]",0.379700005,1.817648292,350313694,112.5258257,1581834,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,5,7,20,20,False,False
MWG,42,1,1,False,False,"[1, 3, 1, 1, 1, 0, 2, -1, 1, 1, 3, 0, 2, -1, 0, 1, 2, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,15,"[0.24390000104904175, 0.364300012588501, 0.504800021648407, 0.5041999816894531, 0.6140000224113464, 0.6104000210762024, 0.6313999891281128, 0.6513000130653381, 0.6657999753952026, 0.725600004196167, 0.65829998254776, 0.6958000063896179, 0.7466999888420105, 0.7368000149726868, 0.7376999855041504]","[2.811816692352295, 1.8306550979614258, 1.4486957788467407, 1.590232491493225, 1.0969560146331787, 1.1099228858947754, 1.0352078676223755, 0.9938158988952637, 0.9738590121269226, 0.7978800535202026, 0.9590535163879395, 0.8899563550949097, 0.75669264793396, 0.7656751871109009, 0.7687555551528931]",0.737699986,0.768755555,219407422,152.2439923,2320330,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,5,7,20,20,False,False
HSGV,42,1,1,False,False,"[1, 1, 0, 1, 3, 0, 2, -1, 0, 1, 1, 1, 2, -1, 0, 1, 3, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,12,"[0.30000001192092896, 0.2824000120162964, 0.3393999934196472, 0.4772000014781952, 0.4246000051498413, 0.460099995136261, 0.5142999887466431, 0.349700003862381, 0.352400004863739, 0.35190001130104065, 0.33399999141693115, 0.2809999883174896]","[2.081890344619751, 3.625591516494751, 2.55819034576416, 1.615664005279541, 1.706549048423767, 1.581895351409912, 1.3726332187652588, 2.040259838104248, 1.9181208610534668, 2.014066696166992, 2.0585975646972656, 2.439955949783325]",0.280999988,2.43995595,275774750,122.2718832,9105738,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,5,7,20,20,False,False
BTED,42,1,1,False,False,"[1, 3, 1, 1, 0, 0, 1, 0, 1, 1, 3, 0, 2, -1, 1, 1, 0, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,15,"[0.38850000500679016, 0.2969000041484833, 0.39070001244544983, 0.5, 0.571399986743927, 0.5824000239372253, 0.5203999876976013, 0.5950999855995178, 0.5170000195503235, 0.6481999754905701, 0.6772000193595886, 0.6424999833106995, 0.6800000071525574, 0.683899998664856, 0.7188000082969666]","[1.6747535467147827, 2.0366029739379883, 1.7154568433761597, 1.4357020854949951, 1.2479496002197266, 1.1669296026229858, 1.438628077507019, 1.2601869106292725, 1.5517663955688477, 1.000880241394043, 0.9531376957893372, 1.0971802473068237, 0.935339629650116, 0.908887505531311, 0.8086271286010742]",0.718800008,0.808627129,222584686,153.2896903,897642,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,5,7,20,20,False,False
AIBU,42,1,1,False,False,"[1, 2, 0, 1, 0, 1, 2, -1, 0, 1, 0, 1, 1, 1, 0, 2, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,15,"[0.22290000319480896, 0.2581999897956848, 0.27239999175071716, 0.27810001373291016, 0.3984000086784363, 0.30379998683929443, 0.41040000319480896, 0.34940001368522644, 0.34130001068115234, 0.46369999647140503, 0.5591999888420105, 0.5788999795913696, 0.6116999983787537, 0.545799970626831, 0.6279000043869019]","[2.7766292095184326, 2.297520399093628, 2.312858819961548, 2.372077226638794, 1.8558650016784668, 2.1401021480560303, 1.7630465030670166, 2.5823426246643066, 2.3453352451324463, 1.768578290939331, 1.2632778882980347, 1.2323906421661377, 1.1348605155944824, 1.3693180084228516, 1.1249257326126099]",0.627900004,1.124925733,120839838,150.0700579,1203594,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,5,7,20,20,False,False
BDUG,42,1,1,False,False,"[1, 0, 1, 1, 0, 1, 1, 3, 1, 2, -1, 0, 1, 0, 1, 1, 2, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,15,"[0.29670000076293945, 0.3165999948978424, 0.41670000553131104, 0.4684999883174896, 0.36010000109672546, 0.45089998841285706, 0.47749999165534973, 0.5769000053405762, 0.6693999767303467, 0.6173999905586243, 0.667900025844574, 0.6450999975204468, 0.7009000182151794, 0.705299973487854, 0.5615000128746033]","[2.158686399459839, 2.332355499267578, 1.8868032693862915, 1.6049410104751587, 2.1582372188568115, 2.1751043796539307, 1.8876194953918457, 1.2136253118515015, 0.96909499168396, 1.1093602180480957, 1.0245667695999146, 1.0789268016815186, 0.868474006652832, 0.8505309820175171, 1.5348507165908813]",0.561500013,1.534850717,304764766,152.7820277,4673098,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,5,7,20,20,False,False
LOVL,42,1,1,False,False,"[1, 0, 1, 1, 2, 1, 1, 3, 0, 2, -1, 1, 1, 0, 0, 1, 1, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,15,"[0.3452000021934509, 0.3885999917984009, 0.5367000102996826, 0.515500009059906, 0.5570999979972839, 0.6021000146865845, 0.633899986743927, 0.34209999442100525, 0.5620999932289124, 0.4498000144958496, 0.6557000279426575, 0.6705999970436096, 0.6610999703407288, 0.6269999742507935, 0.47620001435279846]","[1.7430437803268433, 1.9298468828201294, 1.2729575634002686, 1.3348109722137451, 1.24723482131958, 1.2251851558685303, 1.06382417678833, 2.433091878890991, 1.3851957321166992, 1.620147466659546, 0.9884380102157593, 0.9510860443115234, 1.009045124053955, 1.1462119817733765, 1.6351028680801392]",0.476200014,1.635102868,421807758,152.7621434,1487594,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,5,7,20,20,False,False
USYJ,42,1,1,False,False,"[1, 1, 0, 1, 2, 0, 1, 0, 1, 1, 0, 1, 2, -1, 1, 1, 3, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [128, 3]}, {'CONV': [32, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,10,"[0.421099990606308, 0.17810000479221344, 0.439300000667572, 0.15839999914169312, 0.5699999928474426, 0.4634999930858612, 0.33230000734329224, 0.3847000002861023, 0.3675999939441681, 0.22779999673366547]","[1.6303671598434448, 2.4970297813415527, 1.6909472942352295, 2.7273120880126953, 1.2238701581954956, 1.644839882850647, 1.8729808330535889, 1.8212326765060425, 1.7438277006149292, 2.17825984954834]",0.227799997,2.17825985,241217326,102.1577275,8344522,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,5,7,20,20,False,False
PREO,42,1,1,False,False,"[1, 1, 1, 1, 1, 1, 2, -1, 1, 1, 3, 0, 1, 2, 1, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,15,"[0.32820001244544983, 0.43140000104904175, 0.4837999939918518, 0.6043000221252441, 0.6110000014305115, 0.7027999758720398, 0.7026000022888184, 0.6669999957084656, 0.6657000184059143, 0.7282000184059143, 0.683899998664856, 0.659600019454956, 0.6444000005722046, 0.7511000037193298, 0.6571000218391418]","[1.8087480068206787, 1.7313820123672485, 1.6784322261810303, 1.1104222536087036, 1.165785312652588, 0.8544119000434875, 0.8645428419113159, 0.9599208831787109, 1.0020296573638916, 0.8066245317459106, 1.0160354375839233, 1.0234137773513794, 1.1393154859542847, 0.7449620366096497, 1.1593738794326782]",0.657100022,1.159373879,229237758,151.3683622,3443402,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,5,7,20,20,False,False
