ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
MCCH,42,1,1,False,False,"[1, 3, 0, 1, 3, 1, 1, 3, 0, 1, 0, 1, 2, -1, 0, 1, 0, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'CONV': [256, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,10,"[0.22769999504089355, 0.23350000381469727, 0.2248000055551529, 0.1679999977350235, 0.3050999939441681, 0.22550000250339508, 0.21060000360012054, 0.30320000648498535, 0.28209999203681946, 0.156700000166893]","[2.223592758178711, 2.0892090797424316, 2.461824655532837, 2.8057785034179688, 1.9017207622528076, 2.6289117336273193, 2.2577133178710938, 2.1799652576446533, 2.4775781631469727, 3.255436897277832]",0.1567,3.255436897,2502334302,109.346993,3503818,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,7,20,20,False,False
IJXY,42,1,1,False,False,"[1, 3, 0, 1, 1, 0, 1, 2, 0, 1, 1, 0, 2, -1, 1, 1, 2, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [64, 3]}, {'CONV': [128, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,6,"[0.4207000136375427, 0.21080000698566437, 0.20990000665187836, 0.37950000166893005, 0.31130000948905945, 0.14669999480247498]","[1.5906951427459717, 2.9908030033111572, 3.05434513092041, 1.9891424179077148, 1.9872486591339111, 2.5007102489471436]",0.146699995,2.500710249,338121982,63.9067111,4478602,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,7,20,20,False,False
IGPW,42,1,1,False,False,"[1, 2, 1, 1, 1, 0, 1, 3, 1, 2, -1, 1, 1, 2, 1, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,15,"[0.43639999628067017, 0.4481000006198883, 0.3553999960422516, 0.45890000462532043, 0.42410001158714294, 0.4343000054359436, 0.35580000281333923, 0.5971999764442444, 0.5210999846458435, 0.5611000061035156, 0.6718999743461609, 0.6047999858856201, 0.6812000274658203, 0.6158999800682068, 0.6632000207901001]","[1.540942907333374, 1.557892918586731, 1.97879958152771, 1.5046465396881104, 1.5657732486724854, 1.5169907808303833, 1.8244472742080688, 1.122824788093567, 1.3894416093826294, 1.228041172027588, 0.9440850615501404, 1.0780303478240967, 0.9207643270492554, 1.049574375152588, 0.9588881731033325]",0.663200021,0.958888173,605323230,155.4591227,2371274,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,7,20,20,False,False
XILP,42,1,1,False,False,"[1, 1, 0, 2, -1, 0, 1, 3, 1, 1, 1, 1, 2, -1, 0, 1, 0, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,12,"[0.20919999480247498, 0.14249999821186066, 0.17100000381469727, 0.24950000643730164, 0.2574999928474426, 0.2134000062942505, 0.26330000162124634, 0.1996999979019165, 0.16930000483989716, 0.23729999363422394, 0.17149999737739563, 0.16210000216960907]","[3.3039538860321045, 7.353700160980225, 5.646574020385742, 3.888861656188965, 3.270962715148926, 4.542868137359619, 3.3566789627075195, 4.174840927124023, 5.483349800109863, 3.7115378379821777, 5.754030704498291, 5.145499229431152]",0.162100002,5.145499229,215933214,123.0651765,1930474,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,7,20,20,False,False
QBWL,42,1,1,False,False,"[1, 0, 1, 1, 2, 1, 1, 0, 0, 2, -1, 1, 1, 1, 1, 1, 0, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [128, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,15,"[0.4611000120639801, 0.33649998903274536, 0.5985999703407288, 0.5210999846458435, 0.6104000210762024, 0.6510000228881836, 0.5216000080108643, 0.6237999796867371, 0.582099974155426, 0.6600000262260437, 0.6735000014305115, 0.5515000224113464, 0.6517000198364258, 0.6593999862670898, 0.7328000068664551]","[1.4825592041015625, 2.148310899734497, 1.1343117952346802, 1.3268941640853882, 1.1416651010513306, 1.01099693775177, 1.4776333570480347, 1.081965446472168, 1.2352125644683838, 0.96059650182724, 0.910738468170166, 1.3633246421813965, 1.01920747756958, 0.9980565309524536, 0.7710531949996948]",0.732800007,0.771053195,158570846,153.330426,1240586,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,7,20,20,False,False
ZFRD,42,1,1,False,False,"[1, 0, 0, 2, -1, 0, 1, 0, 1, 1, 3, 1, 2, -1, 0, 1, 0, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,6,"[0.2736000120639801, 0.23350000381469727, 0.1459999978542328, 0.19539999961853027, 0.1624000072479248, 0.1460999995470047]","[2.3237860202789307, 3.515878915786743, 6.411009788513184, 4.778395652770996, 3.612173318862915, 5.947197914123535]",0.1461,5.947197914,73605790,62.62756348,965962,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,7,20,20,False,False
SZOZ,42,1,1,False,False,"[1, 1, 1, 1, 2, 0, 2, -1, 1, 1, 0, 1, 2, -1, 1, 1, 0, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,15,"[0.23579999804496765, 0.39570000767707825, 0.43860000371932983, 0.42170000076293945, 0.5752000212669373, 0.5803999900817871, 0.5995000004768372, 0.4839000105857849, 0.5687999725341797, 0.6226999759674072, 0.6629999876022339, 0.656499981880188, 0.6534000039100647, 0.6175000071525574, 0.642799973487854]","[2.8308513164520264, 1.6933645009994507, 1.5828921794891357, 1.7483818531036377, 1.213192343711853, 1.2175157070159912, 1.107967495918274, 1.6309080123901367, 1.260331392288208, 1.080483078956604, 0.9765306711196899, 0.9952337741851807, 0.9769842624664307, 1.1155149936676025, 1.0164330005645752]",0.642799973,1.016433001,93654766,152.3205469,477642,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,7,20,20,False,False
LYXP,42,1,1,False,False,"[1, 3, 0, 1, 2, 1, 1, 1, 0, 2, -1, 1, 1, 1, 0, 2, -1, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [128, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,6,"[0.29910001158714294, 0.2329999953508377, 0.2777999937534332, 0.28769999742507935, 0.2759000062942505, 0.20640000700950623]","[1.9260947704315186, 2.1575536727905273, 1.994969367980957, 2.2962372303009033, 2.341465711593628, 2.449186086654663]",0.206400007,2.449186087,926435294,62.71550608,1205258,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,7,20,20,False,False
SMKS,42,1,1,False,False,"[1, 3, 0, 1, 0, 0, 2, -1, 1, 1, 1, 1, 1, 2, 1, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,15,"[0.2930999994277954, 0.2612000107765198, 0.26179999113082886, 0.2996000051498413, 0.2978000044822693, 0.4020000100135803, 0.3125999867916107, 0.49160000681877136, 0.4618000090122223, 0.4359999895095825, 0.5120999813079834, 0.5497999787330627, 0.6396999955177307, 0.46160000562667847, 0.5425999760627747]","[1.994088888168335, 2.134018659591675, 2.264934539794922, 2.146909713745117, 2.3053581714630127, 2.0425972938537598, 2.1508052349090576, 1.5214210748672485, 1.5047156810760498, 1.6686652898788452, 1.383679747581482, 1.3771905899047852, 1.0521637201309204, 1.515140175819397, 1.292875051498413]",0.542599976,1.292875051,114793102,152.1855962,1395306,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,7,20,20,False,False
NVNM,42,1,1,False,False,"[1, 3, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 2, -1, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [32, 3]}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,15,"[0.3012000024318695, 0.15880000591278076, 0.357699990272522, 0.15530000627040863, 0.16920000314712524, 0.3626999855041504, 0.3379000127315521, 0.31200000643730164, 0.37439998984336853, 0.46129998564720154, 0.30550000071525574, 0.4763999879360199, 0.30550000071525574, 0.4625999927520752, 0.34389999508857727]","[2.0507924556732178, 3.5043840408325195, 1.8916339874267578, 3.3146092891693115, 2.6820108890533447, 2.0133259296417236, 2.0055723190307617, 2.0473949909210205, 1.6805028915405273, 1.4739272594451904, 2.079665422439575, 1.4583685398101807, 1.9738415479660034, 1.5086616277694702, 1.8723376989364624]",0.343899995,1.872337699,217994942,154.402482,2199242,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,7,20,20,False,False
