ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
TCQY,42,1,1,False,False,"[1, 1, 0, 1, 1, 1, 1, 0, 1, 2, -1, 1, 1, 1, 0, 1, 0, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 3]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,15,"[0.2401999980211258, 0.21819999814033508, 0.42489999532699585, 0.4011000096797943, 0.5378999710083008, 0.5357999801635742, 0.5566999912261963, 0.3021000027656555, 0.4855000078678131, 0.4523000121116638, 0.5942000150680542, 0.5227000117301941, 0.41679999232292175, 0.33869999647140503, 0.2847000062465668]","[2.5458550453186035, 2.258739471435547, 1.6881749629974365, 1.8541535139083862, 1.3163049221038818, 1.3331992626190186, 1.2702999114990234, 2.8031744956970215, 1.8068832159042358, 1.687079906463623, 1.2233084440231323, 1.3897686004638672, 1.8618335723876953, 2.179792642593384, 3.7125351428985596]",0.284700006,3.712535143,164119070,150.7481468,691018,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,4,6,20,20,False,False
QRHR,42,1,1,False,False,"[1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 0, 0, 2, -1, 1, 1, 2, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,15,"[0.3817000091075897, 0.42980000376701355, 0.42160001397132874, 0.462799996137619, 0.4390000104904175, 0.4982999861240387, 0.5856999754905701, 0.6492999792098999, 0.6337000131607056, 0.6305999755859375, 0.6168000102043152, 0.6528000235557556, 0.5486000180244446, 0.6467999815940857, 0.5447999835014343]","[1.710194706916809, 1.661072850227356, 1.7596310377120972, 1.6541157960891724, 1.8031737804412842, 1.6094406843185425, 1.1714388132095337, 0.955741286277771, 1.0360307693481445, 0.9878941178321838, 1.1550283432006836, 1.0354913473129272, 1.503307819366455, 1.07535719871521, 1.5463794469833374]",0.544799984,1.546379447,950714606,155.4000933,4986986,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,4,6,20,20,False,False
JCV,42,1,1,False,False,"[1, 1, 1, 1, 0, 0, 2, -1, 1, 1, 1, 1, 1, 0, 0, 2, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,15,"[0.428600013256073, 0.4163999855518341, 0.32589998841285706, 0.510699987411499, 0.48410001397132874, 0.4401000142097473, 0.6326000094413757, 0.6021000146865845, 0.6194999814033508, 0.6471999883651733, 0.6718999743461609, 0.43230000138282776, 0.588100016117096, 0.4909000098705292, 0.6700999736785889]","[1.548089861869812, 1.556503176689148, 1.859883189201355, 1.3547701835632324, 1.4599087238311768, 1.6548441648483276, 1.0347633361816406, 1.1443603038787842, 1.057157278060913, 1.0134449005126953, 0.9195051789283752, 1.8755054473876953, 1.210026502609253, 1.5367059707641602, 0.9564308524131775]",0.670099974,0.956430852,32588382,149.7004368,392586,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,4,6,20,20,False,False
VEYR,42,1,1,False,False,"[1, 1, 0, 1, 2, 0, 1, 0, 0, 1, 0, 1, 2, -1, 0, 1, 1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [128, 3]}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,8,"[0.39250001311302185, 0.18700000643730164, 0.3993000090122223, 0.3100999891757965, 0.33320000767707825, 0.16429999470710754, 0.3183000087738037, 0.226500004529953]","[1.793608546257019, 3.465965509414673, 1.8700510263442993, 2.1339330673217773, 1.9495152235031128, 2.639314889907837, 1.8459019660949707, 2.3056819438934326]",0.226500005,2.305681944,150302366,82.04344368,4356106,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,4,6,20,20,False,False
BIAD,42,1,1,False,False,"[1, 0, 0, 1, 0, 0, 2, -1, 1, 1, 3, 1, 1, 1, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,12,"[0.2712000012397766, 0.4921000003814697, 0.49470001459121704, 0.4957999885082245, 0.4957999885082245, 0.5012999773025513, 0.5989999771118164, 0.426800012588501, 0.5070000290870667, 0.580299973487854, 0.5802000164985657, 0.5644999742507935]","[2.072608709335327, 1.4003558158874512, 1.43905508518219, 1.3783166408538818, 1.434769630432129, 1.3735638856887817, 1.1524688005447388, 1.650304913520813, 1.4008846282958984, 1.1668680906295776, 1.210923194885254, 1.2344701290130615]",0.564499974,1.234470129,84871438,121.374361,759402,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,4,6,20,20,False,False
ZVOD,42,1,1,False,False,"[1, 1, 0, 1, 3, 1, 1, 2, 0, 1, 0, 0, 2, -1, 1, 1, 2, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [256, 5]}, {'CONV': [128, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,11,"[0.30820000171661377, 0.1251000016927719, 0.2980000078678131, 0.12370000034570694, 0.31630000472068787, 0.46389999985694885, 0.32350000739097595, 0.3824999928474426, 0.33340001106262207, 0.3603000044822693, 0.40230000019073486]","[1.9920133352279663, 3.833789825439453, 2.187268018722534, 3.636833906173706, 2.0444631576538086, 1.5239218473434448, 2.205186605453491, 1.7022953033447266, 1.9242417812347412, 1.9475067853927612, 1.7751072645187378]",0.4023,1.775107265,777568494,116.53473,4817322,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,4,6,20,20,False,False
HNTX,42,1,1,False,False,"[1, 3, 0, 1, 1, 1, 1, 1, 1, 2, -1, 0, 1, 2, 1, 1, 1, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,15,"[0.2410999983549118, 0.21369999647140503, 0.15600000321865082, 0.19910000264644623, 0.3634999990463257, 0.17949999868869781, 0.3553999960422516, 0.23749999701976776, 0.3109000027179718, 0.3962000012397766, 0.13809999823570251, 0.28380000591278076, 0.5306000113487244, 0.2892000079154968, 0.36660000681877136]","[2.0948216915130615, 2.362823247909546, 2.5003583431243896, 2.986812114715576, 1.8913400173187256, 2.623528003692627, 2.0904152393341064, 2.520470142364502, 2.7939934730529785, 1.8890408277511597, 3.0122649669647217, 2.74688720703125, 1.3578331470489502, 2.1167383193969727, 1.7787779569625854]",0.366600007,1.778777957,605022046,155.228792,2899402,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,4,6,20,20,False,False
GJTW,42,1,1,False,False,"[1, 0, 1, 1, 0, 0, 2, -1, 0, 1, 2, 1, 1, 2, 0, 1, 2, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,15,"[0.3711000084877014, 0.31700000166893005, 0.5015000104904175, 0.5562999844551086, 0.583899974822998, 0.6317999958992004, 0.6639000177383423, 0.6610000133514404, 0.6585000157356262, 0.7063000202178955, 0.7056000232696533, 0.7379999756813049, 0.7350000143051147, 0.7411999702453613, 0.7282999753952026]","[1.9881173372268677, 2.6974682807922363, 1.5350432395935059, 1.344244360923767, 1.2868256568908691, 1.1401398181915283, 1.0137935876846313, 1.0096873044967651, 1.033866047859192, 0.9167188405990601, 0.8578813672065735, 0.8127518892288208, 0.8105229139328003, 0.7607618570327759, 0.8523600697517395]",0.728299975,0.85236007,189206174,151.861237,9065770,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,4,6,20,20,False,False
PBZO,42,1,1,False,False,"[1, 0, 0, 1, 1, 1, 2, -1, 1, 1, 3, 0, 1, 0, 1, 2, -1, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,13,"[0.31130000948905945, 0.34119999408721924, 0.42969998717308044, 0.45500001311302185, 0.3684999942779541, 0.4569999873638153, 0.3862999975681305, 0.5091000199317932, 0.43869999051094055, 0.35190001130104065, 0.44920000433921814, 0.47450000047683716, 0.4950999915599823]","[1.9169291257858276, 2.0008814334869385, 1.5496519804000854, 1.513580322265625, 2.0264248847961426, 1.4818460941314697, 1.9275256395339966, 1.615289568901062, 1.686467170715332, 1.9940185546875, 1.5458430051803589, 1.5566521883010864, 1.4539120197296143]",0.495099992,1.45391202,96175054,130.7833271,541162,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,4,6,20,20,False,False
NXJI,42,1,1,False,False,"[1, 2, 1, 2, -1, 0, 1, 3, 1, 1, 2, 1, 1, 0, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'CONV': [128, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,8,"[0.296099990606308, 0.18379999697208405, 0.3034000098705292, 0.12129999697208405, 0.26339998841285706, 0.2818000018596649, 0.289000004529953, 0.2773999869823456]","[2.279676675796509, 5.506808757781982, 2.320598840713501, 9.304492950439453, 3.32049298286438, 3.262576103210449, 2.9250917434692383, 3.314201593399048]",0.277399987,3.314201593,439942430,82.96907735,2743850,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,4,6,20,20,False,False
