ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
MJJG,42,1,5,False,False,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,5,"[0.22869999706745148, 0.186599999666214, 0.18860000371932983, 0.37400001287460327, 0.2517000138759613]","[2.294210910797119, 3.735330820083618, 4.361843109130859, 1.8618611097335815, 3.0378787517547607]",0.251700014,3.037878752,165496670,30.74025941,8545258,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,6,25,50,50,False,False
PIXZ,42,1,5,False,False,"[1, 0, 0, 2, -1, 1, 1, 3, 0, 2, -1, 1, 1, 1, 1, 2, -1, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,5,"[0.10199999809265137, 0.18780000507831573, 0.26930001378059387, 0.2558000087738037, 0.17919999361038208]","[3.282071590423584, 2.4188249111175537, 2.426570177078247, 2.6689822673797607, 3.5142152309417725]",0.179199994,3.514215231,16498094,28.7616775,555338,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,6,25,50,50,False,False
GKOK,42,1,5,False,False,"[1, 1, 1, 1, 1, 1, 2, -1, 1, 1, 1, 1, 1, 2, 1, 2, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,5,"[0.17110000550746918, 0.32089999318122864, 0.3898000121116638, 0.526199996471405, 0.5367000102996826]","[2.9344024658203125, 2.0040695667266846, 1.8723043203353882, 1.342656135559082, 1.2845770120620728]",0.53670001,1.284577012,148248606,29.12436652,1599498,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,6,25,50,50,False,False
KHPL,42,1,5,False,False,"[1, 3, 1, 2, -1, 1, 1, 2, 1, 1, 3, 0, 2, -1, 0, 1, 2, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,5,"[0.1476999968290329, 0.3424000144004822, 0.30790001153945923, 0.3082999885082245, 0.29440000653266907]","[3.1452457904815674, 1.885205626487732, 2.6329188346862793, 2.1003360748291016, 2.66479754447937]",0.294400007,2.664797544,167766366,29.17748928,3799050,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,6,25,50,50,False,False
ALLX,42,1,5,False,False,"[1, 2, 0, 1, 3, 0, 2, -1, 0, 1, 0, 1, 1, 1, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,4,"[0.24609999358654022, 0.18060000240802765, 0.23759999871253967, 0.12759999930858612]","[2.2621872425079346, 2.210841655731201, 2.0572428703308105, 3.0880141258239746]",0.127599999,3.088014126,371711966,23.87917018,853610,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,6,25,50,50,False,False
EGOU,42,1,5,False,False,"[1, 1, 1, 1, 3, 1, 2, -1, 1, 1, 0, 1, 1, 3, 0, 2, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,5,"[0.16210000216960907, 0.3521000146865845, 0.4514999985694885, 0.35280001163482666, 0.5044000148773193]","[2.9371559619903564, 1.7853949069976807, 1.584074854850769, 2.590379238128662, 1.4664788246154785]",0.504400015,1.466478825,460749614,29.02276707,3059114,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,6,25,50,50,False,False
JEDQ,42,1,5,False,False,"[1, 0, 1, 1, 1, 0, 1, 1, 0, 2, -1, 1, 1, 3, 0, 1, 0, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,5,"[0.19539999961853027, 0.5022000074386597, 0.40720000863075256, 0.35109999775886536, 0.4269999861717224]","[2.707095146179199, 1.4128713607788086, 1.8052611351013184, 2.2396726608276367, 1.7052825689315796]",0.426999986,1.705282569,86475662,29.29112077,778666,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,6,25,50,50,False,False
NABJ,42,1,5,False,False,"[1, 0, 0, 1, 1, 1, 2, -1, 1, 1, 2, 0, 1, 0, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,5,"[0.17900000512599945, 0.37130001187324524, 0.38929998874664307, 0.28870001435279846, 0.34529998898506165]","[2.540182113647461, 1.7966841459274292, 1.7443444728851318, 1.9568531513214111, 1.8156594038009644]",0.345299989,1.815659404,74788430,28.68403625,296938,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,6,25,50,50,False,False
TNLP,42,1,5,False,False,"[1, 2, 0, 1, 0, 1, 1, 3, 1, 2, -1, 1, 1, 0, 1, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,5,"[0.1770000010728836, 0.1492999941110611, 0.23759999871253967, 0.2903999984264374, 0.2222999930381775]","[2.4343035221099854, 2.921492338180542, 2.474987506866455, 2.392138957977295, 3.2958452701568604]",0.222299993,3.29584527,343518766,29.10741878,787530,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,6,25,50,50,False,False
DVIR,42,1,5,False,False,"[1, 0, 0, 1, 0, 1, 2, -1, 0, 1, 3, 0, 2, -1, 1, 1, 1, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,5,"[0.10189999639987946, 0.2782999873161316, 0.22789999842643738, 0.4228000044822693, 0.32280001044273376]","[4.71295690536499, 2.1457276344299316, 2.835988998413086, 1.6328132152557373, 2.221648931503296]",0.32280001,2.221648932,61140446,28.60167003,808554,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,6,25,50,50,False,False
