ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
MJJG,42,1,1,False,False,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,5,"[0.19750000536441803, 0.38100001215934753, 0.2912999987602234, 0.21709999442100525, 0.37040001153945923]","[2.5494627952575684, 1.7604275941848755, 2.1253912448883057, 3.4759645462036133, 1.9297863245010376]",0.370400012,1.929786325,165496670,32.09022021,8545258,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
PIXZ,42,1,1,False,False,"[1, 0, 0, 2, -1, 1, 1, 3, 0, 2, -1, 1, 1, 1, 1, 2, -1, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,5,"[0.10939999669790268, 0.20059999823570251, 0.2782999873161316, 0.28690001368522644, 0.2888000011444092]","[3.260272741317749, 2.4774856567382812, 2.515711784362793, 2.439925193786621, 2.7306971549987793]",0.288800001,2.730697155,16498094,29.00319839,555338,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
GKOK,42,1,1,False,False,"[1, 1, 1, 1, 1, 1, 2, -1, 1, 1, 1, 1, 1, 2, 1, 2, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,5,"[0.15929999947547913, 0.47999998927116394, 0.40939998626708984, 0.49380001425743103, 0.44909998774528503]","[2.6945297718048096, 1.4297147989273071, 1.6277786493301392, 1.4370393753051758, 1.7509315013885498]",0.449099988,1.750931501,148248606,29.78216314,1599498,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
KHPL,42,1,1,False,False,"[1, 3, 1, 2, -1, 1, 1, 2, 1, 1, 3, 0, 2, -1, 0, 1, 2, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,5,"[0.1378999948501587, 0.3165000081062317, 0.10989999771118164, 0.2799000144004822, 0.35190001130104065]","[3.215423583984375, 1.9927136898040771, 5.81834077835083, 2.6236815452575684, 2.3591666221618652]",0.351900011,2.359166622,167766366,29.93744135,3799050,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
ALLX,42,1,1,False,False,"[1, 2, 0, 1, 3, 0, 2, -1, 0, 1, 0, 1, 1, 1, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,5,"[0.17010000348091125, 0.3718000054359436, 0.24660000205039978, 0.3003000020980835, 0.14399999380111694]","[2.6759016513824463, 1.7336530685424805, 2.119842529296875, 1.8139245510101318, 3.529810905456543]",0.143999994,3.529810905,371711966,30.88322496,853610,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
HQJZ,42,1,1,False,False,"[1, 2, 0, 1, 3, 0, 1, 1, 0, 1, 3, 0, 2, -1, 0, 1, 1, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,5,"[0.17229999601840973, 0.19580000638961792, 0.26260000467300415, 0.18790000677108765, 0.14710000157356262]","[2.6196370124816895, 2.935115337371826, 2.1432831287384033, 3.410238265991211, 2.6101670265197754]",0.147100002,2.610167027,647866206,31.46248889,2843658,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
BHKO,42,1,1,False,False,"[1, 2, 0, 1, 2, 0, 1, 0, 0, 1, 2, 0, 1, 0, 1, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [128, 3]}, {'CONV': [32, 3]}, {'CONV': [128, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,5,"[0.15860000252723694, 0.2759999930858612, 0.1251000016927719, 0.2678000032901764, 0.1867000013589859]","[2.7832655906677246, 2.2480428218841553, 2.731438398361206, 2.3540852069854736, 4.574474811553955]",0.186700001,4.574474812,337125678,31.42287779,2319434,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
DAGX,42,1,1,False,False,"[1, 0, 0, 2, -1, 0, 1, 3, 1, 1, 3, 1, 2, -1, 0, 1, 0, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,5,"[0.1120000034570694, 0.14640000462532043, 0.19629999995231628, 0.24009999632835388, 0.25279998779296875]","[3.208181142807007, 4.6113104820251465, 4.446516990661621, 4.49397611618042, 4.655107498168945]",0.252799988,4.655107498,478650654,30.40543127,2976938,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
MSCU,42,1,1,False,False,"[1, 1, 0, 1, 2, 0, 1, 1, 1, 1, 0, 1, 2, -1, 1, 1, 0, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [128, 3]}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,5,"[0.23680000007152557, 0.21819999814033508, 0.2705000042915344, 0.2484000027179718, 0.19859999418258667]","[2.3172318935394287, 2.642770528793335, 2.4857754707336426, 2.3139090538024902, 2.2291436195373535]",0.198599994,2.22914362,341190398,30.71902919,839818,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
LOGR,42,1,1,False,False,"[1, 3, 1, 1, 0, 0, 2, -1, 0, 1, 3, 1, 2, -1, 1, 1, 3, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,5,"[0.15440000593662262, 0.2345000058412552, 0.3862999975681305, 0.3937000036239624, 0.4966000020503998]","[3.192833185195923, 2.428950548171997, 1.7415001392364502, 1.8843415975570679, 1.406860589981079]",0.496600002,1.40686059,207993694,29.01166725,3121706,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
