ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
MJJG,42,1,5,False,False,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,"[0.18299999833106995, 0.2630000114440918, 0.16459999978542328, 0.2937000095844269, 0.15440000593662262]","[2.73220157623291, 2.7522809505462646, 8.165226936340332, 2.787329912185669, 9.103182792663574]",0.154400006,9.103182793,165496670,30.97634435,8545258,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,12,24,50,50,False,False
PIXZ,42,1,5,False,False,"[1, 0, 0, 2, -1, 1, 1, 3, 0, 2, -1, 1, 1, 1, 1, 2, -1, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,"[0.09989999979734421, 0.15780000388622284, 0.26260000467300415, 0.2912999987602234, 0.21940000355243683]","[3.4676637649536133, 2.663529396057129, 2.514075517654419, 2.371389150619507, 3.065636157989502]",0.219400004,3.065636158,16498094,29.09743619,555338,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,12,24,50,50,False,False
GKOK,42,1,5,False,False,"[1, 1, 1, 1, 1, 1, 2, -1, 1, 1, 1, 1, 1, 2, 1, 2, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,"[0.14000000059604645, 0.413100004196167, 0.37310001254081726, 0.5020999908447266, 0.529699981212616]","[3.1765105724334717, 1.6571919918060303, 1.969930648803711, 1.4004616737365723, 1.2846484184265137]",0.529699981,1.284648418,148248606,29.10787582,1599498,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,12,24,50,50,False,False
KHPL,42,1,5,False,False,"[1, 3, 1, 2, -1, 1, 1, 2, 1, 1, 3, 0, 2, -1, 0, 1, 2, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,"[0.12399999797344208, 0.3619000017642975, 0.25940001010894775, 0.30889999866485596, 0.3082999885082245]","[3.2697272300720215, 1.791304111480713, 2.659149646759033, 2.0834007263183594, 2.5667994022369385]",0.308299989,2.566799402,167766366,29.18765235,3799050,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,12,24,50,50,False,False
ALLX,42,1,5,False,False,"[1, 2, 0, 1, 3, 0, 2, -1, 0, 1, 0, 1, 1, 1, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,4,"[0.21490000188350677, 0.21250000596046448, 0.2110999971628189, 0.10559999942779541]","[2.2783608436584473, 2.0760679244995117, 2.268918037414551, 4.14256477355957]",0.105599999,4.142564774,371711966,24.09992051,853610,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,12,24,50,50,False,False
EGOU,42,1,5,False,False,"[1, 1, 1, 1, 3, 1, 2, -1, 1, 1, 0, 1, 1, 3, 0, 2, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,"[0.1062999963760376, 0.3619999885559082, 0.4275999963283539, 0.3675999939441681, 0.42980000376701355]","[3.5525429248809814, 1.8211376667022705, 1.8002474308013916, 2.0059664249420166, 1.6900800466537476]",0.429800004,1.690080047,460749614,29.254915,3059114,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,12,24,50,50,False,False
JEDQ,42,1,5,False,False,"[1, 0, 1, 1, 1, 0, 1, 1, 0, 2, -1, 1, 1, 3, 0, 1, 0, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,"[0.20640000700950623, 0.49149999022483826, 0.3702999949455261, 0.32679998874664307, 0.4912000000476837]","[2.7749993801116943, 1.4151663780212402, 1.8110688924789429, 2.4648938179016113, 1.3840137720108032]",0.4912,1.384013772,86475662,29.22227716,778666,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,12,24,50,50,False,False
NABJ,42,1,5,False,False,"[1, 0, 0, 1, 1, 1, 2, -1, 1, 1, 2, 0, 1, 0, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,"[0.17980000376701355, 0.3970000147819519, 0.27399998903274536, 0.24160000681877136, 0.3799000084400177]","[2.439487934112549, 1.6858597993850708, 2.327070474624634, 2.395034074783325, 1.777866005897522]",0.379900008,1.777866006,74788430,28.78149343,296938,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,12,24,50,50,False,False
TNLP,42,1,5,False,False,"[1, 2, 0, 1, 0, 1, 1, 3, 1, 2, -1, 1, 1, 0, 1, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,"[0.2303999960422516, 0.2167000025510788, 0.27900001406669617, 0.13819999992847443, 0.27239999175071716]","[2.25890851020813, 2.4618868827819824, 2.215214252471924, 2.969775915145874, 2.095543146133423]",0.272399992,2.095543146,343518766,29.2210567,787530,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,12,24,50,50,False,False
DVIR,42,1,5,False,False,"[1, 0, 0, 1, 0, 1, 2, -1, 0, 1, 3, 0, 2, -1, 1, 1, 1, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,"[0.11259999871253967, 0.2402999997138977, 0.4255000054836273, 0.3375999927520752, 0.45509999990463257]","[3.4459874629974365, 2.4865241050720215, 1.5854469537734985, 1.92515230178833, 1.6409937143325806]",0.4551,1.640993714,61140446,28.93512321,808554,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,12,24,50,50,False,False
