ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
MJJG,42,1,5,False,False,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,5,"[0.27730000019073486, 0.33250001072883606, 0.31700000166893005, 0.2962999939918518, 0.28439998626708984]","[2.1767499446868896, 2.052931547164917, 2.693549871444702, 2.581068277359009, 3.085972785949707]",0.284399986,3.085972786,165496670,28.96926475,8545258,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,20,50,50,False,False
PIXZ,42,1,5,False,False,"[1, 0, 0, 2, -1, 1, 1, 3, 0, 2, -1, 1, 1, 1, 1, 2, -1, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,5,"[0.10559999942779541, 0.20090000331401825, 0.28780001401901245, 0.3077999949455261, 0.25459998846054077]","[3.053421974182129, 2.486372709274292, 2.1739132404327393, 2.077688694000244, 2.8673832416534424]",0.254599988,2.867383242,16498094,27.80990553,555338,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,20,50,50,False,False
GKOK,42,1,5,False,False,"[1, 1, 1, 1, 1, 1, 2, -1, 1, 1, 1, 1, 1, 2, 1, 2, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,5,"[0.16769999265670776, 0.4374000132083893, 0.49390000104904175, 0.5044999718666077, 0.4032000005245209]","[2.6407883167266846, 1.5331023931503296, 1.429385781288147, 1.4339525699615479, 1.8218451738357544]",0.403200001,1.821845174,148248606,28.41603351,1599498,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,20,50,50,False,False
KHPL,42,1,5,False,False,"[1, 3, 1, 2, -1, 1, 1, 2, 1, 1, 3, 0, 2, -1, 0, 1, 2, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,5,"[0.1687999963760376, 0.259799987077713, 0.2648000121116638, 0.2483000010251999, 0.32120001316070557]","[2.979545831680298, 2.407094955444336, 3.48827862739563, 3.2065155506134033, 2.398461103439331]",0.321200013,2.398461103,167766366,28.48113918,3799050,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,20,50,50,False,False
ALLX,42,1,5,False,False,"[1, 2, 0, 1, 3, 0, 2, -1, 0, 1, 0, 1, 1, 1, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,5,"[0.12449999898672104, 0.33480000495910645, 0.3416000008583069, 0.19689999520778656, 0.1889999955892563]","[2.960728406906128, 1.759821891784668, 1.8396443128585815, 2.7819786071777344, 3.062727451324463]",0.188999996,3.062727451,371711966,28.65027022,853610,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,20,50,50,False,False
HQJZ,42,1,5,False,False,"[1, 2, 0, 1, 3, 0, 1, 1, 0, 1, 3, 0, 2, -1, 0, 1, 1, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,5,"[0.17579999566078186, 0.18889999389648438, 0.29750001430511475, 0.19609999656677246, 0.20759999752044678]","[2.6338014602661133, 2.3656702041625977, 2.020434856414795, 2.767819881439209, 2.4382944107055664]",0.207599998,2.438294411,647866206,29.41818357,2843658,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,20,50,50,False,False
BHKO,42,1,5,False,False,"[1, 2, 0, 1, 2, 0, 1, 0, 0, 1, 2, 0, 1, 0, 1, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [128, 3]}, {'CONV': [32, 3]}, {'CONV': [128, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,5,"[0.23180000483989716, 0.3808000087738037, 0.19660000503063202, 0.24639999866485596, 0.21330000460147858]","[2.2297346591949463, 1.7863215208053589, 4.713006019592285, 2.9728105068206787, 5.232694625854492]",0.213300005,5.232694626,337125678,29.62477946,2319434,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,20,50,50,False,False
DAGX,42,1,5,False,False,"[1, 0, 0, 2, -1, 0, 1, 3, 1, 1, 3, 1, 2, -1, 0, 1, 0, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,5,"[0.2011999934911728, 0.27549999952316284, 0.20479999482631683, 0.24809999763965607, 0.20749999582767487]","[2.664762020111084, 2.7660069465637207, 3.5343246459960938, 4.4313788414001465, 4.80759859085083]",0.207499996,4.807598591,478650654,28.59420657,2976938,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,20,50,50,False,False
MSCU,42,1,5,False,False,"[1, 1, 0, 1, 2, 0, 1, 1, 1, 1, 0, 1, 2, -1, 1, 1, 0, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [128, 3]}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,5,"[0.1665000021457672, 0.14910000562667847, 0.2143000066280365, 0.1378999948501587, 0.2321999967098236]","[2.6312308311462402, 2.747222661972046, 2.195321798324585, 3.8974266052246094, 3.1009790897369385]",0.232199997,3.10097909,341190398,28.84875894,839818,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,20,50,50,False,False
LOGR,42,1,5,False,False,"[1, 3, 1, 1, 0, 0, 2, -1, 0, 1, 3, 1, 2, -1, 1, 1, 3, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,5,"[0.10189999639987946, 0.24539999663829803, 0.27140000462532043, 0.38530001044273376, 0.3790999948978424]","[4.333600044250488, 2.443358898162842, 2.286996603012085, 1.7420547008514404, 1.9545776844024658]",0.379099995,1.954577684,207993694,28.74197459,3121706,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,20,50,50,False,False
