Epochs,Best_accuracy,Loss,Acc_mean,Loss_mean
1,0.8716999888420105,0.44133251905441284,0.9506099998950959,0.16760644987225531
2,0.9240000247955322,0.27138131856918335,,
3,0.9440000057220459,0.19468510150909424,,
4,0.949400007724762,0.16719119250774384,,
5,0.9609000086784363,0.13243013620376587,,
6,0.965499997138977,0.11136588454246521,,
7,0.9666000008583069,0.10512915998697281,,
8,0.9722999930381775,0.08995731920003891,,
9,0.9757999777793884,0.08198155462741852,,
10,0.9758999943733215,0.08061031252145767,,
