ID,isChild,Integer_encoding,Genotype,Mutation type,Crossover type,Search strategy,Type,Epochs,Accuracy,Loss,FLOPs,CPU Hours,Number of Parameters,Parent1,Parent2,Before Mutation,HD_P1,HD_P2,HD_BM
R,False,"[1, 2, 1, 2, -1, 0, 1, 2, 2, 1, 2, 1, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 7]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,5,5,6,3,4,10,[],[],[],-1,-1,-1
CY,False,"[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 2, 2, 3, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'CONV': [64, 5]}, {'CONV': [256, 7]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,5,4,4,9,7,8,[],[],[],-1,-1,-1
R-CY(1),True,"[1, 2, 1, 2, -1, 0, 1, 2, 2, 1, 2, 2, 3, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 7]}, {'CONV': [256, 7]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,5,6,1,9,8,3,"[1, 2, 1, 2, -1, 0, 1, 2, 2, 1, 2, 1, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 2, 2, 3, -1, 0, 5, 2, 0, 5, 0, 3]",[],-1,-1,-1
R-CY(2),True,"[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 2, 1, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,5,1,0,4,0,9,"[1, 2, 1, 2, -1, 0, 1, 2, 2, 1, 2, 1, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 2, 2, 3, -1, 0, 5, 2, 0, 5, 0, 3]",[],-1,-1,-1
C,False,"[1, 0, 0, 1, 2, 0, 1, 0, 1, 1, 1, 2, 2, -1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 5]}, {'CONV': [128, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,5,8,0,6,10,3,[],[],[],-1,-1,-1
CY,False,"[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 2, 2, 3, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'CONV': [64, 5]}, {'CONV': [256, 7]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,5,4,4,9,7,8,[],[],[],-1,-1,-1
C-CY(1),True,"[1, 0, 0, 1, 2, 0, 1, 0, 1, 1, 1, 2, 3, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 5]}, {'CONV': [128, 7]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,5,10,3,2,1,6,"[1, 0, 0, 1, 2, 0, 1, 0, 1, 1, 1, 2, 2, -1, 1, 5, 4, 0, 5, 0, 3]","[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 2, 2, 3, -1, 0, 5, 2, 0, 5, 0, 3]",[],-1,-1,-1
C-CY(2),True,"[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 2, 2, 2, -1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'CONV': [64, 5]}, {'CONV': [256, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,5,5,0,0,0,4,"[1, 0, 0, 1, 2, 0, 1, 0, 1, 1, 1, 2, 2, -1, 1, 5, 4, 0, 5, 0, 3]","[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 2, 2, 3, -1, 0, 5, 2, 0, 5, 0, 3]",[],-1,-1,-1
HK,False,"[1, 0, 0, 1, 1, 2, 1, 0, 2, 3, -1, 0, 1, 2, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [128, 7]}, {'CONV': [64, 7]}, {'POOLAVG': [-1, 2]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,5,3,9,7,2,9,[],[],[],-1,-1,-1
LR,False,"[1, 2, 2, 1, 1, 1, 1, 0, 0, 1, 1, 2, 3, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 7]}, {'CONV': [128, 5]}, {'CONV': [64, 3]}, {'CONV': [128, 7]}, {'POOLAVG': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,5,1,4,8,3,9,[],[],[],-1,-1,-1
