ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover type,Mutation type,Search strategy,Epochs,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Was_invalid
EDDR,1,1,1,False,False,"[1, 3, 1, 1, 2, 1, 2, -1, 1, 1, 3, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,5,1,1,4,14400,2,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,False
OHLE,1,1,1,False,False,"[1, 0, 0, 1, 1, 1, 2, -1, 1, 1, 1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,5,7,2,9,28800,0,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,False
EDDR-OHLE(1),1,1,1,True,False,"[1, 3, 1, 1, 1, 1, 2, -1, 1, 1, 1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,5,7,1,10,21600,4,EDDR,OHLE,"[1, 3, 1, 1, 2, 1, 2, -1, 1, 1, 3, 0, 5, 3, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 1, 2, -1, 1, 1, 1, 0, 5, 3, 0, 5, 0, 3]",NONE,2,2,-1,0,0,False
EDDR-OHLE(2),1,1,1,True,False,"[1, 0, 0, 1, 2, 1, 2, -1, 1, 1, 3, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,5,5,9,2,18000,6,EDDR,OHLE,"[1, 3, 1, 1, 2, 1, 2, -1, 1, 1, 3, 0, 5, 3, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 1, 2, -1, 1, 1, 1, 0, 5, 3, 0, 5, 0, 3]",NONE,2,2,-1,0,0,False
TDXP,1,1,1,False,False,"[1, 1, 1, 1, 3, 0, 2, -1, 0, 1, 3, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,5,2,5,1,32400,9,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,False
EDDR,1,1,1,False,False,"[1, 3, 1, 1, 2, 1, 2, -1, 1, 1, 3, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,5,1,1,4,14400,2,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,False
TDXP-EDDR(1),1,1,1,True,False,"[1, 1, 1, 1, 3, 0, 2, -1, 0, 1, 3, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,5,9,8,1,25200,4,TDXP,EDDR,"[1, 1, 1, 1, 3, 0, 2, -1, 0, 1, 3, 1, 5, 1, 0, 5, 0, 3]","[1, 3, 1, 1, 2, 1, 2, -1, 1, 1, 3, 0, 5, 3, 0, 5, 0, 3]",NONE,2,4,-1,0,0,False
TDXP-EDDR(2),1,1,1,True,False,"[1, 3, 1, 1, 2, 1, 2, -1, 1, 1, 3, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,5,0,3,3,32400,6,TDXP,EDDR,"[1, 1, 1, 1, 3, 0, 2, -1, 0, 1, 3, 1, 5, 1, 0, 5, 0, 3]","[1, 3, 1, 1, 2, 1, 2, -1, 1, 1, 3, 0, 5, 3, 0, 5, 0, 3]",NONE,4,2,-1,0,0,False
TDXP,1,1,1,False,False,"[1, 1, 1, 1, 3, 0, 2, -1, 0, 1, 3, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,5,2,5,1,32400,9,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,1,0,False
UYQ,1,1,1,False,False,"[1, 1, 0, 1, 0, 1, 1, 3, 1, 2, -1, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,5,4,2,8,10800,4,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,1,0,False
