ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
MJJG,42,1,1,FALSE,FALSE,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,5,"[0.16009999811649323, 0.367000013589859, 0.15960000455379486, 0.2865999937057495, 0.3249000012874603]","[2.9251129627227783, 1.8423304557800293, 6.299555778503418, 2.9330248832702637, 2.117372512817383]",0.324900001,2.117372513,165496670,32.49044156,8545258,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
PIXZ,42,1,1,FALSE,FALSE,"[1, 0, 0, 2, -1, 1, 1, 3, 0, 2, -1, 1, 1, 1, 1, 2, -1, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,5,"[0.11990000307559967, 0.1673000007867813, 0.28870001435279846, 0.2799000144004822, 0.2526000142097473]","[3.3485941886901855, 2.91292405128479, 2.4075279235839844, 2.6161837577819824, 3.0761449337005615]",0.252600014,3.076144934,16498094,28.98206258,555338,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
GKOK,42,1,1,FALSE,FALSE,"[1, 1, 1, 1, 1, 1, 2, -1, 1, 1, 1, 1, 1, 2, 1, 2, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,5,"[0.1671999990940094, 0.3635999858379364, 0.4494999945163727, 0.439300000667572, 0.5145999789237976]","[2.7438132762908936, 1.7953109741210938, 1.5884225368499756, 1.760901927947998, 1.45367431640625]",0.514599979,1.453674316,148248606,29.95047617,1599498,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
KHPL,42,1,1,FALSE,FALSE,"[1, 3, 1, 2, -1, 1, 1, 2, 1, 1, 3, 0, 2, -1, 0, 1, 2, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,5,"[0.10920000076293945, 0.3901999890804291, 0.13840000331401825, 0.2393999993801117, 0.24879999458789825]","[3.3952581882476807, 1.747816562652588, 5.130419731140137, 3.744999885559082, 3.041597604751587]",0.248799995,3.041597605,167766366,30.14593339,3799050,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
ALLX,42,1,1,FALSE,FALSE,"[1, 2, 0, 1, 3, 0, 2, -1, 0, 1, 0, 1, 1, 1, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,5,"[0.13099999725818634, 0.3181000053882599, 0.1396999955177307, 0.18440000712871552, 0.16449999809265137]","[2.813927412033081, 1.9525470733642578, 2.885873556137085, 2.4600114822387695, 3.7067723274230957]",0.164499998,3.706772327,371711966,30.93936181,853610,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
HQJZ,42,1,1,FALSE,FALSE,"[1, 2, 0, 1, 3, 0, 1, 1, 0, 1, 3, 0, 2, -1, 0, 1, 1, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,5,"[0.10890000313520432, 0.17599999904632568, 0.17190000414848328, 0.10040000081062317, 0.1843000054359436]","[3.871019124984741, 3.7737414836883545, 2.834243059158325, 3.7571184635162354, 3.0044500827789307]",0.184300005,3.004450083,647866206,31.76789904,2843658,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
BHKO,42,1,1,FALSE,FALSE,"[1, 2, 0, 1, 2, 0, 1, 0, 0, 1, 2, 0, 1, 0, 1, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [128, 3]}, {'CONV': [32, 3]}, {'CONV': [128, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,5,"[0.21140000224113464, 0.13439999520778656, 0.24140000343322754, 0.3098999857902527, 0.2222999930381775]","[2.2218735218048096, 3.6889307498931885, 2.4320859909057617, 2.4383509159088135, 3.125345230102539]",0.222299993,3.12534523,337125678,31.89734077,2319434,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
DAGX,42,1,1,FALSE,FALSE,"[1, 0, 0, 2, -1, 0, 1, 3, 1, 1, 3, 1, 2, -1, 0, 1, 0, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,5,"[0.12729999423027039, 0.10100000351667404, 0.24300000071525574, 0.24639999866485596, 0.21060000360012054]","[3.1511728763580322, 7.111872673034668, 3.859318733215332, 4.859797954559326, 4.852175235748291]",0.210600004,4.852175236,478650654,30.6401875,2976938,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
MSCU,42,1,1,FALSE,FALSE,"[1, 1, 0, 1, 2, 0, 1, 1, 1, 1, 0, 1, 2, -1, 1, 1, 0, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [128, 3]}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,5,"[0.2296999990940094, 0.3070000112056732, 0.23639999330043793, 0.3061000108718872, 0.29980000853538513]","[2.5077333450317383, 1.9325000047683716, 2.776324510574341, 2.3076484203338623, 2.6450603008270264]",0.299800009,2.645060301,341190398,31.16054463,839818,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
LOGR,42,1,1,FALSE,FALSE,"[1, 3, 1, 1, 0, 0, 2, -1, 0, 1, 3, 1, 2, -1, 1, 1, 3, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,5,"[0.11150000244379044, 0.30160000920295715, 0.3562999963760376, 0.43479999899864197, 0.3160000145435333]","[4.144835472106934, 2.009310722351074, 1.879243016242981, 1.575963020324707, 2.1855313777923584]",0.316000015,2.185531378,207993694,29.61262369,3121706,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
