DHV,NONE_MPAR,NONE_MSWAP,SPC_MPAR,SPC_MSWAP,SPC_NONE,TPC_MPAR,TPC_MSWAP,TPC_NONE,UC_MPAR,UC_MSWAP,UC_NONE
NONE_MPAR,0.000000,0.000000,0.131579,0.052632,0.052632,0.078947,0.105263,0.210526,0.105263,0.078947,0.184211
NONE_MSWAP,0.027027,0.000000,0.054054,0.135135,0.270270,0.054054,0.027027,0.135135,0.027027,0.135135,0.135135
SPC_MPAR,0.022059,0.058824,0.250000,0.080882,0.058824,0.073529,0.073529,0.102941,0.088235,0.066176,0.125000
SPC_MSWAP,0.043478,0.043478,0.076087,0.010870,0.163043,0.119565,0.119565,0.184783,0.119565,0.065217,0.054348
SPC_NONE,0.068966,0.045977,0.057471,0.149425,0.022989,0.091954,0.103448,0.172414,0.103448,0.103448,0.080460
TPC_MPAR,0.051948,0.051948,0.090909,0.090909,0.090909,0.012987,0.077922,0.142857,0.077922,0.116883,0.194805
TPC_MSWAP,0.013514,0.040541,0.162162,0.121622,0.148649,0.108108,0.027027,0.148649,0.054054,0.135135,0.040541
TPC_NONE,0.061947,0.061947,0.079646,0.132743,0.141593,0.070796,0.097345,0.044248,0.088496,0.097345,0.123894
UC_MPAR,0.051948,0.038961,0.077922,0.142857,0.116883,0.103896,0.116883,0.077922,0.025974,0.103896,0.142857
UC_MSWAP,0.026667,0.040000,0.120000,0.080000,0.120000,0.146667,0.093333,0.146667,0.106667,0.000000,0.120000
UC_NONE,0.063830,0.021277,0.117021,0.180851,0.063830,0.106383,0.074468,0.127660,0.138298,0.074468,0.031915
