HV,NONE_MPAR,NONE_MSWAP,SPC_MPAR,SPC_MSWAP,SPC_NONE,TPC_MPAR,TPC_MSWAP,TPC_NONE,UC_MPAR,UC_MSWAP,UC_NONE
NONE_MPAR,0.000000,0.000000,0.071429,0.107143,0.214286,0.142857,0.071429,0.035714,0.178571,0.107143,0.071429
NONE_MSWAP,0.000000,0.000000,0.142857,0.142857,0.142857,0.000000,0.142857,0.285714,0.142857,0.000000,0.000000
SPC_MPAR,0.021127,0.021127,0.126761,0.056338,0.105634,0.161972,0.140845,0.098592,0.112676,0.091549,0.063380
SPC_MSWAP,0.014706,0.000000,0.117647,0.058824,0.102941,0.176471,0.014706,0.176471,0.161765,0.073529,0.102941
SPC_NONE,0.040404,0.010101,0.161616,0.070707,0.111111,0.121212,0.090909,0.090909,0.131313,0.050505,0.121212
TPC_MPAR,0.032520,0.008130,0.113821,0.081301,0.105691,0.162602,0.089431,0.121951,0.121951,0.065041,0.097561
TPC_MSWAP,0.039474,0.013158,0.184211,0.052632,0.171053,0.118421,0.065789,0.105263,0.118421,0.065789,0.065789
TPC_NONE,0.047170,0.000000,0.169811,0.075472,0.084906,0.113208,0.113208,0.084906,0.113208,0.103774,0.094340
UC_MPAR,0.082569,0.000000,0.091743,0.100917,0.128440,0.137615,0.073394,0.100917,0.137615,0.055046,0.091743
UC_MSWAP,0.000000,0.000000,0.142857,0.031746,0.047619,0.142857,0.079365,0.222222,0.158730,0.047619,0.126984
UC_NONE,0.037975,0.012658,0.075949,0.151899,0.113924,0.126582,0.075949,0.189873,0.075949,0.050633,0.088608
