ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BHUDDI,0,1,1,1,0.01,False,False,"[42, 39, 52, 23, 39, 5, 55, 26]",[],"[42.85687160505226, 39.484920257947685, 52.14397696045935, 23.84458507324274, 39.37015795513398, 5.677166045796787, 55.11575518181828, 26.32146801293041]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6906463633910634,,,,3350196992,6227876,,,,,,,0.6737856223900255,0.0,0.0,0.0,0.0,0.0,0.01,14,0,100,0,0.14,0,BEST,False,False,367,True,True,GREEDY,,,GREEDY_CROSS
BDCSKB,0,1,2,2,0.02,True,False,"[50, 33, 44, 38, 10, 6, 30, 22]",[],"[50.37700475819437, 33.03753549927902, 44.68708848735248, 38.24853971221797, 10.597815202492892, 6.546993013349368, 30.53885914781106, 22.08064748524651]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6923359815958452,,,,1394586624,2366884,,,,,,,0.6872446380762729,-0.0006114845169038,0.625,0.375,0.0,1.0,0.02,6,0,100,0,0.06,0,BEST,False,False,360,True,True,GREEDY,,,GREEDY_CROSS
BDCSKB,0,1,3,2,0.03,True,False,"[50, 33, 44, 38, 10, 6, 30, 22]",[],"[50.37700475819437, 33.03753549927902, 44.68708848735248, 38.24853971221797, 10.597815202492892, 6.546993013349368, 30.53885914781106, 22.08064748524651]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6923359815958452,,,,1394586624,2366884,,,,,,,0.6963731462517164,0.0026013936816583,0.625,0.375,0.0,0.0,0.02,5,0,100,0,0.05,0,BEST,False,False,360,True,True,GREEDY,,,GREEDY_CROSS
BFMBWP,0,1,4,4,0.04,True,False,"[42, 39, 52, 23, 39, 5, 55, 22]",[],"[42.74427755608249, 39.257088668946324, 52.24141670464891, 23.213091698784726, 39.39770504218532, 5.810553309721108, 55.98582387173009, 22.433466867750276]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6973408789925755,,,,3345414144,6096292,,,,,,,0.6969545060159663,-0.0036867699678586,0.875,0.125,0.0,0.875,0.04,3,0,100,0,0.03,0,BEST,False,False,330,True,True,GREEDY,,,GREEDY_CROSS
BUOCAG,0,1,5,5,0.05,True,False,"[3, 27, 12, 20, 46, 6, 4, 22]",[],"[3.1162057413261244, 27.174313566321267, 12.111606681135692, 20.507610476289422, 46.48339821843331, 6.4855964006151305, 4.891810685314366, 22.81308901081755]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.698587168073939,,,,808536576,1728292,,,,,,,0.6990892440279493,-0.0002334459132485,0.5,0.5,0.0,0.875,0.05,1,0,100,0,0.01,0,BEST,False,False,324,True,True,GREEDY,,,GREEDY_CROSS
BCVPPO[M],0,1,6,6,0.06,True,True,"[16, 1, 42, 38, 46, 4, 24, 23]",[],"[16.547257876799627, 1.7960389386920925, 42.3580696963783, 38.570313442396454, 46.2360319968566, 4.337801480531852, 24.871849967847563, 23.938277870036167]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [32, 3]}), ({'CONV': [32, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7013291419514583,,,,647198208,2545316,,,,,,"[16, 1, 43, 38, 45, 4, 24, 23]",0.7041219356167472,-0.0050007826118465,0.0,0.0,0.25,0.875,0.06,1,0,100,0,0.01,0,BEST,False,False,298,True,True,GREEDY,,,GREEDY_CROSS
BCVPPO[M],0,1,7,6,0.07,True,True,"[16, 1, 42, 38, 46, 4, 24, 23]",[],"[16.547257876799627, 1.7960389386920925, 42.3580696963783, 38.570313442396454, 46.2360319968566, 4.337801480531852, 24.871849967847563, 23.938277870036167]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [32, 3]}), ({'CONV': [32, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7013291419514583,,,,647198208,2545316,,,,,,"[16, 1, 43, 38, 45, 4, 24, 23]",0.710109893991533,-0.0012420927110617,0.0,0.0,0.25,0.0,0.06,2,0,100,0,0.02,0,BEST,False,False,298,True,True,GREEDY,,,GREEDY_CROSS
BCVPPO[M],0,1,8,6,0.08,True,True,"[16, 1, 42, 38, 46, 4, 24, 23]",[],"[16.547257876799627, 1.7960389386920925, 42.3580696963783, 38.570313442396454, 46.2360319968566, 4.337801480531852, 24.871849967847563, 23.938277870036167]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [32, 3]}), ({'CONV': [32, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7013291419514583,,,,647198208,2545316,,,,,,"[16, 1, 43, 38, 45, 4, 24, 23]",0.712605170527082,-0.0011232258724106,0.0,0.0,0.25,0.0,0.06,1,0,100,0,0.01,0,BEST,False,False,298,True,True,GREEDY,,,GREEDY_CROSS
BCVPPO[M],0,1,9,6,0.09,True,True,"[16, 1, 42, 38, 46, 4, 24, 23]",[],"[16.547257876799627, 1.7960389386920925, 42.3580696963783, 38.570313442396454, 46.2360319968566, 4.337801480531852, 24.871849967847563, 23.938277870036167]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [32, 3]}), ({'CONV': [32, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7013291419514583,,,,647198208,2545316,,,,,,"[16, 1, 43, 38, 45, 4, 24, 23]",0.7143177043897706,0.0007257519873681,0.0,0.0,0.25,0.0,0.06,2,0,100,0,0.02,0,BEST,False,False,298,True,True,GREEDY,,,GREEDY_CROSS
BCVPPO[M],0,1,10,6,0.1,True,True,"[16, 1, 42, 38, 46, 4, 24, 23]",[],"[16.547257876799627, 1.7960389386920925, 42.3580696963783, 38.570313442396454, 46.2360319968566, 4.337801480531852, 24.871849967847563, 23.938277870036167]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [32, 3]}), ({'CONV': [32, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7013291419514583,,,,647198208,2545316,,,,,,"[16, 1, 43, 38, 45, 4, 24, 23]",0.7144033272235881,-0.0014428746881572,0.0,0.0,0.25,0.0,0.06,3,0,100,0,0.03,0,BEST,False,False,298,True,True,GREEDY,,,GREEDY_CROSS
