ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BUBFLE,0,1,100,89,1.0,True,False,"[14, 7, 4, 22, 46, 6, 22, 23]",[],"[14.15911506718981, 7.778846228398503, 4.756784989838147, 22.625221216723215, 46.41863342402694, 6.419238104725007, 22.138208684971303, 23.94347334143254]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7163137573900575,,,,1194032128,2885924,,,,,,,0.7373660575676407,-7.280635678119651e-06,0.125,0.375,0.0,0.0,0.89,0,0,100,0,0.0,0,BEST,False,False,74,True,True,GREEDY,,,GREEDY_CROSS
BHRTQU,1,2,100,91,1.0,True,False,"[26, 63, 4, 38, 46, 6, 38, 23]",[],"[26.614166064920123, 63.24071559225422, 4.011068445025473, 38.02276919729618, 46.723490376400626, 6.7423354723454, 38.016205653897686, 23.49963848883728]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7223188200333751,,,,4970369024,5186596,,,,,,,0.7403025018243417,3.143115934189922e-07,0.125,0.25,0.0,0.0,0.91,0,0,100,0,0.0,0,BEST,False,False,3,True,True,GREEDY,,,GREEDY_CROSS
BSSASR,2,3,100,87,1.0,True,False,"[2, 63, 15, 38, 46, 38, 22, 23]",[],"[2.616925116371714, 63.92255232379604, 15.53007588721474, 38.682900886941475, 46.63178354499316, 38.774459502615244, 22.008867160788522, 23.71545972330811]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7179041977431586,,,,5036454912,5678628,,,,,,,0.7376469890702542,-6.330123881959082e-06,0.125,0.125,0.0,0.0,0.87,0,0,100,0,0.0,0,BEST,False,False,45,True,True,GREEDY,,,GREEDY_CROSS
BTEVMM[M],3,4,100,99,1.0,True,True,"[14, 5, 20, 38, 14, 7, 38, 39]",[],"[14.700052715965239, 5.013124265890041, 20.168415579085863, 38.882720271154255, 14.655241019067754, 7.187206336292422, 38.46683949629768, 39.602840557539366]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7119293208563242,,,,1052445696,3189028,,,,,,"[14, 5, 20, 38, 14, 7, 38, 39]",0.7335872081868127,-8.82177148830987e-06,0.25,0.25,0.0,0.0,0.99,0,0,100,0,0.0,0,BEST,False,False,154,True,True,GREEDY,,,GREEDY_CROSS
BOZMAE[M],4,5,100,100,1.0,True,True,"[26, 36, 38, 38, 46, 6, 31, 23]",[],"[26.48781195573831, 36.71461290376207, 38.724302778240094, 38.89150707198479, 46.13141061798919, 6.277242881361291, 31.102924560390658, 23.65196471368295]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7207658974732721,,,,1480203264,4068004,,,,,,"[26, 36, 38, 38, 46, 6, 31, 23]",0.7384022407362277,-5.006980582145104e-06,0.125,0.125,0.0,0.125,1.0,0,0,100,0,0.0,0,BEST,False,False,10,True,True,GREEDY,,,GREEDY_CROSS
BOWFWR[M],5,6,100,90,1.0,True,True,"[14, 36, 27, 22, 28, 7, 39, 55]",[],"[14.308542864593889, 36.07634356418777, 27.77175863132748, 22.321801388770776, 28.96671526984942, 7.058761033928218, 39.352365744934296, 55.419382537588156]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.720017039046687,,,,1621605376,5163300,,,,,,"[14, 36, 27, 22, 28, 7, 38, 55]",0.7404492364080368,-8.869005650113948e-06,0.0,0.0,0.125,0.0,0.9,0,0,100,0,0.0,0,BEST,False,False,16,True,True,GREEDY,,,GREEDY_CROSS
BJXDIO[M],6,7,100,61,1.0,True,True,"[14, 7, 2, 38, 47, 22, 55, 23]",[],"[14.493154475642248, 7.750705387301715, 2.5184349065184004, 38.34767728896342, 47.749288980497994, 22.41894757124655, 55.40024558949573, 23.801955514638344]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7192223411794507,,,,1407967232,5620900,,,,,,"[14, 7, 2, 38, 47, 22, 54, 23]",0.7392400003916402,-4.881596260108978e-06,0.0,0.0,0.125,0.0,0.61,0,0,100,0,0.0,0,BEST,False,False,23,True,True,GREEDY,,,GREEDY_CROSS
BUHQGQ,7,8,100,62,1.0,True,False,"[37, 30, 46, 38, 46, 6, 31, 23]",[],"[37.97045744327336, 30.752601660812065, 46.32483717501956, 38.981619574288544, 46.648118084636785, 6.855750779091218, 31.848363934760943, 23.67575348374896]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7201633654144097,,,,2798722048,5215652,,,,,,,0.7396844441095589,-2.802422265624216e-05,0.125,0.375,0.0,0.0,0.62,0,0,100,0,0.0,0,BEST,False,False,14,True,True,GREEDY,,,GREEDY_CROSS
BAYHGC,8,9,100,98,1.0,True,False,"[14, 63, 15, 39, 28, 6, 7, 55]",[],"[14.348232692378083, 63.83260733309686, 15.524716222986026, 39.086219498312005, 28.825756050014018, 6.669750868678561, 7.510543149937852, 55.31828242917394]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7171635816372541,,,,7913602560,8064804,,,,,,,0.735506368250419,-9.151059216394586e-06,0.25,0.5,0.0,0.0,0.98,0,0,100,0,0.0,0,BEST,False,False,59,True,True,GREEDY,,,GREEDY_CROSS
BLERZA[M],9,10,100,94,1.0,True,True,"[14, 36, 2, 38, 47, 22, 22, 6]",[],"[14.732613098525764, 36.630994244208516, 2.184151978257492, 38.818994912178184, 47.97793396635283, 22.782572080895804, 22.157266660748007, 6.444236265454639]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7161746871120318,,,,1648957952,3403940,,,,,,"[14, 36, 2, 38, 47, 22, 22, 6]",0.7373044861053688,-1.3237903180973731e-05,0.125,0.5,0.0,0.0,0.94,0,0,100,0,0.0,0,BEST,False,False,77,True,True,GREEDY,,,GREEDY_CROSS
