ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BHUDDI,0,1,1,1,0.01,False,False,"[42, 39, 52, 23, 39, 5, 55, 26]",[],"[42.85687160505226, 39.484920257947685, 52.14397696045935, 23.84458507324274, 39.37015795513398, 5.677166045796787, 55.11575518181828, 26.32146801293041]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6906463633910634,,,,3350196992,6227876,,,,,,,0.6718292562626207,0.0,0.0,0.0,0.0,0.0,0.01,0,13,0,100,0,0.13,BEST,False,False,338,True,True,GREEDY,,,GREEDY_MUT
BHUDDI,0,1,2,1,0.02,False,False,"[42, 39, 52, 23, 39, 5, 55, 26]",[],"[42.85687160505226, 39.484920257947685, 52.14397696045935, 23.84458507324274, 39.37015795513398, 5.677166045796787, 55.11575518181828, 26.32146801293041]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6906463633910634,,,,3350196992,6227876,,,,,,,0.6847242557025845,0.0014605674720168,0.0,0.0,0.0,0.0,0.01,0,5,0,100,0,0.05,BEST,False,False,338,True,True,GREEDY,,,GREEDY_MUT
BTHAPL[M][M][M],0,1,3,3,0.03,True,True,"[14, 32, 3, 17, 2, 6, 31, 62]",[],"[14.265137236798177, 32.62236632699087, 3.5036313592309165, 17.83697899231783, 2.742382091843313, 6.812486644741871, 31.05200100241652, 62.95170946082226]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [64, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6974007289611218,,,,1131098112,3807524,,,,,,"[14, 32, 3, 17, 3, 5, 32, 62]",0.6851879246043548,-0.0074459826789882,0.0,0.0,0.375,1.0,0.03,0,1,0,100,0,0.01,BEST,False,False,285,True,True,GREEDY,,,GREEDY_MUT
BXCNT[M][M],0,1,4,4,0.04,True,True,"[3, 62, 11, 60, 52, 6, 12, 55]",[],"[3.9622529627558176, 62.11479275360103, 11.658719843197616, 60.103274934816625, 52.95055507912808, 6.506907431572191, 12.500021819737515, 55.54299860316971]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [64, 5]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6975424574021226,,,,2849637888,4942372,,,,,,"[14, 40, 17, 5, 50, 34, 19, 38]",0.6993954330603951,0.0020238500416266,0.0,0.0,1.0,0.875,0.04,0,1,0,100,0,0.01,BEST,False,False,282,True,True,GREEDY,,,GREEDY_MUT
BXCNT[M][M],0,1,5,4,0.05,True,True,"[3, 62, 11, 60, 52, 6, 12, 55]",[],"[3.9622529627558176, 62.11479275360103, 11.658719843197616, 60.103274934816625, 52.95055507912808, 6.506907431572191, 12.500021819737515, 55.54299860316971]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [64, 5]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6975424574021226,,,,2849637888,4942372,,,,,,"[14, 40, 17, 5, 50, 34, 19, 38]",0.6979727455266556,-0.000419313221585,0.0,0.0,1.0,0.0,0.04,0,0,0,100,0,0.0,BEST,False,False,282,True,True,GREEDY,,,GREEDY_MUT
BWWQQV[M][M],0,1,6,6,0.06,True,True,"[0, 58, 9, 38, 26, 4, 46, 31]",[],"[0.846264813668961, 58.761067785134486, 9.532004921057117, 38.95294998766454, 26.672355545435458, 4.623010786875752, 46.96867768361776, 31.535293365771995]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [256, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [32, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6976530850692807,,,,1107398656,2848932,,,,,,"[0, 59, 9, 38, 27, 5, 47, 31]",0.6986047274090632,-0.00301614634972,0.0,0.0,0.5,1.0,0.06,0,1,0,100,0,0.01,BEST,False,False,281,True,True,GREEDY,,,GREEDY_MUT
BWWQQV[M][M],0,1,7,6,0.07,True,True,"[0, 58, 9, 38, 26, 4, 46, 31]",[],"[0.846264813668961, 58.761067785134486, 9.532004921057117, 38.95294998766454, 26.672355545435458, 4.623010786875752, 46.96867768361776, 31.535293365771995]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [256, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [32, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6976530850692807,,,,1107398656,2848932,,,,,,"[0, 59, 9, 38, 27, 5, 47, 31]",0.7016208782747116,-0.0050780896593251,0.0,0.0,0.5,0.0,0.06,0,0,0,100,0,0.0,BEST,False,False,281,True,True,GREEDY,,,GREEDY_MUT
BYGCSR[M],0,1,8,8,0.08,True,True,"[38, 3, 11, 60, 52, 7, 11, 55]",[],"[38.48343393249607, 3.834273892971821, 11.326211875563414, 60.20707897529001, 52.036713909079396, 7.413147572136497, 11.511866425486062, 55.23109583263138]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [64, 5]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [64, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7002227683418477,,,,1603465728,4210468,,,,,,"[38, 3, 11, 60, 52, 6, 12, 55]",0.7026773295308322,-0.0006131838615043,0.75,0.25,0.25,1.0,0.08,0,0,0,100,0,0.0,BEST,False,False,254,True,True,GREEDY,,,GREEDY_MUT
BLOKUN[M][M],0,1,9,9,0.09,True,True,"[2, 26, 43, 38, 47, 5, 29, 22]",[],"[2.7694692814982966, 26.020260641721677, 43.77890449197804, 38.65909239068264, 47.20450700891769, 5.824111232806406, 29.915254379312728, 22.55698918304252]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7012872915406989,,,,1018205184,3434788,,,,,,"[2, 24, 42, 38, 46, 5, 29, 22]",0.7079853724016465,-0.0046844433587256,0.0,0.0,0.375,1.0,0.09,0,0,0,100,0,0.0,BEST,False,False,245,True,True,GREEDY,,,GREEDY_MUT
BLOKUN[M][M],0,1,10,9,0.1,True,True,"[2, 26, 43, 38, 47, 5, 29, 22]",[],"[2.7694692814982966, 26.020260641721677, 43.77890449197804, 38.65909239068264, 47.20450700891769, 5.824111232806406, 29.915254379312728, 22.55698918304252]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7012872915406989,,,,1018205184,3434788,,,,,,"[2, 24, 42, 38, 46, 5, 29, 22]",0.7118346864840102,-0.000720484312497,0.0,0.0,0.375,0.0,0.09,0,0,0,100,0,0.0,BEST,False,False,245,True,True,GREEDY,,,GREEDY_MUT
