Execution,Generation,Crossover_type,Mutation_type,mean_accuracy,std_accuracy,mean_flops,std_flops,mean_params,std_params,HV,dHV,succ_cross,succ_mut,GD,search_name,GOs_history,GOs_count
1,1,UC,MNUF,0.6551177868563939,0.025383058613562045,1532311164.16,981734692.9307812,3084595.36,1591275.4932300283,0.6790615698224839,0,0.21,0.11,7.852727272727273,GREEDY_MUT,['SBX_MPOLY'],{'SBX_MPOLY': 1}
1,2,UC,MNUF,0.6564373835513423,0.02479209950721141,1115113724.16,868087134.3524033,2688111.52,1508695.9547109052,0.6850841928855356,0.00602262306305168,0.15,0.025,7.806868686868687,GREEDY_MUT,"['SBX_MPOLY', 'UC_MPOLY']","{'SBX_MPOLY': 1, 'UC_MPOLY': 1}"
1,3,NONE,MPOLY,0.6537865104393222,0.02747401730559475,973334137.6,782774650.6758127,2381860.0,1543482.5683894977,0.6926339072833431,0.007549714397807494,0,0.12,7.759191919191919,GREEDY_MUT,"['SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY']","{'SBX_MPOLY': 2, 'UC_MPOLY': 1}"
1,4,SBX,MNUF,0.6583712896153906,0.02680370294278913,1032052627.2,858703130.001801,2561607.84,1791483.523568457,0.6972803220852872,0.004646414801944165,0.01,0.11,7.7327272727272724,GREEDY_MUT,"['SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'SBX_MPOLY': 3, 'UC_MPOLY': 1}"
1,5,NONE,MPOLY,0.6585499402067764,0.026088869099750955,963193061.12,1055939496.439731,2242895.52,1667500.9145744562,0.6983920587482406,0.0011117366629533887,0,0.11,7.647070707070707,GREEDY_MUT,"['SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'SBX_MPOLY': 4, 'UC_MPOLY': 1}"
1,6,NONE,MPOLY,0.6601913098871567,0.026319292940456308,765105443.84,542808336.8874396,1974887.84,986008.4146558458,0.7016208737587832,0.0032288150105426183,0,0.13,7.588484848484849,GREEDY_MUT,"['SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'NONE_MPOLY']","{'SBX_MPOLY': 4, 'UC_MPOLY': 1, 'NONE_MPOLY': 1}"
1,7,NONE,MNUF,0.658836546918627,0.027141971798866772,776540843.52,567238283.0179428,1935486.88,1007933.2655468147,0.7016208782747116,4.515928408999059e-09,0,0.0,7.5937373737373735,GREEDY_MUT,"['SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'NONE_MPOLY', 'SBX_MPOLY']","{'SBX_MPOLY': 5, 'UC_MPOLY': 1, 'NONE_MPOLY': 1}"
1,8,TPC,MPOLY,0.6600958864825892,0.02595101934816206,552390542.08,342215986.58985376,1818945.44,981503.0214463562,0.7071992590570242,0.005578380782312542,0.13,0.075,7.350909090909091,GREEDY_MUT,"['SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'NONE_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'SBX_MPOLY': 6, 'UC_MPOLY': 1, 'NONE_MPOLY': 1}"
1,9,SPC,MPOLY,0.66458634072214,0.024148685818895812,549908326.4,367655225.44391686,1738621.6,939181.1163430405,0.7118346864840102,0.004635427426985972,0.1,0.05,7.317171717171717,GREEDY_MUT,"['SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'NONE_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'SBX_MPOLY': 7, 'UC_MPOLY': 1, 'NONE_MPOLY': 1}"
1,10,NONE,MNUF,0.6659530121022549,0.022102593701343817,536456687.36,330356686.16553384,1750969.76,938044.1423609565,0.7118346864840102,0.0,0,0.0,7.2832323232323235,GREEDY_MUT,"['SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'NONE_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'SBX_MPOLY': 8, 'UC_MPOLY': 1, 'NONE_MPOLY': 1}"
1,11,NONE,MNUF,0.6655870347108597,0.02310074011175697,535068179.2,328082655.45536095,1711735.2,955211.2112548095,0.7118351052510817,4.1876707157495474e-07,0,0.0,7.271111111111111,GREEDY_MUT,"['SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'NONE_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'SBX_MPOLY': 9, 'UC_MPOLY': 1, 'NONE_MPOLY': 1}"
1,12,TPC,MNUF,0.6669759536150065,0.020981457559814454,551862167.04,354046593.7183447,1733016.48,944669.3361896795,0.7131840591466247,0.0013489538955430147,0.1,0.0,7.287070707070707,GREEDY_MUT,"['SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'NONE_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'SBX_MPOLY': 10, 'UC_MPOLY': 1, 'NONE_MPOLY': 1}"
1,13,UC,MPOLY,0.6668964827696676,0.023613251336485286,511284395.52,362017689.3133271,1646651.04,1060288.5431333673,0.7153214328453876,0.002137373698762879,0.11,0.07,7.104646464646464,GREEDY_MUT,"['SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'NONE_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'SBX_MPOLY': 11, 'UC_MPOLY': 1, 'NONE_MPOLY': 1}"
1,14,SBX,MPOLY,0.6698343007417518,0.02132868683263645,505223096.32,332500812.6868413,1674836.64,1025065.7052502682,0.7159068650320335,0.0005854321866458623,0.0,0.095,7.115151515151515,GREEDY_MUT,"['SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'NONE_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'SBX_MPOLY': 12, 'UC_MPOLY': 1, 'NONE_MPOLY': 1}"
1,15,UC,MPOLY,0.6689014709113239,0.024531007331489933,447594256.64,299073709.8663364,1601737.12,1107017.2344018617,0.7229047952862568,0.00699793025422335,0.03,0.06,6.974141414141414,GREEDY_MUT,"['SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'NONE_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'SBX_MPOLY': 13, 'UC_MPOLY': 1, 'NONE_MPOLY': 1}"
1,16,SPC,MNUF,0.670021400216243,0.02427576066403546,472255590.4,340179439.9937371,1666770.08,1143373.156449981,0.7251938166612688,0.002289021375011968,0.13,0.0,6.998585858585859,GREEDY_MUT,"['SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'NONE_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'SBX_MPOLY': 14, 'UC_MPOLY': 1, 'NONE_MPOLY': 1}"
1,17,UC,MPOLY,0.6727909632645092,0.023600106643440706,459188122.88,336765179.72765774,1582585.76,1084851.4170316702,0.7271061208458953,0.001912304184626512,0.12,0.04,6.8533333333333335,GREEDY_MUT,"['SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'NONE_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'SBX_MPOLY': 15, 'UC_MPOLY': 1, 'NONE_MPOLY': 1}"
