State,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NONE_MPOLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBX_MNUF,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SBX_MPOLY,0,0,0,1,0,0,1,2,0,0,0,0,0,2
SBX_NONE,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SPC_MNUF,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SPC_MPOLY,0,0,0,0,1,0,0,3,0,0,3,0,1,1
SPC_NONE,0,0,0,1,0,0,1,3,0,2,7,0,0,6
TPC_MNUF,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TPC_MPOLY,0,0,0,0,0,0,0,0,0,1,2,0,0,1
TPC_NONE,0,0,0,3,0,0,2,6,0,1,4,1,4,6
UC_MNUF,0,0,0,0,0,1,0,0,0,0,0,1,0,0
UC_MPOLY,0,0,0,0,0,0,2,0,0,0,3,0,0,2
UC_NONE,0,0,0,1,0,1,2,5,1,0,8,0,1,1
