ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BEBJDQ,0,1,100,83,1.0,True,False,"[2, 23, 4, 38, 46, 6, 31, 23]",[],"[2.0070573768444615, 23.380831438958023, 4.819700529579687, 38.055038328051275, 46.155577672436706, 6.109099279416934, 31.652352985868212, 23.159547855113452]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7168175404534705,,,,1486896128,3710884,,,,,,,0.7377167033307752,-1.4075305277860828e-05,0.125,0.25,0.0,0.0,0.83,0,0,0,100,0,0.0,BEST,False,False,53,True,True,GREEDY,,,GREEDY_GD
BHFDBA,1,2,100,40,1.0,True,False,"[16, 10, 4, 38, 46, 6, 17, 23]",[],"[16.670290561016525, 10.07281637505995, 4.266118121099184, 38.82918031828158, 46.9270197895883, 6.133487615227524, 17.17642076917668, 23.628506930351808]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [32, 3]}), ({'CONV': [32, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7175322513838225,,,,646215168,2520228,,,,,,,0.7376150399535975,-2.350880735413341e-06,0.125,0.25,0.0,0.0,0.4,0,0,0,100,0,0.0,BEST,False,False,44,True,True,GREEDY,,,GREEDY_GD
BTXMAX[M],2,3,100,99,1.0,True,True,"[0, 18, 4, 38, 46, 6, 17, 23]",[],"[0.5636809277505443, 18.18286580393405, 4.989570696896865, 38.29762062842858, 46.66354976619577, 6.4383832130336796, 17.712750251333205, 23.209152731950358]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7158566343276525,,,,612660736,2503844,,,,,,"[0, 18, 4, 38, 46, 6, 17, 23]",0.7376291669598274,-3.7695950665384e-06,0.125,0.5,0.0,0.0,0.99,0,0,0,100,0,0.0,BEST,False,False,76,True,True,GREEDY,,,GREEDY_GD
BAXJLT,3,4,100,96,1.0,True,False,"[37, 17, 38, 38, 51, 47, 55, 31]",[],"[37.11407948727478, 17.049666953412626, 38.470620770011635, 38.41206030338519, 51.71446098665088, 47.76904248699719, 55.01327996697922, 31.373480556543598]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [64, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7205084956141422,,,,2081554432,6639012,,,,,,,0.7402399030639599,-7.988681020920652e-06,0.375,0.25,0.0,0.0,0.96,0,0,0,100,0,0.0,BEST,False,False,15,True,True,GREEDY,,,GREEDY_GD
BGYWON,4,5,100,45,1.0,True,False,"[2, 7, 20, 22, 46, 6, 54, 23]",[],"[2.3731427760815205, 7.749834723709591, 20.25168298100547, 22.635639327887056, 46.05857867401074, 6.285826535634835, 54.791417192846644, 23.271904710882]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7195365621963473,,,,984438784,3738020,,,,,,,0.7396391681578053,-0.0004537654411759,0.125,0.125,0.0,0.0,0.45,0,0,0,100,0,0.0,BEST,False,False,22,True,True,GREEDY,,,GREEDY_GD
BNBZMN,5,6,100,96,1.0,True,False,"[28, 7, 15, 22, 46, 6, 62, 23]",[],"[28.85906604048257, 7.705418989736142, 15.96040318391412, 22.619090937025575, 46.19497653509435, 6.148048953476303, 62.078936468845136, 23.269899869612303]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7205528229829399,,,,1475786752,5207204,,,,,,,0.7408875235944545,-5.046632870486789e-05,0.25,0.125,0.0,0.0,0.96,0,0,0,100,0,0.0,BEST,False,False,14,True,True,GREEDY,,,GREEDY_GD
BPYSVI[M],6,7,100,90,1.0,True,True,"[13, 6, 23, 36, 46, 6, 54, 31]",[],"[13.062505630849348, 6.246940759977358, 23.740508358048235, 36.71382011298019, 46.66716547419652, 6.512697573998459, 54.63554879688741, 31.86653491374065]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7199265655270243,,,,1234278400,4152228,,,,,,"[13, 6, 23, 36, 46, 6, 55, 31]",0.7403426390223049,-4.1269391851672665e-06,0.25,0.0,0.125,0.0,0.9,0,0,0,100,0,0.0,BEST,False,False,17,True,True,GREEDY,,,GREEDY_GD
BBPEYB,7,8,100,94,1.0,True,False,"[3, 0, 20, 23, 46, 7, 62, 55]",[],"[3.435517917400722, 0.3790441120756901, 20.14886966187251, 23.38709301122145, 46.26023697794597, 7.217974051621415, 62.177054218722105, 55.33649253384525]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [32, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7173795737706175,,,,820909056,6559012,,,,,,,0.7379356061536092,-0.0001612421016905,0.125,0.375,0.0,0.0,0.94,0,0,0,100,0,0.0,BEST,False,False,46,True,True,GREEDY,,,GREEDY_GD
BGWNYU[M],8,9,100,98,1.0,True,True,"[2, 10, 4, 23, 46, 6, 54, 23]",[],"[2.592749924708571, 10.91228785112076, 4.448475869648503, 23.501707763169062, 46.94706741747127, 6.30935875917832, 54.715283538651036, 23.64320344391166]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7144693701672594,,,,717338624,3679780,,,,,,"[2, 10, 4, 23, 46, 6, 54, 23]",0.7356546396563041,-3.5439728401920334e-06,0.125,0.5,0.0,0.0,0.98,0,0,0,100,0,0.0,BEST,False,False,95,True,True,GREEDY,,,GREEDY_GD
BUVFQY,9,10,100,62,1.0,True,False,"[2, 7, 4, 38, 46, 38, 55, 62]",[],"[2.518476901641275, 7.387999584727554, 4.18980027654901, 38.109971511652326, 46.84758962358214, 38.56375510640562, 55.697632787971024, 62.649203821083134]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7181881047371357,,,,1184803840,7012004,,,,,,,0.7387114987183527,-3.131706936665424e-06,0.25,0.25,0.0,0.0,0.62,0,0,0,100,0,0.0,BEST,False,False,30,True,True,GREEDY,,,GREEDY_GD
