ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
NCRX,19324,1,1,False,False,"[1, 0, 0, 1, 3, 0, 2, -1, 1, 1, 3, 0, 2, -1, 0, 1, 1, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,20,"[0.2705000042915344, 0.5523999929428101, 0.6152999997138977, 0.5958999991416931, 0.6640999913215637, 0.6718999743461609, 0.6171000003814697, 0.6258000135421753, 0.71670001745224, 0.7020000219345093, 0.7515000104904175, 0.7092999815940857, 0.7294999957084656, 0.7698000073432922, 0.7479000091552734, 0.703000009059906, 0.7613000273704529, 0.7656000256538391, 0.7556999921798706, 0.7856000065803528]","[2.1108880043029785, 1.325612187385559, 1.1622205972671509, 1.202574610710144, 1.0275061130523682, 1.0217547416687012, 1.1580127477645874, 1.1139591932296753, 0.815601646900177, 0.8739925026893616, 0.732470691204071, 0.8864879012107849, 0.8057469129562378, 0.6843876838684082, 0.7542989253997803, 0.8796544075012207, 0.7125582695007324, 0.7030486464500427, 0.7320466041564941, 0.6353772878646851]",0.7856000065803528,0.6353772878646851,163742014,385.76056957244873,1670730,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
BGEO,19324,1,1,False,False,"[1, 2, 0, 2, -1, 1, 1, 0, 1, 1, 0, 0, 2, -1, 0, 1, 1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,20,"[0.17000000178813934, 0.47690001130104065, 0.515999972820282, 0.48489999771118164, 0.5740000009536743, 0.6017000079154968, 0.5565999746322632, 0.5701000094413757, 0.6470000147819519, 0.6104999780654907, 0.6177999973297119, 0.6036999821662903, 0.6444000005722046, 0.6344000101089478, 0.6248000264167786, 0.6917999982833862, 0.6261000037193298, 0.6740000247955322, 0.6797000169754028, 0.6657000184059143]","[3.060488700866699, 1.482033133506775, 1.3863611221313477, 1.4784166812896729, 1.2192487716674805, 1.183974266052246, 1.2915700674057007, 1.2866339683532715, 0.9833613038063049, 1.2142428159713745, 1.1015682220458984, 1.1326532363891602, 1.033645749092102, 1.0845348834991455, 1.0949593782424927, 0.8730300664901733, 1.1536495685577393, 0.9498361349105835, 0.9369422793388367, 1.0179983377456665]",0.6657000184059143,1.0179983377456665,18289278,358.8562788963318,431626,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
SGQA,19324,1,1,False,False,"[1, 1, 0, 1, 1, 0, 1, 3, 0, 2, -1, 1, 1, 2, 0, 1, 1, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,20,"[0.33820000290870667, 0.5097000002861023, 0.6412000060081482, 0.6449999809265137, 0.5340999960899353, 0.6843000054359436, 0.67330002784729, 0.782800018787384, 0.6661999821662903, 0.7680000066757202, 0.7736999988555908, 0.7662000060081482, 0.777999997138977, 0.7264000177383423, 0.8027999997138977, 0.7617999911308289, 0.7991999983787537, 0.7943999767303467, 0.7774999737739563, 0.7932999730110168]","[1.9291869401931763, 1.6502866744995117, 1.0856561660766602, 1.0141323804855347, 1.615727186203003, 0.9263241291046143, 0.9555668830871582, 0.6492245197296143, 1.0929731130599976, 0.6784672737121582, 0.6669914722442627, 0.6718778610229492, 0.6960263252258301, 0.9207863211631775, 0.5939853191375732, 0.7726622223854065, 0.6176798343658447, 0.6583021283149719, 0.6957051157951355, 0.6587115526199341]",0.7932999730110168,0.6587115526199341,255716478,409.0436351299286,4661258,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
FTMR,19324,1,1,False,False,"[1, 3, 0, 1, 3, 0, 1, 1, 1, 1, 2, 0, 2, -1, 1, 1, 1, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,20,"[0.33959999680519104, 0.54830002784729, 0.5548999905586243, 0.609000027179718, 0.6552000045776367, 0.6111999750137329, 0.565500020980835, 0.6326000094413757, 0.6820999979972839, 0.7562000155448914, 0.7408999800682068, 0.744700014591217, 0.7588000297546387, 0.7177000045776367, 0.756600022315979, 0.7513999938964844, 0.7735000252723694, 0.761900007724762, 0.7907000184059143, 0.7264999747276306]","[1.8150978088378906, 1.2923253774642944, 1.4358923435211182, 1.126085638999939, 1.0367027521133423, 1.2540593147277832, 1.3602374792099, 1.1486881971359253, 1.020423173904419, 0.7302326560020447, 0.7389972805976868, 0.7785614132881165, 0.7186519503593445, 0.8657872080802917, 0.7027962803840637, 0.7369118928909302, 0.6692255139350891, 0.6778398156166077, 0.6237550973892212, 0.8754197955131531]",0.7264999747276306,0.8754197955131531,1135903678,718.5326261520386,5261322,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
AJQQ,19324,1,1,False,False,"[1, 0, 1, 1, 2, 1, 2, -1, 1, 1, 3, 0, 1, 1, 1, 1, 0, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,20,"[0.37439998984336853, 0.4869999885559082, 0.5906000137329102, 0.5471000075340271, 0.6462000012397766, 0.6862999796867371, 0.7387999892234802, 0.6301000118255615, 0.6926000118255615, 0.6625999808311462, 0.6804999709129333, 0.7523000240325928, 0.7785000205039978, 0.7031999826431274, 0.7716000080108643, 0.7674999833106995, 0.73089998960495, 0.7368000149726868, 0.7932000160217285, 0.7366999983787537]","[1.7241302728652954, 1.5493980646133423, 1.2601466178894043, 1.438919186592102, 1.107549786567688, 0.9039850831031799, 0.7623158097267151, 1.2279425859451294, 0.9851348400115967, 1.1894418001174927, 1.0695384740829468, 0.7358278036117554, 0.6698219180107117, 0.9256530404090881, 0.715286374092102, 0.7519286870956421, 0.8839992880821228, 0.8949105739593506, 0.6222418546676636, 0.9164503216743469]",0.7366999983787537,0.9164503216743469,201127150,387.6689465045929,2853226,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
XGQM,19324,1,1,False,False,"[1, 2, 1, 1, 3, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 2, -1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [256, 5]}, {'CONV': [32, 5]}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,20,"[0.4458000063896179, 0.4643000066280365, 0.444599986076355, 0.602400004863739, 0.5708000063896179, 0.647599995136261, 0.6115000247955322, 0.6025000214576721, 0.6535999774932861, 0.5447999835014343, 0.6881999969482422, 0.6643999814987183, 0.6722000241279602, 0.7214000225067139, 0.6930000185966492, 0.6359000205993652, 0.6728000044822693, 0.6978999972343445, 0.7171000242233276, 0.660099983215332]","[1.5244061946868896, 1.4826512336730957, 1.5822616815567017, 1.0835243463516235, 1.2811620235443115, 0.9832127094268799, 1.081832766532898, 1.1282464265823364, 0.971975564956665, 1.5105782747268677, 0.8816918134689331, 0.9768981337547302, 0.9510733485221863, 0.796028733253479, 0.9346644282341003, 1.0680193901062012, 0.9358972907066345, 0.8744013905525208, 0.8153518438339233, 1.0036852359771729]",0.660099983215332,1.0036852359771729,1088533886,607.02343583107,2056970,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
GJPC,19324,1,1,False,False,"[1, 0, 0, 2, -1, 1, 1, 0, 0, 1, 0, 0, 2, -1, 1, 1, 3, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,20,"[0.22660000622272491, 0.5033000111579895, 0.5529999732971191, 0.5633000135421753, 0.49309998750686646, 0.4970000088214874, 0.5307999849319458, 0.5902000069618225, 0.5730000138282776, 0.6370999813079834, 0.6129999756813049, 0.5746999979019165, 0.5260000228881836, 0.6412000060081482, 0.64410001039505, 0.6697999835014343, 0.6064000129699707, 0.7166000008583069, 0.679099977016449, 0.6883000135421753]","[2.43668270111084, 1.3887008428573608, 1.2568470239639282, 1.2426649332046509, 1.520395278930664, 1.5158735513687134, 1.4498716592788696, 1.1867575645446777, 1.2248011827468872, 1.0568130016326904, 1.1331828832626343, 1.2921969890594482, 1.4825128316879272, 1.0819346904754639, 1.0812251567840576, 0.9478036165237427, 1.1814706325531006, 0.8131816983222961, 0.9547293186187744, 0.8972582817077637]",0.6883000135421753,0.8972582817077637,6486958,357.543349981308,2199626,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
HHSP,19324,1,1,False,False,"[1, 1, 0, 2, -1, 1, 1, 2, 1, 2, -1, 1, 1, 1, 0, 1, 2, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 3]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,20,"[0.15600000321865082, 0.5501999855041504, 0.5979999899864197, 0.5271000266075134, 0.5390999913215637, 0.5080000162124634, 0.6317999958992004, 0.6025999784469604, 0.670799970626831, 0.6812000274658203, 0.6463000178337097, 0.6841999888420105, 0.7009999752044678, 0.6394000053405762, 0.6747000217437744, 0.6172999739646912, 0.7322999835014343, 0.6812000274658203, 0.6477000117301941, 0.6589000225067139]","[3.024237871170044, 1.2553094625473022, 1.1148338317871094, 1.4549453258514404, 1.3485151529312134, 1.687570333480835, 1.0752359628677368, 1.1599173545837402, 0.9254668951034546, 0.9278114438056946, 1.0335636138916016, 0.9223954081535339, 0.8780196309089661, 1.0771746635437012, 0.9754842519760132, 1.231758713722229, 0.7776881456375122, 0.967546284198761, 1.0645009279251099, 1.0485739707946777]",0.6589000225067139,1.0485739707946777,31706110,372.48957657814026,1015114,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
QOXL,19324,1,1,False,False,"[1, 2, 1, 2, -1, 0, 1, 1, 0, 2, -1, 0, 1, 2, 0, 1, 3, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,20,"[0.30140000581741333, 0.5156999826431274, 0.448199987411499, 0.5523999929428101, 0.5274999737739563, 0.6761999726295471, 0.6347000002861023, 0.6736999750137329, 0.6973000168800354, 0.5685999989509583, 0.6549000144004822, 0.5946000218391418, 0.7235999703407288, 0.6604999899864197, 0.691100001335144, 0.7494000196456909, 0.7444999814033508, 0.7093999981880188, 0.6705999970436096, 0.6359000205993652]","[2.1073501110076904, 1.3965654373168945, 2.01196026802063, 1.3693541288375854, 1.7914189100265503, 0.9439484477043152, 1.0488108396530151, 0.9563316702842712, 0.8681025505065918, 1.5174137353897095, 1.0629048347473145, 1.6169068813323975, 0.8344488143920898, 1.162155032157898, 0.9565266370773315, 0.7494006156921387, 0.7931547164916992, 0.9127812385559082, 1.086056113243103, 1.322221279144287]",0.6359000205993652,1.322221279144287,61027294,383.1788737773895,8851146,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
UUYV,19324,1,1,False,False,"[1, 0, 0, 1, 0, 0, 1, 2, 0, 2, -1, 1, 1, 0, 1, 1, 0, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,20,"[0.42579999566078186, 0.48249998688697815, 0.628600001335144, 0.5554999709129333, 0.6783000230789185, 0.637499988079071, 0.6931999921798706, 0.6933000087738037, 0.683899998664856, 0.7483000159263611, 0.7002999782562256, 0.7006999850273132, 0.6310999989509583, 0.6953999996185303, 0.717199981212616, 0.7301999926567078, 0.7009000182151794, 0.7490000128746033, 0.7114999890327454, 0.7168999910354614]","[1.6066035032272339, 1.712890386581421, 1.0641472339630127, 1.4296414852142334, 0.9069980382919312, 1.1102714538574219, 0.907659649848938, 0.8925905227661133, 0.9021275639533997, 0.726432204246521, 0.8876303434371948, 0.8931552767753601, 1.260484218597412, 0.9352630972862244, 0.8688267469406128, 0.7807864546775818, 0.9058709740638733, 0.7655880451202393, 0.9391207098960876, 0.8615134954452515]",0.7168999910354614,0.8615134954452515,64930622,405.8660662174225,1171306,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
