ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
XETJ,11799,1,1,False,False,"[1, 1, 0, 1, 3, 0, 1, 3, 1, 1, 2, 1, 2, -1, 1, 1, 0, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,20,"[0.2648000121116638, 0.4438000023365021, 0.5443000197410583, 0.43050000071525574, 0.6653000116348267, 0.6420999765396118, 0.6337000131607056, 0.7541000247001648, 0.6830999851226807, 0.7544999718666077, 0.7358999848365784, 0.7749999761581421, 0.7786999940872192, 0.7767000198364258, 0.7919999957084656, 0.7558000087738037, 0.751800000667572, 0.8037999868392944, 0.7437999844551086, 0.786899983882904]","[2.229475975036621, 2.011887788772583, 1.5078500509262085, 2.0631351470947266, 0.9994289875030518, 1.1006782054901123, 1.14332914352417, 0.6968719363212585, 0.961239755153656, 0.7506356239318848, 0.8006009459495544, 0.672355592250824, 0.6565442085266113, 0.7055526971817017, 0.619121253490448, 0.7950810790061951, 0.7386490702629089, 0.5967667698860168, 0.8387981653213501, 0.6934852004051208]",0.786899983882904,0.6934852004051208,2684886190,1074.7417697906494,4703018,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
IMQU,11799,1,1,False,False,"[1, 3, 0, 2, -1, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 2, -1, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,20,"[0.2624000012874603, 0.47600001096725464, 0.5511000156402588, 0.5605999827384949, 0.6044999957084656, 0.5881999731063843, 0.5827000141143799, 0.5795000195503235, 0.6567999720573425, 0.6312999725341797, 0.6887999773025513, 0.6399999856948853, 0.741100013256073, 0.7055000066757202, 0.676800012588501, 0.7469000220298767, 0.718999981880188, 0.7243000268936157, 0.7527999877929688, 0.7955999970436096]","[2.2192938327789307, 1.5142252445220947, 1.2658261060714722, 1.3534234762191772, 1.1904411315917969, 1.2650641202926636, 1.260464072227478, 1.3508596420288086, 1.0727498531341553, 1.1721652746200562, 0.9952398538589478, 1.1543647050857544, 0.7591147422790527, 0.8715084195137024, 1.0836546421051025, 0.7638986110687256, 0.9517224431037903, 0.8572663068771362, 0.769723653793335, 0.6058722734451294]",0.7955999970436096,0.6058722734451294,604873630,436.5499005317688,7290378,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
TCXG,11799,1,1,False,False,"[1, 2, 0, 1, 1, 1, 2, -1, 1, 1, 0, 0, 1, 2, 1, 1, 0, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,20,"[0.24629999697208405, 0.5242000222206116, 0.49970000982284546, 0.6173999905586243, 0.6022999882698059, 0.6851000189781189, 0.7039999961853027, 0.6718999743461609, 0.7218000292778015, 0.7281000018119812, 0.6585999727249146, 0.7281000018119812, 0.6833999752998352, 0.722100019454956, 0.7008000016212463, 0.7091000080108643, 0.7071999907493591, 0.7513999938964844, 0.777400016784668, 0.7684999704360962]","[2.1011457443237305, 1.3447620868682861, 1.5572102069854736, 1.12944495677948, 1.2130776643753052, 0.9052122235298157, 0.8505973815917969, 0.9506927728652954, 0.8019717335700989, 0.7941139936447144, 1.0760376453399658, 0.8111057877540588, 1.0034148693084717, 0.8488287329673767, 0.9600874185562134, 0.8792368173599243, 0.9258258938789368, 0.7711771726608276, 0.6673479676246643, 0.6923139691352844]",0.7684999704360962,0.6923139691352844,241128478,398.57033133506775,930954,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
JCJD,11799,1,1,False,False,"[1, 3, 1, 1, 1, 1, 2, -1, 0, 1, 2, 0, 1, 0, 0, 2, -1, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,20,"[0.4088999927043915, 0.4810999929904938, 0.5220000147819519, 0.6233000159263611, 0.6431000232696533, 0.6449999809265137, 0.5735999941825867, 0.6503999829292297, 0.6434000134468079, 0.6601999998092651, 0.6564000248908997, 0.7150999903678894, 0.6771000027656555, 0.7063999772071838, 0.7178999781608582, 0.6796000003814697, 0.7443000078201294, 0.7330999970436096, 0.7501000165939331, 0.7544999718666077]","[1.627151608467102, 1.4658901691436768, 1.3737211227416992, 1.064591884613037, 1.003230094909668, 0.9974871277809143, 1.3121838569641113, 0.9895834922790527, 1.015558123588562, 0.9609067440032959, 0.9622161984443665, 0.8315645456314087, 0.9538156390190125, 0.8752057552337646, 0.8091349601745605, 0.9445245265960693, 0.7345002889633179, 0.775020182132721, 0.7353708744049072, 0.7125853896141052]",0.7544999718666077,0.7125853896141052,468522046,506.1712553501129,1069930,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
VBBO,11799,1,1,False,False,"[1, 2, 1, 1, 2, 1, 2, -1, 0, 1, 2, 1, 1, 2, 1, 1, 1, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'CONV': [128, 5]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,20,"[0.2736000120639801, 0.5817000269889832, 0.5490999817848206, 0.5806999802589417, 0.6442999839782715, 0.7195000052452087, 0.7008000016212463, 0.7328000068664551, 0.7128000259399414, 0.7391999959945679, 0.6363000273704529, 0.7860000133514404, 0.7587000131607056, 0.767300009727478, 0.7200000286102295, 0.7900000214576721, 0.7289999723434448, 0.7674999833106995, 0.7972000241279602, 0.7599999904632568]","[2.322903871536255, 1.1814292669296265, 1.2656728029251099, 1.244009256362915, 1.086315631866455, 0.8040637969970703, 0.8468157052993774, 0.78065025806427, 0.8722973465919495, 0.7598987221717834, 1.2751339673995972, 0.6429319381713867, 0.7259101271629333, 0.6896220445632935, 0.9657835960388184, 0.6435926556587219, 0.8332561254501343, 0.6852174997329712, 0.6009595990180969, 0.8145796656608582]",0.7599999904632568,0.8145796656608582,696186206,501.52556824684143,5644234,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
BTRP,11799,1,1,False,False,"[1, 2, 0, 1, 1, 1, 2, -1, 0, 1, 3, 0, 1, 3, 0, 2, -1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,20,"[0.2703000009059906, 0.4715999960899353, 0.5507000088691711, 0.6032000184059143, 0.6355000138282776, 0.6316999793052673, 0.698199987411499, 0.6991000175476074, 0.6646000146865845, 0.5454000234603882, 0.7192999720573425, 0.720300018787384, 0.7146999835968018, 0.7692000269889832, 0.7311999797821045, 0.7524999976158142, 0.7443000078201294, 0.7585999965667725, 0.7425000071525574, 0.7263000011444092]","[2.367950677871704, 1.6197260618209839, 1.415035367012024, 1.1731067895889282, 1.0373413562774658, 1.1424262523651123, 0.8943077921867371, 0.8652857542037964, 0.9799572229385376, 1.554774284362793, 0.7997148633003235, 0.8047888875007629, 0.8481909036636353, 0.676079273223877, 0.7841624021530151, 0.7392491102218628, 0.7896367907524109, 0.7154242396354675, 0.7881802916526794, 0.8342037796974182]",0.7263000011444092,0.8342037796974182,403747230,444.46261262893677,2130634,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
PHZQ,11799,1,1,False,False,"[1, 1, 1, 1, 2, 0, 2, -1, 0, 1, 3, 1, 1, 2, 1, 2, -1, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,20,"[0.33889999985694885, 0.47690001130104065, 0.6549000144004822, 0.6010000109672546, 0.7089999914169312, 0.7069000005722046, 0.6832000017166138, 0.6876000165939331, 0.7218000292778015, 0.7728999853134155, 0.708899974822998, 0.7685999870300293, 0.6553000211715698, 0.7581999897956848, 0.7955999970436096, 0.7925000190734863, 0.7445999979972839, 0.7997000217437744, 0.7505999803543091, 0.7591000199317932]","[1.9402925968170166, 1.5419243574142456, 0.9804379940032959, 1.1882565021514893, 0.8335930705070496, 0.8731048107147217, 0.9361284375190735, 0.9198019504547119, 0.818051278591156, 0.6506118178367615, 0.8451539278030396, 0.6682997941970825, 1.2143608331680298, 0.6947182416915894, 0.6008446216583252, 0.5969414710998535, 0.7844660878181458, 0.5896039009094238, 0.7435691356658936, 0.7541486620903015]",0.7591000199317932,0.7541486620903015,501556830,453.0990476608276,2903306,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
GESX,11799,1,1,False,False,"[1, 0, 0, 1, 2, 1, 2, -1, 1, 1, 3, 1, 1, 1, 1, 2, -1, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,20,"[0.2953999936580658, 0.3714999854564667, 0.5325999855995178, 0.6010000109672546, 0.7045999765396118, 0.5817999839782715, 0.7328000068664551, 0.7074999809265137, 0.7217000126838684, 0.6868000030517578, 0.6678000092506409, 0.7519000172615051, 0.7448999881744385, 0.7321000099182129, 0.7448999881744385, 0.7782999873161316, 0.7677000164985657, 0.7297000288963318, 0.763700008392334, 0.8077999949455261]","[1.9553831815719604, 2.3521504402160645, 1.4981197118759155, 1.197617530822754, 0.8516940474510193, 1.3841652870178223, 0.7823606133460999, 0.8845548033714294, 0.8315709829330444, 0.9282841682434082, 1.0376050472259521, 0.7404717206954956, 0.7438479661941528, 0.7727864980697632, 0.75094074010849, 0.654728889465332, 0.6900783181190491, 0.8501423001289368, 0.7432105541229248, 0.5837123990058899]",0.8077999949455261,0.5837123990058899,255338462,404.82425689697266,1866442,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
NYXJ,11799,1,1,False,False,"[1, 3, 0, 2, -1, 0, 1, 2, 0, 1, 3, 1, 2, -1, 1, 1, 1, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,20,"[0.18940000236034393, 0.450300008058548, 0.5055999755859375, 0.5936999917030334, 0.5902000069618225, 0.46869999170303345, 0.6064000129699707, 0.6384000182151794, 0.6751000285148621, 0.6661999821662903, 0.6786999702453613, 0.739300012588501, 0.6633999943733215, 0.6588000059127808, 0.6089000105857849, 0.6704000234603882, 0.5910000205039978, 0.7059999704360962, 0.705299973487854, 0.6940000057220459]","[3.1304428577423096, 1.8908189535140991, 1.7523136138916016, 1.1622432470321655, 1.1973578929901123, 1.8418638706207275, 1.284185767173767, 1.0709420442581177, 0.9998389482498169, 0.993580162525177, 0.9690228700637817, 0.7690166234970093, 1.0077353715896606, 1.183532953262329, 1.4029661417007446, 1.0869718790054321, 1.50434148311615, 0.9049413204193115, 0.8995571136474609, 1.0253498554229736]",0.6940000057220459,1.0253498554229736,308348510,439.78922986984253,2127818,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
OWVQ,11799,1,1,False,False,"[1, 0, 1, 2, -1, 1, 1, 3, 1, 1, 0, 1, 2, -1, 1, 1, 3, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_CHANGE_TYPE,GA,20,"[0.2296999990940094, 0.4212000072002411, 0.5544000267982483, 0.44530001282691956, 0.5526000261306763, 0.58160001039505, 0.6010000109672546, 0.4961000084877014, 0.6121000051498413, 0.6682000160217285, 0.6919999718666077, 0.6758999824523926, 0.7264000177383423, 0.6571000218391418, 0.6603999733924866, 0.7264999747276306, 0.7074000239372253, 0.6812999844551086, 0.5975000262260437, 0.7307000160217285]","[2.327897071838379, 2.090024709701538, 1.2367914915084839, 1.8148298263549805, 1.3893283605575562, 1.1941601037979126, 1.100461721420288, 1.5353015661239624, 1.2088499069213867, 0.9527758955955505, 0.8766236305236816, 0.9119388461112976, 0.7818801999092102, 1.0191478729248047, 0.9875643849372864, 0.7864074110984802, 0.8822963833808899, 0.9546285271644592, 1.1656221151351929, 0.7798755764961243]",0.7307000160217285,0.7798755764961243,56477342,378.5750992298126,1672106,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
