ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
MWEC,22353,1,1,False,False,"[1, 1, 1, 1, 2, 0, 2, -1, 0, 1, 1, 1, 1, 0, 0, 1, 2, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,20,"[0.4287000000476837, 0.5879999995231628, 0.43160000443458557, 0.6538000106811523, 0.6805999875068665, 0.691100001335144, 0.6477000117301941, 0.7128000259399414, 0.6995999813079834, 0.7210999727249146, 0.6376000046730042, 0.7347000241279602, 0.7501000165939331, 0.707099974155426, 0.7712000012397766, 0.6837999820709229, 0.7767000198364258, 0.7609999775886536, 0.7555999755859375, 0.7768999934196472]","[1.57456374168396, 1.166699767112732, 2.0136146545410156, 0.9843262434005737, 0.9449895620346069, 0.8869503736495972, 1.017057180404663, 0.8367932438850403, 0.8638896346092224, 0.800685703754425, 1.1028375625610352, 0.7715224623680115, 0.7288606762886047, 0.920678436756134, 0.6595454216003418, 0.9775968790054321, 0.65852952003479, 0.7198537588119507, 0.7186397314071655, 0.6794924736022949]",0.7768999934196472,0.6794924736022949,168418366,422.218364238739,4602474,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
XLPF,22353,1,1,False,False,"[1, 2, 0, 1, 0, 0, 1, 2, 0, 1, 3, 1, 2, -1, 0, 1, 0, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [32, 3]}, {'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,20,"[0.21809999644756317, 0.5336999893188477, 0.5764999985694885, 0.6103000044822693, 0.6751000285148621, 0.6771000027656555, 0.6086000204086304, 0.6797000169754028, 0.7032999992370605, 0.6348000168800354, 0.7390000224113464, 0.7160000205039978, 0.6699000000953674, 0.7609000205993652, 0.7563999891281128, 0.7307999730110168, 0.7657999992370605, 0.756600022315979, 0.781499981880188, 0.7766000032424927]","[2.3381760120391846, 1.3691864013671875, 1.214599370956421, 1.1353403329849243, 0.9015790820121765, 0.9474517703056335, 1.2100783586502075, 0.9245385527610779, 0.8591318130493164, 1.1312988996505737, 0.7336559295654297, 0.8368666172027588, 1.026128888130188, 0.7056127190589905, 0.7083077430725098, 0.765882134437561, 0.6863371133804321, 0.7185806035995483, 0.6689128279685974, 0.6672556400299072]",0.7766000032424927,0.6672556400299072,972357150,681.7606220245361,2154570,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
DYSG,22353,1,1,False,False,"[1, 3, 0, 1, 0, 1, 2, -1, 1, 1, 0, 1, 2, -1, 1, 1, 2, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,20,"[0.1460999995470047, 0.49639999866485596, 0.5436000227928162, 0.5680000185966492, 0.6055999994277954, 0.5313000082969666, 0.6037999987602234, 0.6728000044822693, 0.6355000138282776, 0.6592000126838684, 0.652899980545044, 0.6841999888420105, 0.635699987411499, 0.678600013256073, 0.7168999910354614, 0.7105000019073486, 0.6935999989509583, 0.6610999703407288, 0.6794000267982483, 0.6794000267982483]","[3.030488967895508, 1.3748868703842163, 1.3004149198532104, 1.2094218730926514, 1.0874290466308594, 1.3176218271255493, 1.1122161149978638, 0.9265470504760742, 1.036042332649231, 0.9420542120933533, 0.9744564294815063, 0.8986523151397705, 1.077387809753418, 0.9148571491241455, 0.797685980796814, 0.8230246305465698, 0.9008097648620605, 1.0006245374679565, 0.9373642802238464, 0.9393064379692078]",0.6794000267982483,0.9393064379692078,222529438,457.4435806274414,870090,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
MQSQ,22353,1,1,False,False,"[1, 2, 1, 1, 2, 0, 2, -1, 0, 1, 1, 0, 2, -1, 0, 1, 2, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,20,"[0.3343999981880188, 0.5526000261306763, 0.5608000159263611, 0.6137999892234802, 0.6866999864578247, 0.6467000246047974, 0.6832000017166138, 0.7447999715805054, 0.7081000208854675, 0.7519000172615051, 0.7229999899864197, 0.7610999941825867, 0.7250999808311462, 0.6815999746322632, 0.7339000105857849, 0.7141000032424927, 0.7717000246047974, 0.7731999754905701, 0.7207000255584717, 0.7635999917984009]","[2.0473620891571045, 1.2489914894104004, 1.242692232131958, 1.1099337339401245, 0.8955661058425903, 1.0488954782485962, 0.9468671679496765, 0.7438001036643982, 0.8605467677116394, 0.7240745425224304, 0.8281503915786743, 0.6794383525848389, 0.7944796681404114, 1.0363448858261108, 0.802237868309021, 0.9333456158638, 0.6585726141929626, 0.6823341250419617, 0.8830401301383972, 0.6924518346786499]",0.7635999917984009,0.6924518346786499,197513822,447.98855686187744,4639818,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
LNCN,22353,1,1,False,False,"[1, 2, 0, 1, 0, 1, 2, -1, 0, 1, 1, 1, 2, -1, 0, 1, 0, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,20,"[0.211899995803833, 0.5074999928474426, 0.5508000254631042, 0.5246000289916992, 0.6133999824523926, 0.5996000170707703, 0.6173999905586243, 0.5983999967575073, 0.6937999725341797, 0.673799991607666, 0.635699987411499, 0.6712999939918518, 0.725600004196167, 0.6345000267028809, 0.7006000280380249, 0.7142000198364258, 0.6919999718666077, 0.6973000168800354, 0.6974999904632568, 0.7613000273704529]","[2.4794905185699463, 1.3656084537506104, 1.2651134729385376, 1.4007582664489746, 1.0865156650543213, 1.1974003314971924, 1.1251730918884277, 1.265409231185913, 0.8820409178733826, 0.9339869022369385, 1.0805118083953857, 0.9832043051719666, 0.8076337575912476, 1.113837718963623, 0.8861746788024902, 0.8313494920730591, 0.91188645362854, 0.92708820104599, 0.8940719962120056, 0.6887417435646057]",0.7613000273704529,0.6887417435646057,125343326,465.85598063468933,473610,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
LCLY,22353,1,1,False,False,"[1, 1, 1, 2, -1, 1, 1, 2, 0, 1, 3, 0, 2, -1, 1, 1, 1, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,20,"[0.37860000133514404, 0.3100999891757965, 0.6345000267028809, 0.5368000268936157, 0.5821999907493591, 0.6747000217437744, 0.5827000141143799, 0.567300021648407, 0.7106000185012817, 0.6323999762535095, 0.6725999712944031, 0.6693999767303467, 0.692799985408783, 0.4465999901294708, 0.6093000173568726, 0.6424999833106995, 0.6471999883651733, 0.7412999868392944, 0.7717000246047974, 0.7064999938011169]","[1.8477615118026733, 2.5817105770111084, 1.0341463088989258, 1.3955729007720947, 1.2966971397399902, 0.9549358487129211, 1.2151504755020142, 1.327043890953064, 0.841034471988678, 1.1496552228927612, 0.9315472841262817, 1.0392155647277832, 0.9238927960395813, 2.301820755004883, 1.2937884330749512, 1.1404258012771606, 1.1791629791259766, 0.7532529830932617, 0.6942013502120972, 0.9062176942825317]",0.7064999938011169,0.9062176942825317,56830334,406.0816843509674,1317578,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
CNAI,22353,1,1,False,False,"[1, 1, 1, 1, 2, 1, 1, 3, 0, 1, 2, 1, 2, -1, 0, 1, 3, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [128, 5]}, {'CONV': [256, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,20,"[0.4020000100135803, 0.4512999951839447, 0.5608999729156494, 0.5302000045776367, 0.6909000277519226, 0.6525999903678894, 0.6632999777793884, 0.7135000228881836, 0.6826000213623047, 0.7484999895095825, 0.7425000071525574, 0.7736999988555908, 0.7049000263214111, 0.7354999780654907, 0.7706999778747559, 0.7466999888420105, 0.7828999757766724, 0.7257000207901001, 0.816100001335144, 0.8044000267982483]","[1.7051502466201782, 1.718217134475708, 1.2237664461135864, 1.547225832939148, 0.8689064383506775, 1.0283159017562866, 1.007247805595398, 0.8250439167022705, 0.9492545127868652, 0.7452709078788757, 0.7882410883903503, 0.6725978255271912, 0.9256693124771118, 0.7987589240074158, 0.6832601428031921, 0.8236455321311951, 0.6499711275100708, 0.8954535126686096, 0.5848393440246582, 0.6201651096343994]",0.8044000267982483,0.6201651096343994,1599809246,789.7696776390076,35709194,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
LCNJ,22353,1,1,False,False,"[1, 3, 1, 1, 3, 1, 1, 3, 1, 2, -1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,20,"[0.41019999980926514, 0.5493000149726868, 0.48750001192092896, 0.6187999844551086, 0.6137999892234802, 0.6952999830245972, 0.6068000197410583, 0.680400013923645, 0.6743999719619751, 0.6955999732017517, 0.6700999736785889, 0.6574000120162964, 0.7026000022888184, 0.7411999702453613, 0.7700999975204468, 0.765999972820282, 0.7398999929428101, 0.7710999846458435, 0.7867000102996826, 0.7828999757766724]","[1.6265521049499512, 1.2408359050750732, 1.657156229019165, 1.0924824476242065, 1.1124101877212524, 0.8903496861457825, 1.3201038837432861, 0.9334611296653748, 0.9656214714050293, 0.8698794841766357, 0.9744979739189148, 0.9835913777351379, 0.8877208828926086, 0.7600709199905396, 0.6524559259414673, 0.6865973472595215, 0.7598296999931335, 0.6813584566116333, 0.6348432302474976, 0.6514659523963928]",0.7828999757766724,0.6514659523963928,3439394078,1190.2383556365967,4805642,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
BMTQ,22353,1,1,False,False,"[1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 2, -1, 1, 1, 0, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,20,"[0.23919999599456787, 0.4867999851703644, 0.5315999984741211, 0.4138000011444092, 0.652999997138977, 0.6366999745368958, 0.6948999762535095, 0.6794000267982483, 0.5965999960899353, 0.6039999723434448, 0.6553000211715698, 0.722599983215332, 0.7268000245094299, 0.6984000205993652, 0.7265999913215637, 0.6812999844551086, 0.76910001039505, 0.7184000015258789, 0.7631000280380249, 0.7293000221252441]","[2.663299322128296, 1.466792345046997, 1.3430508375167847, 2.0131168365478516, 0.9742574095726013, 1.047005295753479, 0.8637895584106445, 0.9261081218719482, 1.2447503805160522, 1.2473690509796143, 0.9938169717788696, 0.7995560765266418, 0.8048974275588989, 0.8926510810852051, 0.7955586314201355, 0.9231119155883789, 0.6612577438354492, 0.8557400107383728, 0.6782755851745605, 0.8106173872947693]",0.7293000221252441,0.8106173872947693,154599726,482.25319862365717,694090,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
GAWI,22353,1,1,False,False,"[1, 3, 1, 2, -1, 1, 1, 3, 0, 1, 2, 0, 1, 3, 0, 2, -1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_CHANGE_TYPE,GA,20,"[0.17470000684261322, 0.38600000739097595, 0.5539000034332275, 0.5076000094413757, 0.6168000102043152, 0.5853999853134155, 0.6766999959945679, 0.5389999747276306, 0.671999990940094, 0.5529999732971191, 0.6983000040054321, 0.6685000061988831, 0.676800012588501, 0.7511000037193298, 0.6452000141143799, 0.7110999822616577, 0.7335000038146973, 0.6571000218391418, 0.7091000080108643, 0.7085999846458435]","[2.8261048793792725, 2.0727696418762207, 1.2106831073760986, 1.4915530681610107, 1.0783227682113647, 1.2187907695770264, 0.9194888472557068, 1.4449471235275269, 0.9418206810951233, 1.4308066368103027, 0.8836252689361572, 0.9845154285430908, 0.9307891726493835, 0.7161276936531067, 1.0969836711883545, 0.853219747543335, 0.7917163968086243, 1.0712060928344727, 0.8632411956787109, 0.8809620141983032]",0.7085999846458435,0.8809620141983032,164249630,585.6029908657074,2384906,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
