ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
RNG,4661,1,1,False,False,"[1, 0, 0, 2, -1, 1, 1, 2, 0, 1, 3, 1, 2, -1, 0, 1, 2, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,20,"[0.3458999991416931, 0.5705999732017517, 0.47429999709129333, 0.613099992275238, 0.6169999837875366, 0.6571999788284302, 0.5974000096321106, 0.6571999788284302, 0.6090999841690063, 0.6784999966621399, 0.7002000212669373, 0.7294999957084656, 0.6456999778747559, 0.7544000148773193, 0.736299991607666, 0.6723999977111816, 0.7336000204086304, 0.7062000036239624, 0.7247999906539917, 0.7373999953269958]","[1.996537685394287, 1.1986987590789795, 1.6128147840499878, 1.1094385385513306, 1.119678020477295, 1.0009596347808838, 1.2865729331970215, 1.0816010236740112, 1.2886326313018799, 0.9340194463729858, 0.8777616024017334, 0.8187422156333923, 1.2220642566680908, 0.7424439787864685, 0.7882580161094666, 1.1220436096191406, 0.850866973400116, 0.9435179829597473, 0.8590036034584045, 0.8063507676124573]",0.7373999953269958,0.8063507676124573,136489678,392.6155834197998,4045834,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
VAHG,4661,1,1,False,False,"[1, 3, 0, 1, 0, 1, 1, 0, 0, 2, -1, 0, 1, 3, 0, 1, 3, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [32, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,20,"[0.1923999935388565, 0.5388000011444092, 0.4147000014781952, 0.6438999772071838, 0.6610999703407288, 0.6567000150680542, 0.6445000171661377, 0.6578999757766724, 0.6646000146865845, 0.715399980545044, 0.680899977684021, 0.7250999808311462, 0.6852999925613403, 0.7224000096321106, 0.6924999952316284, 0.761900007724762, 0.6287999749183655, 0.7620999813079834, 0.7335000038146973, 0.7631000280380249]","[2.4315240383148193, 1.3276288509368896, 2.004547595977783, 1.0036120414733887, 0.9934815168380737, 0.9859013557434082, 1.0699639320373535, 0.9842532277107239, 0.9919419884681702, 0.823896586894989, 0.9696924686431885, 0.8318862318992615, 1.0055487155914307, 0.8224748969078064, 0.996316134929657, 0.7190298438072205, 1.3955987691879272, 0.7404988408088684, 0.8313776254653931, 0.7408097982406616]",0.7631000280380249,0.7408097982406616,405197086,522.4144554138184,9279178,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
UXPN,4661,1,1,False,False,"[1, 0, 1, 1, 0, 1, 1, 3, 0, 2, -1, 0, 1, 2, 1, 2, -1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,20,"[0.3874000012874603, 0.5600000023841858, 0.6367999911308289, 0.6115000247955322, 0.5497000217437744, 0.6485000252723694, 0.6915000081062317, 0.6154999732971191, 0.6255000233650208, 0.6926000118255615, 0.6031000018119812, 0.6891999840736389, 0.6942999958992004, 0.7522000074386597, 0.7569000124931335, 0.7501999735832214, 0.7620000243186951, 0.7813000082969666, 0.743399977684021, 0.7508000135421753]","[1.6786274909973145, 1.2140840291976929, 1.035796046257019, 1.1130437850952148, 1.269889235496521, 1.0304096937179565, 0.870816707611084, 1.091545581817627, 1.109756350517273, 0.8773598670959473, 1.2853105068206787, 0.9310933351516724, 0.8534050583839417, 0.7130526304244995, 0.6991487145423889, 0.711053192615509, 0.679393470287323, 0.6323134899139404, 0.7480494379997253, 0.7256055474281311]",0.7508000135421753,0.7256055474281311,315170206,451.53946208953863,1514922,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
MYB,4661,1,1,False,False,"[1, 0, 1, 1, 2, 0, 1, 3, 1, 2, -1, 1, 1, 1, 1, 1, 2, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,20,"[0.5001000165939331, 0.4945000112056732, 0.560699999332428, 0.6420000195503235, 0.5623000264167786, 0.7307000160217285, 0.604200005531311, 0.7315999865531921, 0.6890000104904175, 0.7121999859809875, 0.7074999809265137, 0.7465000152587891, 0.7351999878883362, 0.57669997215271, 0.7261999845504761, 0.7368000149726868, 0.7943000197410583, 0.7926999926567078, 0.7659000158309937, 0.7940999865531921]","[1.419907569885254, 1.584307074546814, 1.28419029712677, 1.035794973373413, 1.3805034160614014, 0.7619279026985168, 1.353348970413208, 0.7820223569869995, 0.9224376082420349, 0.8588884472846985, 0.8682286143302917, 0.7539675831794739, 0.8129798769950867, 1.59614098072052, 0.8713187575340271, 0.8595394492149353, 0.6194653511047363, 0.6207298636436462, 0.7154485583305359, 0.6131236553192139]",0.7940999865531921,0.6131236553192139,942333534,585.6274785995483,5313610,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
RKDE,4661,1,1,False,False,"[1, 1, 1, 1, 2, 0, 1, 3, 1, 2, -1, 0, 1, 3, 1, 1, 2, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,20,"[0.27730000019073486, 0.4830000102519989, 0.32899999618530273, 0.5742999911308289, 0.6108999848365784, 0.6791999936103821, 0.6624000072479248, 0.664900004863739, 0.7096999883651733, 0.7587000131607056, 0.6924999952316284, 0.7328000068664551, 0.7754999995231628, 0.7050999999046326, 0.7505999803543091, 0.6809999942779541, 0.792900025844574, 0.7699999809265137, 0.7947999835014343, 0.8210999965667725]","[2.313189744949341, 1.6115775108337402, 3.013343572616577, 1.3181393146514893, 1.2286297082901, 0.9473659992218018, 0.9595330357551575, 1.0528019666671753, 0.8587761521339417, 0.6950262188911438, 0.9610217809677124, 0.7737957239151001, 0.6581712365150452, 0.9495028257369995, 0.771628201007843, 1.0175719261169434, 0.624847948551178, 0.7549558877944946, 0.6210581064224243, 0.5562232732772827]",0.8210999965667725,0.5562232732772827,1553584414,721.419331073761,7555722,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
KVPE,4661,1,1,False,False,"[1, 0, 1, 2, -1, 0, 1, 3, 1, 1, 0, 1, 2, -1, 0, 1, 2, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,20,"[0.18140000104904175, 0.5126000046730042, 0.5078999996185303, 0.5690000057220459, 0.5532000064849854, 0.5586000084877014, 0.6194999814033508, 0.7038000226020813, 0.6906999945640564, 0.6159999966621399, 0.6086999773979187, 0.6690999865531921, 0.5738000273704529, 0.6919999718666077, 0.6193000078201294, 0.6959999799728394, 0.6626999974250793, 0.7488999962806702, 0.6894999742507935, 0.7014999985694885]","[2.8764262199401855, 1.4148567914962769, 1.4238191843032837, 1.2683502435684204, 1.3543504476547241, 1.3640141487121582, 1.175111174583435, 0.8381471633911133, 0.8972187638282776, 1.1951147317886353, 1.3847570419311523, 1.0580259561538696, 1.3288204669952393, 0.984473705291748, 1.290854573249817, 0.9769972562789917, 1.008933663368225, 0.7393028140068054, 1.0034793615341187, 0.9452433586120605]",0.7014999985694885,0.9452433586120605,114070110,400.3533101081848,4653098,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
FZGL,4661,1,1,False,False,"[1, 1, 1, 1, 2, 0, 1, 3, 0, 1, 2, 1, 2, -1, 0, 1, 2, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,20,"[0.3779999911785126, 0.45329999923706055, 0.6018999814987183, 0.578000009059906, 0.6585999727249146, 0.6330999732017517, 0.6201000213623047, 0.6905999779701233, 0.6035000085830688, 0.6040999889373779, 0.710099995136261, 0.7330999970436096, 0.7533000111579895, 0.7760000228881836, 0.744700014591217, 0.7720999717712402, 0.7732999920845032, 0.76910001039505, 0.7914999723434448, 0.7675999999046326]","[1.8731021881103516, 1.612838864326477, 1.1324167251586914, 1.2386547327041626, 1.012561321258545, 1.1112563610076904, 1.1296298503875732, 0.9004796147346497, 1.2188729047775269, 1.4370325803756714, 0.8235424757003784, 0.7994709610939026, 0.7170013189315796, 0.6502060294151306, 0.7541636228561401, 0.6606730222702026, 0.6964761018753052, 0.7147114276885986, 0.6181304454803467, 0.7216979265213013]",0.7675999999046326,0.7216979265213013,1264209822,676.5490517616272,5539850,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
EEYN,4661,1,1,False,False,"[1, 2, 1, 2, -1, 1, 1, 3, 1, 1, 0, 0, 1, 2, 1, 1, 1, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,20,"[0.25380000472068787, 0.31209999322891235, 0.4609000086784363, 0.5860999822616577, 0.5932999849319458, 0.5997999906539917, 0.5889999866485596, 0.6650000214576721, 0.6816999912261963, 0.684499979019165, 0.6675000190734863, 0.6585999727249146, 0.6740000247955322, 0.6453999876976013, 0.6816999912261963, 0.7045999765396118, 0.6534000039100647, 0.691100001335144, 0.7174000144004822, 0.6190999746322632]","[2.452807664871216, 2.3213913440704346, 1.793379306793213, 1.2336323261260986, 1.1466562747955322, 1.2404898405075073, 1.35943603515625, 0.9751608371734619, 0.9240986108779907, 0.9590843915939331, 1.0795646905899048, 1.1086903810501099, 0.9523632526397705, 1.1671777963638306, 1.018436312675476, 0.8932328224182129, 1.1668028831481934, 0.9569984078407288, 0.8623098731040955, 1.361756682395935]",0.6190999746322632,1.361756682395935,143513806,429.99747610092163,5054314,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
OVVN,4661,1,1,False,False,"[1, 0, 1, 2, -1, 1, 1, 2, 0, 1, 0, 1, 1, 0, 0, 2, -1, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'CONV': [32, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,20,"[0.24869999289512634, 0.5299000144004822, 0.5626000165939331, 0.5131999850273132, 0.5432999730110168, 0.5410000085830688, 0.5881999731063843, 0.6298999786376953, 0.5911999940872192, 0.5935999751091003, 0.5938000082969666, 0.5494999885559082, 0.46860000491142273, 0.6473000049591064, 0.6823999881744385, 0.5900999903678894, 0.6801999807357788, 0.6119999885559082, 0.6394000053405762, 0.661300003528595]","[2.6072161197662354, 1.287179708480835, 1.2527306079864502, 1.4368435144424438, 1.3355921506881714, 1.3735361099243164, 1.2352230548858643, 1.0939973592758179, 1.272233247756958, 1.2421066761016846, 1.1680299043655396, 1.601922869682312, 1.9503072500228882, 1.0132890939712524, 0.9009034037590027, 1.198683738708496, 0.9261448979377747, 1.1997344493865967, 1.0754058361053467, 1.0500620603561401]",0.661300003528595,1.0500620603561401,21125358,395.43878507614136,749514,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
WDTB,4661,1,1,False,False,"[1, 3, 0, 2, -1, 0, 1, 0, 0, 1, 3, 0, 1, 2, 1, 2, -1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'CONV': [256, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,20,"[0.20430000126361847, 0.44780001044273376, 0.3163999915122986, 0.5159000158309937, 0.576200008392334, 0.39480000734329224, 0.5924999713897705, 0.5774999856948853, 0.6524999737739563, 0.6151000261306763, 0.6442000269889832, 0.6010000109672546, 0.6445000171661377, 0.6815000176429749, 0.683899998664856, 0.7325000166893005, 0.7749000191688538, 0.7692999839782715, 0.48660001158714294, 0.7520999908447266]","[2.393357038497925, 1.6045745611190796, 2.568126916885376, 1.5316892862319946, 1.2428462505340576, 2.0874521732330322, 1.21229088306427, 1.3509324789047241, 0.9915624260902405, 1.2819254398345947, 1.1632035970687866, 1.3268752098083496, 1.1254966259002686, 1.005079746246338, 0.9280239343643188, 0.800956666469574, 0.6600971221923828, 0.6630934476852417, 2.3736941814422607, 0.7458510994911194]",0.7520999908447266,0.7458510994911194,256294718,536.807644367218,2027434,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
