ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
TVVG,10723,1,1,False,False,"[1, 2, 1, 1, 2, 0, 1, 3, 0, 1, 0, 1, 1, 2, 0, 2, -1, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.35040000081062317, 0.47029998898506165, 0.564300000667572, 0.6132000088691711, 0.6668000221252441, 0.6777999997138977, 0.6531999707221985, 0.588100016117096, 0.6384000182151794, 0.5690000057220459, 0.6585000157356262, 0.7402999997138977, 0.6908000111579895, 0.6865000128746033, 0.660099983215332, 0.76419997215271, 0.7615000009536743, 0.7337999939918518, 0.772599995136261, 0.7353000044822693]","[2.000149965286255, 1.5734798908233643, 1.2640773057937622, 1.0831255912780762, 0.9451572299003601, 0.9314090609550476, 1.019704818725586, 1.308889627456665, 1.079058289527893, 1.4928773641586304, 1.0284068584442139, 0.7535643577575684, 0.9122236371040344, 1.0149630308151245, 1.0877174139022827, 0.6993989944458008, 0.7273268699645996, 0.7746784090995789, 0.6404319405555725, 0.8400742411613464]",0.7353000044822693,0.8400742411613464,719771262,592.697713136673,9089450,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
CWPE,10723,1,1,False,False,"[1, 3, 0, 2, -1, 1, 1, 3, 1, 1, 2, 0, 2, -1, 1, 1, 3, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.18160000443458557, 0.48069998621940613, 0.597599983215332, 0.5975000262260437, 0.5295000076293945, 0.6385999917984009, 0.6183000206947327, 0.43050000071525574, 0.6396999955177307, 0.7175999879837036, 0.7132999897003174, 0.6582000255584717, 0.6489999890327454, 0.6693000197410583, 0.7175999879837036, 0.7196000218391418, 0.7343999743461609, 0.7163000106811523, 0.7371000051498413, 0.699400007724762]","[2.617438793182373, 1.4920059442520142, 1.1575714349746704, 1.164630651473999, 1.407564401626587, 1.0160887241363525, 1.0778738260269165, 2.045654058456421, 1.0383683443069458, 0.7910950183868408, 0.8200199007987976, 1.0811704397201538, 1.1204886436462402, 0.9914370179176331, 0.7985758185386658, 0.8477829098701477, 0.8027226328849792, 0.8609912991523743, 0.7820895314216614, 0.8739871978759766]",0.699400007724762,0.8739871978759766,246873758,373.8740653991699,2765834,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
HCUW,10723,1,1,False,False,"[1, 0, 1, 1, 0, 1, 1, 3, 1, 1, 0, 1, 1, 2, 0, 2, -1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [32, 5]}, {'CONV': [256, 5]}, {'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.3937000036239624, 0.5357999801635742, 0.39579999446868896, 0.4293999969959259, 0.48330000042915344, 0.6456000208854675, 0.6650000214576721, 0.6484000086784363, 0.6722000241279602, 0.6514000296592712, 0.5823000073432922, 0.6468999981880188, 0.7368999719619751, 0.676800012588501, 0.6837000250816345, 0.7541999816894531, 0.7441999912261963, 0.6396999955177307, 0.7188000082969666, 0.7317000031471252]","[1.6582568883895874, 1.2752735614776611, 1.9710537195205688, 2.0038304328918457, 1.5916234254837036, 1.100892424583435, 0.9879513382911682, 1.0709776878356934, 0.9327126741409302, 1.0177751779556274, 1.3034759759902954, 1.055829644203186, 0.7850334048271179, 1.0067007541656494, 0.9038225412368774, 0.6996710896492004, 0.7603480815887451, 1.1210881471633911, 0.9326701164245605, 0.8466172814369202]",0.7317000031471252,0.8466172814369202,490851582,560.5144436359406,4673098,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
IMOI,10723,1,1,False,False,"[1, 1, 0, 1, 1, 1, 2, -1, 1, 1, 2, 1, 2, -1, 0, 1, 3, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.2362000048160553, 0.5271999835968018, 0.6366000175476074, 0.6093000173568726, 0.5594000220298767, 0.6794999837875366, 0.6661999821662903, 0.7282999753952026, 0.7192999720573425, 0.7250000238418579, 0.7427999973297119, 0.6963000297546387, 0.7251999974250793, 0.7020999789237976, 0.7767000198364258, 0.7390000224113464, 0.7634999752044678, 0.7390999794006348, 0.7767000198364258, 0.7731000185012817]","[2.329638719558716, 1.3777133226394653, 1.041634440422058, 1.1731829643249512, 1.419111967086792, 0.9497341513633728, 0.9659858345985413, 0.7820523381233215, 0.7970913648605347, 0.8334307670593262, 0.7611580491065979, 0.9196985363960266, 0.8116471171379089, 0.960419237613678, 0.6580379605293274, 0.8015859127044678, 0.720080554485321, 0.8185405135154724, 0.6797820925712585, 0.6924591064453125]",0.7731000185012817,0.6924591064453125,163541374,368.26572585105896,3493834,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
UDGO,10723,1,1,False,False,"[1, 1, 0, 2, -1, 1, 1, 0, 1, 2, -1, 0, 1, 0, 0, 1, 1, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.24230000376701355, 0.5275999903678894, 0.5239999890327454, 0.5454999804496765, 0.4747999906539917, 0.531000018119812, 0.5968000292778015, 0.6290000081062317, 0.5843999981880188, 0.5331000089645386, 0.6402999758720398, 0.5181999802589417, 0.6444000005722046, 0.6295999884605408, 0.6711000204086304, 0.7081999778747559, 0.6736000180244446, 0.6571999788284302, 0.6901000142097473, 0.6467999815940857]","[2.6747653484344482, 1.3063753843307495, 1.3496493101119995, 1.3099684715270996, 1.651465654373169, 1.4128247499465942, 1.1128578186035156, 1.0440226793289185, 1.2529115676879883, 1.4410399198532104, 1.0188812017440796, 1.5378150939941406, 1.0397344827651978, 1.0966416597366333, 0.959301769733429, 0.8480847477912903, 0.9548532366752625, 1.029855728149414, 0.8954455852508545, 1.030914306640625]",0.6467999815940857,1.030914306640625,9700590,338.0484721660614,675210,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
VDFS,10723,1,1,False,False,"[1, 2, 0, 1, 3, 1, 2, -1, 1, 1, 0, 1, 1, 2, 0, 2, -1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.1468999981880188, 0.450300008058548, 0.5232999920845032, 0.6136999726295471, 0.6711000204086304, 0.5552999973297119, 0.6696000099182129, 0.6592000126838684, 0.6227999925613403, 0.6175000071525574, 0.6470999717712402, 0.7009000182151794, 0.7145000100135803, 0.7597000002861023, 0.684499979019165, 0.7092000246047974, 0.7279999852180481, 0.7215999960899353, 0.7642999887466431, 0.6676999926567078]","[2.706601142883301, 1.5950651168823242, 1.5214680433273315, 1.0535569190979004, 0.9483829140663147, 1.4318443536758423, 0.9302234649658203, 0.9824951887130737, 1.1576427221298218, 1.1576862335205078, 1.052035927772522, 0.8703827857971191, 0.8482739329338074, 0.6736999750137329, 0.9290656447410583, 0.8721552491188049, 0.8080505728721619, 0.845302939414978, 0.6840507388114929, 1.0434709787368774]",0.6676999926567078,1.0434709787368774,872674222,548.0034077167511,1331114,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
PIES,10723,1,1,False,False,"[1, 2, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 2, -1, 1, 1, 0, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.30880001187324524, 0.5429999828338623, 0.5838000178337097, 0.5742999911308289, 0.6276000142097473, 0.642799973487854, 0.657800018787384, 0.67330002784729, 0.6220999956130981, 0.7143999934196472, 0.6862999796867371, 0.7092999815940857, 0.7271000146865845, 0.7254999876022339, 0.6704000234603882, 0.6826000213623047, 0.7250999808311462, 0.723800003528595, 0.7588000297546387, 0.6920999884605408]","[2.1724820137023926, 1.4472532272338867, 1.2582130432128906, 1.2689478397369385, 1.0675686597824097, 1.0428048372268677, 1.0164098739624023, 0.9459363222122192, 1.1904575824737549, 0.8436169028282166, 0.9269089102745056, 0.8800414800643921, 0.8036170601844788, 0.8114205598831177, 1.057647466659546, 1.0460262298583984, 0.794436514377594, 0.8572921752929688, 0.7101468443870544, 0.9945055842399597]",0.6920999884605408,0.9945055842399597,84541246,374.5311529636383,2094378,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
PNWB,10723,1,1,False,False,"[1, 3, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 2, 1, 2, -1, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [32, 5]}, {'CONV': [32, 5]}, {'CONV': [32, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.41019999980926514, 0.4936000108718872, 0.544700026512146, 0.5960000157356262, 0.5753999948501587, 0.6536999940872192, 0.5677000284194946, 0.6298999786376953, 0.6664999723434448, 0.7106999754905701, 0.6915000081062317, 0.6862999796867371, 0.7110999822616577, 0.6877999901771545, 0.6607999801635742, 0.7486000061035156, 0.7445999979972839, 0.7541000247001648, 0.7677000164985657, 0.7633000016212463]","[1.662269115447998, 1.4332406520843506, 1.2890934944152832, 1.1559295654296875, 1.2619036436080933, 0.9703592658042908, 1.3538141250610352, 1.1204555034637451, 0.9426379799842834, 0.8255916833877563, 0.9033461809158325, 0.9229475855827332, 0.8368456959724426, 0.9292876720428467, 1.0666033029556274, 0.7403157949447632, 0.736992359161377, 0.7335079908370972, 0.6739291548728943, 0.6858051419258118]",0.7633000016212463,0.6858051419258118,391439486,556.9239280223846,4348778,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
RKAI,10723,1,1,False,False,"[1, 2, 1, 2, -1, 1, 1, 0, 1, 1, 3, 0, 2, -1, 1, 1, 1, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.31200000643730164, 0.38420000672340393, 0.43790000677108765, 0.43720000982284546, 0.4187000095844269, 0.42579999566078186, 0.6090999841690063, 0.645799994468689, 0.6628999710083008, 0.691100001335144, 0.5907999873161316, 0.5960000157356262, 0.629800021648407, 0.6687999963760376, 0.6937000155448914, 0.7046999931335449, 0.6812999844551086, 0.6862999796867371, 0.6859999895095825, 0.6927000284194946]","[2.017540693283081, 2.0086700916290283, 1.8526911735534668, 1.9004429578781128, 2.554579496383667, 2.2625067234039307, 1.1036556959152222, 1.0550254583358765, 0.9695091843605042, 0.8935093879699707, 1.2630729675292969, 1.2862811088562012, 1.1824387311935425, 1.006763219833374, 0.9111883640289307, 0.874404788017273, 0.9132540225982666, 0.9452708959579468, 0.9456009864807129, 0.9227719902992249]",0.6927000284194946,0.9227719902992249,38567214,375.31643509864807,1129706,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
CGPV,10723,1,1,False,False,"[1, 0, 1, 1, 2, 0, 1, 1, 0, 2, -1, 0, 1, 1, 1, 1, 2, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [128, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.42480000853538513, 0.5238999724388123, 0.5774999856948853, 0.6847000122070312, 0.6007999777793884, 0.6869999766349792, 0.6963000297546387, 0.72079998254776, 0.710099995136261, 0.6962000131607056, 0.742900013923645, 0.727400004863739, 0.7200000286102295, 0.7638999819755554, 0.7300999760627747, 0.7706000208854675, 0.7879999876022339, 0.7681999802589417, 0.7858999967575073, 0.8026000261306763]","[1.5507053136825562, 1.4833027124404907, 1.207942008972168, 0.8839582204818726, 1.186203956604004, 0.8990499973297119, 0.8803528547286987, 0.8105632066726685, 0.8664979338645935, 0.8908119201660156, 0.7781461477279663, 0.7908002138137817, 0.907882809638977, 0.7146412134170532, 0.8218180537223816, 0.7057538032531738, 0.6287568807601929, 0.7039929628372192, 0.6389433145523071, 0.5925487875938416]",0.8026000261306763,0.5925487875938416,169636734,396.6843726634979,8683658,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
