Execution,HD_P1,HD_P2,HD_BM,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT
1,-1.0,-1.0,-1.0,0.0,0.0,0.83
2,-1.0,-1.0,-1.0,0.0,0.0,0.98
3,-1.0,-1.0,-1.0,0.0,0.0,0.74
4,-1.0,-1.0,-1.0,0.0,0.0,0.14
5,-1.0,-1.0,-1.0,0.0,0.0,0.84
6,-1.0,-1.0,-1.0,0.0,0.0,0.85
7,-1.0,-1.0,-1.0,0.0,0.0,0.71
8,-1.0,-1.0,-1.0,0.0,0.0,0.12
9,-1.0,-1.0,-1.0,0.0,0.0,0.2
10,-1.0,-1.0,-1.0,0.0,0.0,0.84
11,-1.0,-1.0,-1.0,0.0,0.0,0.76
12,-1.0,-1.0,-1.0,0.0,0.0,0.75
13,-1.0,-1.0,-1.0,0.0,0.0,0.88
14,-1.0,-1.0,-1.0,0.0,0.0,0.5
15,-1.0,-1.0,-1.0,0.0,0.0,0.01
16,-1.0,-1.0,-1.0,0.0,0.0,0.5
17,-1.0,-1.0,-1.0,0.0,0.0,0.06
18,-1.0,-1.0,-1.0,0.0,0.0,0.96
19,-1.0,-1.0,-1.0,0.0,0.0,0.75
20,-1.0,-1.0,-1.0,0.0,0.0,0.75
21,-1.0,-1.0,-1.0,0.0,0.0,0.56
22,-1.0,-1.0,-1.0,0.0,0.0,0.93
23,-1.0,-1.0,-1.0,0.0,0.0,0.2
24,-1.0,-1.0,-1.0,0.0,0.0,0.52
25,-1.0,-1.0,-1.0,0.0,0.0,0.54
26,-1.0,-1.0,-1.0,0.0,0.0,0.5
27,-1.0,-1.0,-1.0,0.0,0.0,0.42
28,-1.0,-1.0,-1.0,0.0,0.0,0.55
29,-1.0,-1.0,-1.0,0.0,0.0,0.31
30,-1.0,-1.0,-1.0,0.0,0.0,0.79
Mean,-1.0,-1.0,-1.0,0.0,0.0,0.583
Std,0.0,0.0,0.0,0.0,0.0,0.28322135041930246
