Execution,Accuracy,FLOPs,Num_Params,cm_precision_macro,cm_recall_macro,cm_f1_macro
1,0.688000023,989676716.0,4171940.0,0.694013302,0.6814,0.682415457
2,0.67900002,446570476.0,4119588.0,0.692654693,0.6793,0.679926807
3,0.707400024,433518188.0,5837604.0,0.709856425,0.6954,0.696918154
4,0.699599981,6023493932.0,9851812.0,0.706118193,0.6935,0.693983608
5,0.683799982,1609009516.0,5780772.0,0.690280271,0.6789,0.678397512
6,0.6796,417340652.0,5858340.0,0.682427679,0.6682,0.668673844
7,0.702400029,1771628652.0,5349156.0,0.710226282,0.6959,0.697030455
8,0.683399975,1372071212.0,4335524.0,0.69688884,0.6836,0.683942117
9,0.658200026,932077420.0,4768548.0,0.66526465,0.6509,0.650849054
10,0.690800011,1263381932.0,5989028.0,0.694286188,0.6825,0.682905113
11,0.679799974,1052011820.0,2708388.0,0.690972708,0.6754,0.67717968
12,0.664200008,535451052.0,3864228.0,0.684057601,0.6714,0.671599792
13,0.671400011,385736236.0,2445732.0,0.678004037,0.6635,0.664224889
14,0.661800027,2269135852.0,5410340.0,0.661362585,0.6476,0.647977046
15,0.691999972,2740509164.0,4983844.0,0.700901807,0.6877,0.688504935
16,0.693199992,931119660.0,4003236.0,0.698348541,0.6847,0.685724718
17,0.692200005,501708076.0,4158372.0,0.697320359,0.6863,0.686579519
18,0.667200029,339145900.0,1878180.0,0.674123427,0.6611,0.661051758
19,0.674000025,426090540.0,3305892.0,0.687155066,0.672,0.672602143
20,0.688399971,3025459948.0,6191652.0,0.697729453,0.6859,0.685993845
21,0.683200002,444604012.0,3969828.0,0.695867225,0.6834,0.683780069
22,0.647599995,754195180.0,2333220.0,0.664170348,0.6431,0.645701017
23,0.690199971,860590316.0,5369380.0,0.701274319,0.689,0.689600115
24,0.670000017,1069350508.0,3690276.0,0.681936335,0.6679,0.667885241
25,0.653199971,788568300.0,2906660.0,0.662635386,0.6506,0.649215051
26,0.674799979,486983852.0,4041892.0,0.689968946,0.6746,0.675508389
27,0.685000002,893783020.0,4731940.0,0.696248059,0.682,0.683294667
28,0.697399974,517367404.0,4782884.0,0.705178356,0.6911,0.692189885
29,0.680199981,484290988.0,5257892.0,0.69395366,0.6799,0.680651496
30,0.699199975,1293362348.0,8410276.0,0.708004358,0.6933,0.694980871
Mean,0.6812399983999999,1168607762.4,4683547.466666667,0.6903743033000002,0.67667,0.6773095749
Std,0.01457361626850985,1128168580.1797748,1650778.7954957448,0.013700696979532854,0.014307227777129526,0.014488904728281286
