Execution,HD_P1,HD_P2,HD_BM,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT
1,-1.0,-1.0,-1.0,0.0,0.0,0.72
2,-1.0,-1.0,-1.0,0.0,0.0,0.82
3,-1.0,-1.0,-1.0,0.0,0.0,0.23
4,-1.0,-1.0,-1.0,0.0,0.0,0.99
5,-1.0,-1.0,-1.0,0.0,0.0,0.04
6,-1.0,-1.0,-1.0,0.0,0.0,0.51
7,-1.0,-1.0,-1.0,0.0,0.0,0.79
8,-1.0,-1.0,-1.0,0.0,0.0,0.81
9,-1.0,-1.0,-1.0,0.0,0.0,0.53
10,-1.0,-1.0,-1.0,0.0,0.0,0.35
11,-1.0,-1.0,-1.0,0.0,0.0,0.18
12,-1.0,-1.0,-1.0,0.0,0.0,0.46
13,-1.0,-1.0,-1.0,0.0,0.0,0.28
14,-1.0,-1.0,-1.0,0.0,0.0,0.89
15,-1.0,-1.0,-1.0,0.0,0.0,0.99
16,-1.0,-1.0,-1.0,0.0,0.0,0.43
17,-1.0,-1.0,-1.0,0.0,0.0,0.98
18,-1.0,-1.0,-1.0,0.0,0.0,0.57
19,-1.0,-1.0,-1.0,0.0,0.0,0.17
20,-1.0,-1.0,-1.0,0.0,0.0,0.43
22,-1.0,-1.0,-1.0,0.0,0.0,0.35
23,-1.0,-1.0,-1.0,0.0,0.0,0.57
24,-1.0,-1.0,-1.0,0.0,0.0,0.07
25,-1.0,-1.0,-1.0,0.0,0.0,0.44
26,-1.0,-1.0,-1.0,0.0,0.0,0.95
27,-1.0,-1.0,-1.0,0.0,0.0,0.71
28,-1.0,-1.0,-1.0,0.0,0.0,0.07
29,-1.0,-1.0,-1.0,0.0,0.0,0.85
30,-1.0,-1.0,-1.0,0.0,0.0,0.45
Mean,-1.0,-1.0,-1.0,0.0,0.0,0.5389655172413792
Std,0.0,0.0,0.0,0.0,0.0,0.2939662756588457
