Execution,Accuracy,FLOPs,Num_Params,cm_precision_macro,cm_recall_macro,cm_f1_macro
1,0.709999979,1456926700.0,5655588.0,0.719558115,0.7062,0.70754056
2,0.663399994,580923820.0,2558628.0,0.679749333,0.6677,0.666732955
3,0.668200016,894203692.0,4342692.0,0.677487138,0.6646,0.664501314
4,0.684800029,1114006700.0,5245092.0,0.702697257,0.6874,0.689028423
5,0.661800027,506342508.0,2165540.0,0.679398303,0.666,0.666565908
6,0.686200023,946076396.0,4570660.0,0.694368587,0.6823,0.682898868
7,0.709599972,1534991276.0,6612644.0,0.713897614,0.7,0.701640226
8,0.663999975,1129488684.0,2840484.0,0.679726382,0.6666,0.667270429
9,0.670000017,1055514220.0,3629860.0,0.679219779,0.6665,0.665808515
10,0.691999972,995060652.0,4427428.0,0.696581593,0.6843,0.684576453
11,0.692200005,1920851372.0,4732068.0,0.699726839,0.6884,0.688608129
12,0.68900001,1772760108.0,7174564.0,0.69049585,0.6786,0.679231178
13,0.700399995,2742778860.0,6217764.0,0.705748082,0.6912,0.692265178
14,0.679400027,512770860.0,1597348.0,0.68813357,0.6764,0.67623133
15,0.699599981,2567659756.0,7582244.0,0.707694995,0.696,0.69644204
16,0.688399971,2551266156.0,6487332.0,0.697381365,0.6854,0.686583537
17,0.667400002,323724076.0,4137892.0,0.682408031,0.6689,0.66926482
18,0.700800002,763291308.0,5080228.0,0.701749118,0.6889,0.69010566
19,0.697399974,915557164.0,3844004.0,0.705769108,0.6902,0.691940412
20,0.686200023,682744876.0,7190948.0,0.696037309,0.6807,0.681485544
22,0.678799987,1559124460.0,5794852.0,0.69632129,0.6857,0.685847978
23,0.695200026,484460908.0,2371876.0,0.698537137,0.6869,0.687731392
24,0.702000022,857851820.0,5183140.0,0.710294767,0.6984,0.699094418
25,0.690800011,772742700.0,6423972.0,0.697592976,0.6845,0.685615853
26,0.693000019,972186924.0,5066660.0,0.701706357,0.6907,0.691357305
27,0.664799988,1175171500.0,3856548.0,0.680898121,0.6701,0.669448183
28,0.709200025,1116340012.0,8522660.0,0.712287322,0.702,0.702223375
29,0.696399987,2271770924.0,6158244.0,0.695533809,0.6836,0.684259436
30,0.696200013,1116690860.0,5185188.0,0.703469605,0.6921,0.69273075
Mean,0.6874896576551724,1217009630.7586207,4988143.0344827585,0.6963610259310343,0.683803448275862,0.6843803506551724
Std,0.014512544726181019,646657059.6146963,1690651.0351077975,0.011441839412103874,0.011431248242657304,0.011833667360476134
