Execution,HD_P1,HD_P2,HD_BM,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT
1,0.0,0.0,0.25,0.0,0.08,0.75
2,0.0,0.0,0.25,0.0,0.05,0.7
3,0.0,0.0,0.5,0.0,0.1175,0.85
4,0.0,0.0,0.25,0.0,0.08,0.9
5,0.0,0.0,0.25,0.0,0.0725,0.85
6,0.0,0.0,0.25,0.0,0.08,1.0
7,0.0,0.0,0.25,0.0,0.0925,0.75
8,0.0,0.0,0.25,0.0,0.0975,0.9
9,0.0,0.0,0.25,0.0,0.11,1.0
10,0.0,0.0,0.25,0.0,0.05,0.7
11,0.0,0.0,0.375,0.0,0.075,0.95
12,0.0,0.0,0.25,0.0,0.0825,0.8
13,0.0,0.0,0.25,0.0,0.0675,1.0
14,0.0,0.0,0.25,0.0,0.0325,0.8
15,0.0,0.0,0.25,0.0,0.1075,0.9
16,0.0,0.0,0.25,0.0,0.1225,0.85
17,0.0,0.0,0.25,0.0,0.1,0.85
18,0.0,0.0,0.25,0.0,0.0375,1.0
19,0.0,0.0,0.25,0.0,0.1025,0.9
20,0.0,0.0,0.375,0.0,0.075,0.8
21,0.0,0.0,0.375,0.0,0.05,0.85
22,0.0,0.0,0.25,0.0,0.0825,0.75
23,0.0,0.0,0.25,0.0,0.0975,0.7
24,0.0,0.0,0.25,0.0,0.06,0.85
25,0.0,0.0,0.375,0.0,0.07,0.9
26,0.0,0.0,0.375,0.0,0.075,1.0
27,0.0,0.0,0.25,0.0,0.0825,0.85
28,0.0,0.0,0.25,0.0,0.0925,0.95
29,0.0,0.0,0.25,0.0,0.1275,0.65
30,0.0,0.0,0.25,0.0,0.1075,1.0
Mean,0.0,0.0,0.2791666666666667,0.0,0.08258333333333331,0.8583333333333332
Std,0.0,0.0,0.0619419531138271,0.0,0.023861434482351545,0.10172129679778086
