Execution,HD_P1,HD_P2,HD_BM,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT
1,-1.0,-1.0,-1.0,0.0,0.0,0.45
2,-1.0,-1.0,-1.0,0.0,0.0,0.45
3,-1.0,-1.0,-1.0,0.0,0.0,0.6
4,-1.0,-1.0,-1.0,0.0,0.0,0.25
5,-1.0,-1.0,-1.0,0.0,0.0,0.7
6,-1.0,-1.0,-1.0,0.0,0.0,0.3
7,-1.0,-1.0,-1.0,0.0,0.0,0.5
8,-1.0,-1.0,-1.0,0.0,0.0,0.5
9,-1.0,-1.0,-1.0,0.0,0.0,0.65
10,-1.0,-1.0,-1.0,0.0,0.0,0.45
11,-1.0,-1.0,-1.0,0.0,0.0,0.5
12,-1.0,-1.0,-1.0,0.0,0.0,0.4
13,-1.0,-1.0,-1.0,0.0,0.0,0.5
14,-1.0,-1.0,-1.0,0.0,0.0,0.8
15,-1.0,-1.0,-1.0,0.0,0.0,0.45
16,-1.0,-1.0,-1.0,0.0,0.0,0.65
17,-1.0,-1.0,-1.0,0.0,0.0,0.75
18,-1.0,-1.0,-1.0,0.0,0.0,0.35
19,-1.0,-1.0,-1.0,0.0,0.0,0.45
20,-1.0,-1.0,-1.0,0.0,0.0,0.55
21,-1.0,-1.0,-1.0,0.0,0.0,0.45
22,-1.0,-1.0,-1.0,0.0,0.0,0.55
23,-1.0,-1.0,-1.0,0.0,0.0,0.5
24,-1.0,-1.0,-1.0,0.0,0.0,0.55
25,-1.0,-1.0,-1.0,0.0,0.0,0.6
26,-1.0,-1.0,-1.0,0.0,0.0,0.6
27,-1.0,-1.0,-1.0,0.0,0.0,0.45
28,-1.0,-1.0,-1.0,0.0,0.0,0.05
29,-1.0,-1.0,-1.0,0.0,0.0,0.4
30,-1.0,-1.0,-1.0,0.0,0.0,0.65
Mean,-1.0,-1.0,-1.0,0.0,0.0,0.5016666666666666
Std,0.0,0.0,0.0,0.0,0.0,0.1485952743378993
