Execution,HD_P1,HD_P2,HD_BM,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT
1,0.125,0.25,0.0,0.1125,0.0625,0.95
2,0.375,0.375,0.0,0.1725,0.0775,1.0
3,0.125,0.5,0.0,0.14,0.07,0.95
4,0.125,0.5,0.0,0.1225,0.075,0.35
5,0.5,0.125,0.0,0.2,0.0775,0.9
6,0.125,0.0,0.25,0.17,0.0675,0.9
7,0.25,0.25,0.0,0.155,0.065,1.0
8,0.25,0.375,0.0,0.185,0.09,1.0
9,0.125,0.125,0.0,0.13,0.08,0.95
10,0.5,0.125,0.0,0.1875,0.0825,0.9
11,0.125,0.125,0.0,0.1675,0.075,0.9
12,0.125,0.5,0.0,0.19,0.0825,1.0
13,0.125,0.25,0.0,0.2125,0.0675,0.7
14,0.0,0.375,0.25,0.105,0.0575,0.75
15,0.125,0.5,0.25,0.1225,0.0725,0.65
16,0.25,0.375,0.0,0.18,0.1225,1.0
17,0.375,0.25,0.0,0.125,0.08,0.95
18,0.25,0.25,0.0,0.135,0.105,0.8
19,0.0,0.0,0.25,0.07,0.065,0.95
20,0.0,0.125,0.25,0.1425,0.12,1.0
21,0.25,0.25,0.0,0.1325,0.07,0.75
22,0.125,0.25,0.0,0.1625,0.1175,0.9
23,0.125,0.375,0.0,0.19,0.08,0.8
24,0.125,0.25,0.0,0.1775,0.0575,1.0
25,0.25,0.125,0.0,0.1725,0.0775,0.95
26,0.25,0.5,0.25,0.1175,0.1025,1.0
27,0.125,0.5,0.0,0.16,0.0825,0.75
28,0.25,0.5,0.0,0.165,0.1225,0.9
29,0.125,0.375,0.0,0.1275,0.075,0.75
30,0.25,0.125,0.0,0.1575,0.0675,0.9
Mean,0.19166666666666668,0.2875,0.05,0.15291666666666667,0.08158333333333334,0.8766666666666666
Std,0.12388390622765422,0.15528870961320185,0.1,0.03190535047431526,0.01860200855343912,0.1406729856400613
