Execution,HD_P1,HD_P2,HD_BM,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT
1,-1.0,-1.0,-1.0,0.05,0.0,0.75
2,-1.0,-1.0,-1.0,0.0925,0.0,0.4
3,-1.0,-1.0,-1.0,0.0775,0.0,0.15
4,-1.0,-1.0,-1.0,0.08,0.0,0.25
5,-1.0,-1.0,-1.0,0.0725,0.0,0.95
6,-1.0,-1.0,-1.0,0.065,0.0,0.05
7,-1.0,-1.0,-1.0,0.0925,0.0,0.65
8,-1.0,-1.0,-1.0,0.055,0.0,0.95
9,-1.0,-1.0,-1.0,0.105,0.0,0.9
10,-1.0,-1.0,-1.0,0.085,0.0,0.35
11,-1.0,-1.0,-1.0,0.0675,0.0,0.45
12,-1.0,-1.0,-1.0,0.065,0.0,0.35
13,-1.0,-1.0,-1.0,0.05,0.0,0.8
14,-1.0,-1.0,-1.0,0.045,0.0,0.95
15,-1.0,-1.0,-1.0,0.1375,0.0,0.45
16,-1.0,-1.0,-1.0,0.02,0.0,0.8
17,-1.0,-1.0,-1.0,0.0975,0.0,0.95
18,-1.0,-1.0,-1.0,0.09,0.0,1.0
19,-1.0,-1.0,-1.0,0.1,0.0,0.25
20,-1.0,-1.0,-1.0,0.065,0.0,1.0
21,-1.0,-1.0,-1.0,0.105,0.0,0.75
22,-1.0,-1.0,-1.0,0.0575,0.0,0.65
23,-1.0,-1.0,-1.0,0.0525,0.0,0.5
24,-1.0,-1.0,-1.0,0.0875,0.0,1.0
25,-1.0,-1.0,-1.0,0.0675,0.0,0.65
26,-1.0,-1.0,-1.0,0.055,0.0,0.95
27,-1.0,-1.0,-1.0,0.0675,0.0,0.65
28,-1.0,-1.0,-1.0,0.1025,0.0,0.05
29,-1.0,-1.0,-1.0,0.075,0.0,0.5
30,-1.0,-1.0,-1.0,0.1175,0.0,0.35
Mean,-1.0,-1.0,-1.0,0.07666666666666669,0.0,0.6150000000000001
Std,0.0,0.0,0.0,0.024292774417280723,0.0,0.29753151093623675
