Execution,HD_P1,HD_P2,HD_BM,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT
1,0.125,0.375,0.0,0.1,0.1125,0.55
2,0.125,0.125,0.125,0.195,0.0825,0.45
3,0.625,0.125,0.0,0.11,0.07,0.55
4,0.25,0.25,0.0,0.135,0.0575,0.25
5,0.125,0.125,0.0,0.145,0.1025,0.65
6,0.125,0.125,0.125,0.1575,0.095,0.4
7,0.125,0.5,0.0,0.1775,0.0975,0.6
8,0.125,0.125,0.0,0.155,0.06,0.65
9,0.0,0.25,0.25,0.11,0.1025,0.7
10,0.25,0.375,0.0,0.2125,0.085,0.7
11,0.125,0.375,0.125,0.2175,0.0975,0.35
12,0.125,0.375,0.25,0.1225,0.0925,0.3
13,0.0,0.0,0.125,0.1475,0.09,0.35
14,0.25,0.375,0.0,0.1075,0.0575,0.35
15,0.25,0.25,0.0,0.1525,0.0975,0.6
16,0.375,0.125,0.0,0.175,0.075,0.1
17,0.25,0.125,0.0,0.2025,0.0975,0.5
18,0.125,0.25,0.0,0.21,0.0725,0.3
19,0.125,0.125,0.0,0.145,0.0775,0.45
20,0.5,0.125,0.0,0.1275,0.09,0.45
21,0.375,0.0,0.25,0.1625,0.095,0.65
22,0.125,0.25,0.0,0.2175,0.0725,0.35
23,0.375,0.25,0.125,0.1175,0.0525,0.25
24,0.125,0.125,0.125,0.1575,0.07,0.65
25,0.25,0.125,0.0,0.14,0.1025,0.7
26,0.25,0.25,0.0,0.17,0.0825,0.25
27,0.125,0.25,0.0,0.125,0.095,0.35
28,0.25,0.125,0.0,0.1575,0.0725,0.65
29,0.125,0.625,0.0,0.09,0.06,0.45
30,0.0,0.375,0.125,0.14,0.08,0.7
Mean,0.2,0.22916666666666666,0.05416666666666667,0.15275,0.08316666666666667,0.4749999999999999
Std,0.13919410907075053,0.14099103596407192,0.0834374349770866,0.035516134830993834,0.015849991237291656,0.1672074559741082
