Execution,HD_P1,HD_P2,HD_BM,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT
1,0.25,0.125,0.0,0.155,0.1125,0.45
2,0.5,0.125,0.25,0.145,0.0675,1.0
3,0.125,0.125,0.0,0.21,0.08,0.5
4,0.125,0.25,0.0,0.175,0.0625,0.45
5,0.125,0.25,0.0,0.1775,0.09,0.95
6,0.25,0.375,0.0,0.19,0.0525,0.8
7,0.25,0.5,0.0,0.2125,0.1025,0.65
8,0.25,0.375,0.0,0.1775,0.07,0.9
9,0.125,0.125,0.0,0.17,0.0775,1.0
10,0.125,0.375,0.0,0.1875,0.085,0.8
11,0.5,0.5,0.0,0.195,0.09,0.95
12,0.0,0.0,0.25,0.21,0.1,0.6
13,0.125,0.375,0.25,0.245,0.1075,0.8
14,0.125,0.25,0.0,0.23,0.07,0.5
15,0.25,0.125,0.0,0.2175,0.0675,1.0
16,0.0,0.625,0.25,0.1725,0.0525,0.95
17,0.375,0.25,0.0,0.225,0.12,0.95
18,0.125,0.25,0.0,0.16,0.06,0.9
19,0.125,0.25,0.0,0.1775,0.0725,1.0
20,0.125,0.375,0.0,0.2325,0.0775,0.5
21,0.125,0.5,0.0,0.18,0.085,0.8
22,0.25,0.125,0.0,0.2025,0.1025,1.0
23,0.125,0.125,0.0,0.1625,0.09,0.6
24,0.125,0.25,0.0,0.1825,0.1,1.0
25,0.125,0.25,0.25,0.1625,0.07,0.95
26,0.25,0.125,0.25,0.22,0.07,0.85
27,0.125,0.25,0.0,0.2,0.07,0.85
28,0.25,0.5,0.0,0.205,0.1,0.8
29,0.25,0.25,0.25,0.19,0.1,0.45
30,0.125,0.25,0.0,0.2225,0.09,0.9
Mean,0.1875,0.275,0.058333333333333334,0.19308333333333336,0.08316666666666665,0.7949999999999999
Std,0.1152443057161611,0.1457737973711325,0.10573814617041265,0.02524614932134316,0.017582345943840623,0.19379972480200622
