Execution,HD_P1,HD_P2,HD_BM,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT
1,-1.0,-1.0,-1.0,0.1,0.0,0.95
2,-1.0,-1.0,-1.0,0.1125,0.0,0.5
3,-1.0,-1.0,-1.0,0.0725,0.0,0.7
4,-1.0,-1.0,-1.0,0.1275,0.0,0.75
5,-1.0,-1.0,-1.0,0.115,0.0,0.65
6,0.25,0.125,-1.0,0.15,0.0,0.9
7,-1.0,-1.0,-1.0,0.09,0.0,0.9
8,-1.0,-1.0,-1.0,0.0675,0.0,0.9
9,-1.0,-1.0,-1.0,0.12,0.0,1.0
10,-1.0,-1.0,-1.0,0.11,0.0,0.3
11,-1.0,-1.0,-1.0,0.1225,0.0,1.0
12,-1.0,-1.0,-1.0,0.0775,0.0,0.7
13,-1.0,-1.0,-1.0,0.0775,0.0,0.7
14,-1.0,-1.0,-1.0,0.1425,0.0,0.3
15,-1.0,-1.0,-1.0,0.1625,0.0,1.0
16,-1.0,-1.0,-1.0,0.11,0.0,0.95
17,-1.0,-1.0,-1.0,0.115,0.0,1.0
18,-1.0,-1.0,-1.0,0.09,0.0,0.95
19,-1.0,-1.0,-1.0,0.1,0.0,0.9
20,-1.0,-1.0,-1.0,0.145,0.0,0.5
21,-1.0,-1.0,-1.0,0.12,0.0,0.9
22,-1.0,-1.0,-1.0,0.1275,0.0,0.7
23,-1.0,-1.0,-1.0,0.06,0.0,0.8
24,-1.0,-1.0,-1.0,0.0975,0.0,0.6
25,-1.0,-1.0,-1.0,0.115,0.0,0.7
26,-1.0,-1.0,-1.0,0.0725,0.0,0.6
27,-1.0,-1.0,-1.0,0.0525,0.0,0.95
28,-1.0,-1.0,-1.0,0.145,0.0,0.7
29,-1.0,-1.0,-1.0,0.095,0.0,0.85
30,-1.0,-1.0,-1.0,0.075,0.0,1.0
Mean,-0.9583333333333334,-0.9625,-1.0,0.10558333333333335,0.0,0.7783333333333334
Std,0.22438186696393772,0.20194368026754392,0.0,0.02797084295396825,0.0,0.19777231577975946
