Execution,HD_P1,HD_P2,HD_BM,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT
1,0.25,0.0,0.125,0.2025,0.1225,0.85
2,0.125,0.0,0.125,0.14,0.0825,0.8
3,0.125,0.125,0.0,0.1625,0.0775,1.0
4,0.375,0.25,0.0,0.235,0.11,0.85
5,0.125,0.0,0.125,0.22,0.095,0.9
6,0.125,0.125,0.0,0.1975,0.075,1.0
7,0.125,0.125,0.125,0.1375,0.065,0.75
8,0.125,0.125,0.125,0.08,0.0725,0.85
9,0.25,0.0,0.125,0.1975,0.075,1.0
10,0.125,0.25,0.125,0.1275,0.0675,1.0
11,0.25,0.375,0.0,0.155,0.08,0.9
12,0.125,0.125,0.0,0.1775,0.055,1.0
13,0.375,0.125,0.0,0.225,0.055,1.0
14,0.25,0.125,0.0,0.18,0.0725,1.0
15,0.375,0.375,0.125,0.185,0.0675,0.9
16,0.125,0.125,0.0,0.26,0.065,1.0
17,0.125,0.25,0.125,0.1925,0.08,1.0
18,0.75,0.25,0.0,0.1175,0.06,0.85
19,0.25,0.0,0.25,0.1575,0.0475,1.0
20,0.125,0.25,0.125,0.135,0.11,0.8
21,0.375,0.125,0.0,0.255,0.0875,0.6
22,0.25,0.25,0.0,0.125,0.055,1.0
23,0.375,0.375,0.0,0.205,0.0525,1.0
24,0.125,0.125,0.0,0.1775,0.0625,1.0
25,0.125,0.25,0.0,0.215,0.085,0.95
26,0.25,0.25,0.0,0.1925,0.0375,1.0
27,0.125,0.25,0.0,0.1625,0.085,0.95
28,0.0,0.125,0.125,0.25,0.0825,0.55
29,0.0,0.25,0.25,0.095,0.08,1.0
30,0.5,0.5,0.0,0.0625,0.02,0.95
Mean,0.22083333333333333,0.18333333333333332,0.0625,0.17416666666666664,0.07275000000000001,0.9149999999999999
Std,0.15371555621413932,0.12388390622765422,0.07739239842086129,0.049587184724370965,0.020900059808526862,0.11772142257606867
