Execution,Accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,FLOPs,Num_Params
1,0.7013999819755554,0.7142101,0.7015,0.702626381,826031980.0,5634340.0
2,0.6969000101089478,0.707799728,0.6969,0.697574049,1794661292.0,7363236.0
3,0.6948000192642212,0.705500687,0.6948,0.695635644,787529452.0,5412388.0
4,0.70169997215271,0.71388705,0.7017,0.702892585,1711829932.0,7762596.0
5,0.7181000113487244,0.728300939,0.7181,0.718780999,1357033132.0,6750372.0
6,0.7020999789237976,0.715917639,0.7023,0.703585695,1262510700.0,6576932.0
7,0.6905999779701233,0.69963969,0.6906,0.690388679,520056236.0,5154468.0
8,0.7125999927520752,0.724701989,0.7126,0.713825344,1252956396.0,5453348.0
9,0.7152000069618225,0.728920014,0.7152,0.716791052,1656732716.0,10055076.0
10,0.7103000283241272,0.721382688,0.7103,0.711174372,1044239468.0,4077348.0
11,0.680400013923645,0.694341958,0.6803,0.681380927,771582060.0,6419236.0
12,0.7002999782562256,0.711685941,0.7002,0.701050256,838524204.0,5567396.0
13,0.7077000141143799,0.719672992,0.7077,0.708747755,723324332.0,5687972.0
14,0.7085000276565552,0.720174354,0.7085,0.709849031,946049324.0,5371812.0
15,0.7106999754905701,0.723206764,0.7107,0.712035947,595000876.0,3234212.0
16,0.718999981880188,0.73084035,0.719,0.720180196,1272682412.0,5955236.0
17,0.7041000127792358,0.715581319,0.704,0.704921959,1438509996.0,8285860.0
18,0.7214000225067139,0.733365443,0.7214,0.721911502,709877996.0,3922468.0
19,0.7052000164985657,0.716922822,0.7052,0.706493644,944053164.0,2875044.0
20,0.7146000266075134,0.726828287,0.7146,0.715917187,1205168492.0,7679268.0
21,0.6837000250816345,0.694860713,0.6837,0.683877561,1061036716.0,7860388.0
22,0.7132999897003174,0.726667555,0.7132,0.714892044,1081667692.0,4695844.0
23,0.7059000134468079,0.717188718,0.706,0.706973414,683488876.0,3172132.0
24,0.6998999714851379,0.713831654,0.6999,0.700877573,729320108.0,3480740.0
25,0.7032999992370605,0.715734164,0.7032,0.70456894,992276076.0,4213540.0
26,0.711899995803833,0.724781944,0.712,0.713150784,1265040812.0,8481444.0
27,0.7145000100135803,0.725629299,0.7145,0.715095812,892198700.0,7797668.0
28,0.7080000042915344,0.720629298,0.7079,0.70913895,1004250220.0,10180388.0
29,0.6980999708175659,0.709728023,0.6981,0.698682047,920268332.0,6019492.0
30,0.7161999940872192,0.729380949,0.7162,0.717511463,1946956588.0,6865828.0
Mean,0.705680000782013,0.7177104357,0.7056766666666666,0.7066843930666667,1074495276.0,6066869.066666666
Std,0.009774710315732295,0.009958428834963715,0.009781638694797281,0.009955993542234583,358595860.01995975,1900040.630964558
