Execution,Accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,FLOPs,Num_Params
1,0.7142999768257141,0.730198108,0.7194,0.720169754,3303879148.0,7751716.0
2,0.692799985408783,0.706891151,0.6942,0.695019143,1228024044.0,7874084.0
3,0.7008000016212463,0.71530984,0.7023,0.703611278,662085868.0,4633124.0
4,0.6983000040054321,0.712787472,0.6992,0.700237087,787087468.0,6087460.0
5,0.6941999793052673,0.707406524,0.6956,0.696348324,1293456108.0,2327076.0
6,0.6843000054359436,0.695815472,0.6831,0.684061211,716420524.0,4287140.0
7,0.7017999887466431,0.713555279,0.7021,0.702675313,1159461292.0,5720740.0
8,0.7138000130653381,0.728765959,0.7173,0.718377013,631068460.0,3052452.0
9,0.7084000110626221,0.724124838,0.7103,0.711676952,881891884.0,4101540.0
10,0.7035999894142151,0.716458119,0.7041,0.705420996,1190338732.0,6325412.0
11,0.6952000260353088,0.708176741,0.6962,0.697050386,967572140.0,4803748.0
12,0.685699999332428,0.700634178,0.688,0.688854777,711404204.0,3728036.0
13,0.6801999807357788,0.694761888,0.6813,0.682251315,959905580.0,2870692.0
14,0.7073000073432922,0.722498708,0.7113,0.712309367,731716140.0,3803556.0
15,0.7222999930381775,0.731916851,0.7236,0.723907151,971972332.0,7988772.0
16,0.7067000269889832,0.720217566,0.7075,0.709594347,1271852396.0,7269668.0
17,0.6996999979019165,0.712991812,0.7022,0.70285763,1760597036.0,7867812.0
18,0.7031000256538391,0.718110638,0.705,0.706282127,1099871596.0,5036324.0
19,0.6848000288009644,0.69997645,0.6862,0.687609857,1311721708.0,7548452.0
20,0.6972000002861023,0.70845921,0.6971,0.697489943,974160108.0,8116772.0
21,0.7024000287055969,0.71195715,0.7013,0.701007266,573040556.0,4947620.0
22,0.6977999806404114,0.708010758,0.6975,0.697752236,613349932.0,3563940.0
23,0.7059999704360962,0.720604214,0.707,0.708827391,4189218988.0,11240612.0
24,0.6873999834060669,0.699560439,0.6871,0.687996691,627230316.0,6303524.0
25,0.6980999708175659,0.708022062,0.6952,0.695740515,1289061676.0,4433828.0
26,0.6797000169754028,0.692508337,0.6799,0.679972495,768742060.0,5942436.0
27,0.7038000226020813,0.715425171,0.7052,0.706200464,797171308.0,5283620.0
28,0.6966999769210815,0.709060628,0.6976,0.698491934,1094099948.0,4379684.0
29,0.7039999961853027,0.714187982,0.7025,0.703718291,391873708.0,2278564.0
30,0.6776999831199646,0.693854974,0.68,0.681207586,1827949868.0,4506020.0
Mean,0.6982699990272522,0.7114082839666666,0.6993100000000001,0.7002239613333334,1159540837.6,5469147.466666667
Std,0.010568354748136968,0.010484013144282675,0.01110613494125357,0.011175460968745013,773243683.7152195,2026899.8371905098
