Execution,Accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,FLOPs,Num_Params
1,0.6937000155448914,0.709648973,0.6954,0.697412821,2139119404.0,8096676.0
2,0.7124999761581421,0.721686797,0.7105,0.711348342,1000963500.0,7428772.0
3,0.7035999894142151,0.717350238,0.7047,0.705632524,1030744940.0,4046116.0
4,0.703499972820282,0.717799549,0.7063,0.707396049,845020076.0,4497060.0
5,0.7063999772071838,0.721563981,0.7092,0.71060118,714016812.0,3984804.0
6,0.7188000082969666,0.738701439,0.7259,0.727696495,759906540.0,6615588.0
7,0.697700023651123,0.710759706,0.6972,0.698123685,822047596.0,4305700.0
8,0.7049999833106995,0.718157923,0.7083,0.708685341,2937042412.0,7579684.0
9,0.6808000206947327,0.691490629,0.68,0.679546002,512874540.0,2902436.0
10,0.7027999758720398,0.716271627,0.7053,0.706207733,1982522668.0,6889380.0
11,0.7138000130653381,0.724654748,0.7136,0.71419637,899440940.0,5175204.0
12,0.6952999830245972,0.707859417,0.696,0.697014067,1043152108.0,6036004.0
13,0.708299994468689,0.719884683,0.7091,0.709788849,1359351020.0,5585444.0
14,0.7017999887466431,0.714897261,0.7015,0.702840193,1057014124.0,7040292.0
15,0.6816999912261963,0.697414079,0.6834,0.684249056,801640684.0,3194404.0
16,0.7153000235557556,0.728885587,0.7167,0.717978839,2806211052.0,9352228.0
17,0.707099974155426,0.714927494,0.7053,0.705515422,1754693356.0,5761572.0
18,0.7134000062942505,0.72421467,0.7154,0.715793425,875943468.0,2954660.0
19,0.7020000219345093,0.711681968,0.702,0.702113421,938849260.0,3297316.0
20,0.6963000297546387,0.708067701,0.6966,0.697497719,1087638380.0,3853604.0
21,0.7170000076293945,0.72772462,0.7171,0.717717023,3001334444.0,8632484.0
22,0.7146000266075134,0.726877243,0.7146,0.715640823,3038257132.0,11459620.0
23,0.7235999703407288,0.735134868,0.7236,0.725136661,1143278828.0,6613540.0
24,0.7132999897003174,0.723629612,0.7133,0.713839803,1175245548.0,6905380.0
25,0.711899995803833,0.724526099,0.712,0.713527199,2252745324.0,9997092.0
26,0.705299973487854,0.719925345,0.7053,0.707183945,826541804.0,3532324.0
27,0.7188000082969666,0.728757011,0.7188,0.720063903,741000556.0,4269348.0
28,0.7156000137329102,0.72907038,0.7156,0.717173101,1010598572.0,5498020.0
29,0.6805999875068665,0.694756085,0.6806,0.681219231,596633772.0,5910692.0
30,0.7210000157356262,0.729961262,0.7208,0.721725066,1275474348.0,6152868.0
Mean,0.7060499986012777,0.7185426998333333,0.7068033333333333,0.7077621429333334,1347643440.2666667,5918943.733333333
Std,0.011321683076768202,0.011000270805269607,0.011552041185676041,0.011753943366865225,752363854.6496103,2145335.063155449
