Execution,Accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,FLOPs,Num_Params
1,0.7121000289916992,0.723855786,0.7121,0.713021906,1871733804.0,6414756.0
2,0.7091000080108643,0.719547844,0.7092,0.710114902,579666412.0,6162468.0
3,0.6819000244140625,0.695545164,0.682,0.683526755,1737117228.0,4594084.0
4,0.6693999767303467,0.683281145,0.6693,0.670635334,1154886124.0,3732516.0
5,0.694599986076355,0.703444747,0.6945,0.694357028,827730604.0,3622052.0
6,0.6765999794006348,0.690747785,0.6765,0.67726371,924281644.0,3988900.0
7,0.6998999714851379,0.711274851,0.6998,0.70018334,711959340.0,5839780.0
8,0.6951000094413757,0.706526993,0.6949,0.695136244,2354156908.0,6969636.0
9,0.7164000272750854,0.726989651,0.7162,0.717250446,723581740.0,4180900.0
10,0.6935999989509583,0.707731796,0.6936,0.694948285,928700396.0,3038756.0
11,0.7081000208854675,0.718535545,0.708,0.709071269,301938284.0,2055972.0
12,0.7124999761581421,0.725681034,0.7125,0.714421971,1002332588.0,6702756.0
13,0.6819999814033508,0.692604774,0.682,0.681764303,598100204.0,4580900.0
14,0.6759999990463257,0.685158436,0.676,0.675062416,487832748.0,2725540.0
15,0.6650000214576721,0.679995644,0.665,0.666127269,785281004.0,2691108.0
16,0.6814000010490417,0.696905498,0.6818,0.683218303,1438183660.0,5288484.0
17,0.6866999864578247,0.69847021,0.6868,0.687249571,1150552044.0,5645348.0
18,0.708899974822998,0.720041791,0.7089,0.709247499,1040900396.0,8945572.0
19,0.6924999952316284,0.706876136,0.6925,0.693914638,631888556.0,4377764.0
20,0.6937000155448914,0.7054752,0.6937,0.694429364,1654934828.0,5725092.0
21,0.6855999827384949,0.695667084,0.6856,0.685820806,842845548.0,5657892.0
22,0.6933000087738037,0.704572716,0.6933,0.693473929,986562860.0,2590628.0
23,0.6615999937057495,0.674388972,0.6616,0.661002592,869130028.0,4101540.0
24,0.6945000290870667,0.705888432,0.6945,0.695226424,715303020.0,4730660.0
25,0.6870999932289124,0.701021622,0.6872,0.688650112,1263016236.0,3820964.0
26,0.673799991607666,0.686749802,0.6738,0.674203769,397609068.0,3326756.0
27,0.6868000030517578,0.698641715,0.687,0.68737309,811216812.0,3348132.0
28,0.6597999930381775,0.675488358,0.6599,0.661481691,3496120620.0,5277604.0
29,0.6956999897956848,0.708184501,0.6956,0.69603845,1135570668.0,3435044.0
30,0.6747000217437744,0.686235466,0.6747,0.674703136,629789868.0,1969316.0
Mean,0.688946666320165,0.7011842899333334,0.6889500000000001,0.6896306184000002,1068430774.6666666,4518030.666666667
Std,0.015102093771621597,0.014374741365438239,0.015073259988027356,0.015215604991792524,635397185.301898,1582745.8354938596
