Execution,Accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,FLOPs,Num_Params
1,0.6948000192642212,0.70922229,0.6948,0.695566896,997137196.0,6222756.0
2,0.6922000050544739,0.704539052,0.6922,0.692787829,1655861868.0,6932260.0
3,0.6935999989509583,0.705810246,0.6938,0.694550807,708803180.0,3290916.0
4,0.7039999961853027,0.714282133,0.704,0.704727265,922904492.0,4890276.0
5,0.6679999828338623,0.68082399,0.668,0.668347613,1277041132.0,4692004.0
6,0.7024000287055969,0.714857309,0.7024,0.70329347,2127739244.0,5274916.0
7,0.6875,0.700982548,0.6874,0.688393525,1386721068.0,7689124.0
8,0.6917999982833862,0.703039799,0.6917,0.69219819,872908460.0,4382884.0
9,0.6995999813079834,0.710571203,0.6996,0.6997615,301458156.0,2643492.0
10,0.690500020980835,0.701820904,0.6903,0.690767423,1609185516.0,4906020.0
11,0.6897000074386597,0.702258961,0.6897,0.690175968,999232172.0,3980452.0
12,0.6866000294685364,0.698113439,0.6864,0.686931529,1728761900.0,3814820.0
13,0.7049000263214111,0.713638457,0.7048,0.705089128,1206637868.0,5642148.0
14,0.6747999787330627,0.687127053,0.6747,0.675187031,785291372.0,6218532.0
15,0.6984999775886536,0.711027049,0.6985,0.699800618,1095085036.0,5401636.0
16,0.6650000214576721,0.678338264,0.6648,0.664941313,641611948.0,4371108.0
17,0.7005000114440918,0.710536111,0.7006,0.700833492,1098398252.0,6837668.0
18,0.6887999773025513,0.701631303,0.6887,0.68959642,566663916.0,3551780.0
19,0.6884999871253967,0.699886688,0.6885,0.689022648,1616068204.0,4690724.0
20,0.6841999888420105,0.69646465,0.6843,0.684597791,1682167596.0,5879716.0
21,0.694100022315979,0.704600056,0.6941,0.693718705,1846693164.0,5897124.0
22,0.6977999806404114,0.709235969,0.6978,0.699075188,1351337132.0,5035172.0
23,0.6980999708175659,0.711052808,0.6982,0.699645557,988289580.0,6747556.0
24,0.6916000247001648,0.706385191,0.6916,0.692706237,729217132.0,5976868.0
25,0.6807000041007996,0.688772303,0.6806,0.679531778,1671121324.0,3838628.0
26,0.6815999746322632,0.692998299,0.6816,0.681491022,506882668.0,4185892.0
27,0.6969000101089478,0.709011842,0.6969,0.69765986,652876780.0,3350564.0
28,0.6873000264167786,0.702186653,0.6873,0.688141631,434830508.0,4652196.0
29,0.7045000195503235,0.718167694,0.7046,0.705798187,856639596.0,3987236.0
30,0.6976000070571899,0.712520264,0.6976,0.69960766,627348460.0,6964260.0
Mean,0.6912033359209696,0.7033300842666664,0.6911833333333333,0.6917982093666668,1098163830.6666667,5064957.6
Std,0.009778158379877546,0.009693865452628656,0.009815670577647201,0.010064705413504592,469452133.8933584,1253971.1197821
