Execution,Accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,FLOPs,Num_Params
1,0.7074999809265137,0.720722935,0.7075,0.708267902,873253292.0,5331620.0
2,0.7202000021934509,0.730296826,0.7203,0.720923174,621619116.0,4249252.0
3,0.6970999836921692,0.71059595,0.697,0.698721396,3628678380.0,7930404.0
4,0.7031000256538391,0.714279216,0.7031,0.703671922,935758956.0,4487972.0
5,0.7117999792098999,0.724994794,0.7119,0.713456822,1256849580.0,7177380.0
6,0.7085000276565552,0.721239134,0.7085,0.70929644,1009318828.0,6375076.0
7,0.690500020980835,0.702607696,0.6905,0.69152467,1304101292.0,6107812.0
8,0.682200014591217,0.693165885,0.6823,0.682638016,1621216492.0,3547684.0
9,0.7059000134468079,0.719210515,0.7059,0.707067147,788953452.0,6790436.0
10,0.7156999707221985,0.726782939,0.7157,0.716799371,932332972.0,7483044.0
11,0.7027000188827515,0.71399675,0.7026,0.703299743,1108592812.0,4767908.0
12,0.695900022983551,0.709903396,0.6958,0.697387987,1907880620.0,3960996.0
13,0.6919000148773193,0.705191599,0.692,0.693015884,557651564.0,4433700.0
14,0.6859999895095825,0.69880493,0.686,0.687073915,695906156.0,5380388.0
15,0.7044000029563904,0.715919207,0.7044,0.705627236,1035184044.0,5593764.0
16,0.6833999752998352,0.695679376,0.6834,0.683590142,1071693292.0,4963364.0
17,0.6951000094413757,0.707984908,0.6952,0.696293601,1013257708.0,4755492.0
18,0.7111999988555908,0.722278327,0.7112,0.711970445,1199690092.0,4342052.0
19,0.7037000060081482,0.718211858,0.7038,0.705814835,1328383852.0,5951780.0
20,0.7138000130653381,0.728628669,0.714,0.716056789,2022240940.0,7696548.0
21,0.7001000046730042,0.713396342,0.7001,0.70106259,911554732.0,6206628.0
22,0.7080000042915344,0.71862058,0.7078,0.708193056,1121019628.0,6527524.0
23,0.699400007724762,0.713503705,0.6994,0.701418467,1486731820.0,7642532.0
24,0.6859999895095825,0.700111948,0.686,0.68740845,886960620.0,4022308.0
25,0.7024999856948853,0.714839585,0.7026,0.70355307,640617388.0,2667172.0
26,0.711899995803833,0.723291982,0.7118,0.712800342,1293980268.0,4927268.0
27,0.7055000066757202,0.717923548,0.7055,0.706291528,1437369388.0,4776356.0
28,0.6988999843597412,0.713736112,0.6989,0.700184989,1414193324.0,8756388.0
29,0.6970000267028809,0.709328418,0.6972,0.697876734,1908063468.0,6285860.0
30,0.6972000002861023,0.709547347,0.6973,0.698240061,2206758700.0,4723620.0
Mean,0.7012366692225138,0.7138264825666666,0.7012566666666664,0.7023175574666669,1273993759.2,5595410.933333334
Std,0.00953423491396261,0.009326077624890518,0.009532949292963964,0.009606872853830916,601929043.9419985,1436610.4641545422
