Execution,Accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,FLOPs,Num_Params
1,0.683899998664856,0.699642726,0.684,0.685811601,792186668.0,5119908.0
2,0.6898999810218811,0.70466707,0.6898,0.691376075,515523436.0,2391332.0
3,0.6905999779701233,0.702281467,0.6905,0.69120575,479848428.0,2486308.0
4,0.6991999745368958,0.710633956,0.6991,0.700331754,432562412.0,4323876.0
5,0.6776000261306763,0.688284012,0.6777,0.677783753,793428396.0,3843748.0
6,0.6944000124931335,0.706129575,0.6944,0.694960099,798715628.0,3992100.0
7,0.6944000124931335,0.706093371,0.6945,0.694780141,473086764.0,2448804.0
8,0.6945000290870667,0.708595176,0.6947,0.696187462,1639536812.0,5519524.0
9,0.6829000115394592,0.69448381,0.683,0.682875587,827688428.0,2514980.0
10,0.6922000050544739,0.703800341,0.6922,0.693107911,1040331948.0,5970084.0
11,0.6963000297546387,0.70819973,0.6964,0.697039595,1096765164.0,7126564.0
12,0.6825000047683716,0.695894224,0.6825,0.682909675,806890092.0,5534500.0
13,0.6909000277519226,0.702966319,0.6906,0.691485995,1055021292.0,5028388.0
14,0.7044000029563904,0.715469265,0.7045,0.704681181,455500460.0,4999332.0
15,0.6935999989509583,0.706601429,0.6936,0.694817353,934878956.0,6275620.0
16,0.7034000158309937,0.716004116,0.7034,0.70390246,1482295596.0,4947876.0
17,0.6944000124931335,0.70690014,0.6945,0.69552166,3121396588.0,9575716.0
18,0.6959999799728394,0.706953749,0.6959,0.69679362,440824172.0,3161380.0
19,0.6753000020980835,0.695985452,0.6753,0.676459895,895129836.0,2922020.0
20,0.6833000183105469,0.698879691,0.6834,0.684881411,419738028.0,3702436.0
21,0.7003999948501587,0.714069387,0.7003,0.701716343,485184940.0,2626212.0
22,0.6901999711990356,0.702209995,0.6903,0.690678024,752886764.0,4074532.0
23,0.7010999917984009,0.714328682,0.7011,0.702054656,1420375660.0,6471460.0
24,0.6898999810218811,0.70180838,0.6899,0.690741287,1193306604.0,6918180.0
25,0.6754999756813049,0.689007977,0.6755,0.67601935,642078508.0,3165092.0
26,0.6991000175476074,0.710087879,0.6991,0.699645011,1003170668.0,5767460.0
27,0.6765999794006348,0.687225662,0.6766,0.676472874,469258796.0,2291108.0
28,0.7002999782562256,0.711723125,0.7003,0.701086335,1663107180.0,5918500.0
29,0.6732000112533569,0.685813938,0.6732,0.674036146,1029015596.0,2962340.0
30,0.6985999941825867,0.710254225,0.6986,0.700066552,888467052.0,3751204.0
Mean,0.6908200005690257,0.7034998289666666,0.69083,0.6916476518666667,934940029.0666667,4527686.133333334
Std,0.0088493464176164,0.008346047533609275,0.008840480756158009,0.00893675871599024,538247372.605478,1732953.0515146244
