Execution,Accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,FLOPs,Num_Params
1,0.7138000130653381,0.726338997,0.7138,0.71537814,1769991724.0,10954148.0
2,0.7050999999046326,0.715930631,0.7051,0.705965674,552448236.0,5669412.0
3,0.705299973487854,0.717965389,0.7053,0.706650478,2846384684.0,6481316.0
4,0.7131999731063843,0.72973924,0.7133,0.71545562,642329260.0,5739684.0
5,0.6876999735832214,0.699210125,0.6879,0.688457417,641504940.0,4048036.0
6,0.7053999900817871,0.720249411,0.7054,0.707585169,479526060.0,6442148.0
7,0.6942999958992004,0.705364698,0.6943,0.695580324,684010348.0,3620132.0
8,0.7111999988555908,0.721338038,0.7112,0.711970293,1945432236.0,5436580.0
9,0.7027999758720398,0.717516344,0.7028,0.704333461,588417068.0,4364708.0
10,0.6962000131607056,0.70730411,0.6961,0.696574315,521995180.0,2272932.0
11,0.6912999749183655,0.70311227,0.6913,0.692368909,871491820.0,5323300.0
12,0.7077000141143799,0.720977584,0.7076,0.708985744,2301178220.0,8058148.0
13,0.7224000096321106,0.73466736,0.7224,0.723779955,884090732.0,6537508.0
14,0.6972000002861023,0.708353722,0.6973,0.698109015,649759980.0,4348452.0
15,0.6963000297546387,0.708581536,0.6963,0.697002462,1145244716.0,4264356.0
16,0.7091000080108643,0.72013365,0.7091,0.710055012,995043820.0,6006820.0
17,0.6850000023841858,0.698404635,0.6849,0.685552438,859408428.0,2205092.0
18,0.7064999938011169,0.718146887,0.7064,0.70761795,507381036.0,4207524.0
19,0.7092000246047974,0.722729008,0.7092,0.710851718,603948908.0,5919012.0
20,0.7107999920845032,0.723745671,0.7109,0.711689945,747555116.0,4993956.0
21,0.7013999819755554,0.716771104,0.7014,0.703540999,694232556.0,9640996.0
22,0.6924999952316284,0.705236884,0.6925,0.693773065,1394057196.0,4623396.0
23,0.699999988079071,0.713075728,0.7,0.701183839,1291837292.0,4220196.0
24,0.7184000015258789,0.7290764,0.7184,0.71922792,832123884.0,6818852.0
25,0.6995000243186951,0.710816155,0.6995,0.699728835,1344211308.0,8576292.0
26,0.7056000232696533,0.715756541,0.7055,0.705967446,987725164.0,3582244.0
27,0.6920999884605408,0.703015799,0.692,0.692730789,1230617004.0,4773028.0
28,0.7135999798774719,0.724938401,0.7136,0.714294619,702111404.0,5228708.0
29,0.710099995136261,0.721844866,0.71,0.711345764,919156908.0,4917412.0
30,0.7045000195503235,0.716554908,0.7045,0.705252787,842094828.0,4950564.0
Mean,0.7036066651344299,0.7158965364,0.7036,0.7047003367333332,1015843668.5333333,5474165.066666666
Std,0.008938344106031651,0.009154168837312114,0.008938829155245494,0.009105681656028628,551292217.6972002,1900980.6766967226
