Execution,Accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,FLOPs,Num_Params
1,0.6938999891281128,0.70416761,0.6939,0.693745037,2819001516.0,6914212.0
2,0.6730999946594238,0.685347597,0.6731,0.673305467,1617833516.0,4925348.0
3,0.6895999908447266,0.705039813,0.6896,0.691079506,701214508.0,4363172.0
4,0.6973999738693237,0.709993177,0.6974,0.698262173,1004741612.0,6600740.0
5,0.6826000213623047,0.696751595,0.6826,0.683816583,2429826092.0,5698980.0
6,0.6855999827384949,0.69899191,0.6856,0.686319263,1453068524.0,5248548.0
7,0.6891999840736389,0.700509946,0.6892,0.689543554,759305772.0,3404196.0
8,0.6990000009536743,0.708941311,0.6989,0.698829516,504338412.0,4019236.0
9,0.6801999807357788,0.694720451,0.68,0.681540047,1728151660.0,4909860.0
10,0.6827999949455261,0.696386971,0.6828,0.683569698,1775601772.0,5393188.0
11,0.7006000280380249,0.712552268,0.7006,0.701759471,828526956.0,6621476.0
12,0.6996999979019165,0.710561758,0.6998,0.699951929,2430505644.0,11456676.0
13,0.6953999996185303,0.707180128,0.6955,0.696470017,700691628.0,3878564.0
14,0.6714000105857849,0.682016647,0.6715,0.671111776,3126691884.0,7788964.0
15,0.6927000284194946,0.70043841,0.6927,0.692048387,4111076396.0,8051108.0
16,0.6621999740600586,0.673358976,0.6621,0.661294124,1331709356.0,3376804.0
17,0.6855000257492065,0.696466669,0.6856,0.685395215,506682028.0,4446372.0
18,0.6818000078201294,0.693127532,0.6817,0.681765155,1006089644.0,4578980.0
19,0.6934999823570251,0.708134607,0.6934,0.694463221,1517563372.0,5512228.0
20,0.6827999949455261,0.6976906,0.6828,0.684373624,775425452.0,2548388.0
21,0.6924999952316284,0.705469394,0.6925,0.693326809,790902252.0,3339300.0
22,0.671999990940094,0.682468869,0.6719,0.671627556,845927468.0,4604836.0
23,0.6951000094413757,0.707618308,0.6953,0.696479486,1843397612.0,6744100.0
24,0.707099974155426,0.719276074,0.7072,0.708032468,1913580844.0,8941476.0
25,0.6915000081062317,0.702729549,0.6915,0.69153843,3103973740.0,5222692.0
26,0.7032999992370605,0.714420375,0.7032,0.703713252,674829356.0,3945380.0
27,0.6859999895095825,0.695813975,0.686,0.686090961,733591852.0,3962788.0
28,0.6777999997138977,0.690964583,0.6778,0.678362507,686857004.0,4696484.0
29,0.6793000102043152,0.69330049,0.6793,0.680092619,617671212.0,6527396.0
30,0.6891000270843506,0.702126826,0.689,0.689684151,3005729516.0,9353764.0
Mean,0.6877566655476888,0.6998855473,0.6877500000000001,0.6882530667333334,1511483553.3333333,5569175.2
Std,0.010213772147542124,0.0101746153998033,0.010234801740467016,0.010445738253358315,951123252.481753,1985815.8929008231
