Crossover_type,Mutation_type,Accuracy,FLOPs,Num_Params,Operators,Accuracy_diff_pct_vs_HHSE_HHSE,FLOPs_diff_pct_vs_HHSE_HHSE,Num_Params_diff_pct_vs_HHSE_HHSE
SPC,MPAR,0.692799985,505519148,4472228,SPC_MPAR,-3.159071372689912,13.327444744012123,20.829096065041213
SPC,MSWAP,0.705600023,887885292,8496164,SPC_MSWAP,-1.3698571792385883,99.04640954995254,129.54639525094535
SPC,NONE,0.674399972,839132844,5121188,SPC_NONE,-5.731060957352751,88.11707011995468,38.36247096953382
TPC,MPAR,0.67019999,634685164,3110436,TPC_MPAR,-6.318142605597868,42.28392364091869,-15.963325159593268
TPC,MSWAP,0.708599985,1077034476,4695076,TPC_MSWAP,-0.9505166592952468,141.44993428871274,26.849925593388672
TPC,NONE,0.716600001,1421811820,7703332,TPC_NONE,0.16774112830175883,218.7422298540377,108.12593683705438
UC,MPAR,0.7148,1188392940,8018980,UC_MPAR,-0.08386651047451274,166.4143104664833,116.65400439415079
UC,MSWAP,0.711600006,749285420,6334884,UC_MSWAP,-0.5311678922172164,67.97504578905469,71.15368612621998
UC,NONE,0.685599983,496267116,3351844,UC_NONE,-4.1655016482311025,11.25332124266093,-9.441048025496016
NONE,MPAR,0.685800016,769086508,3522980,NONE_MPAR,-4.137540646649816,72.4140600480978,-4.8173552745479675
NONE,MSWAP,0.671599984,886818732,4984484,NONE_MSWAP,-6.122448722849495,98.80730778705319,34.66904998373537
NONE,NONE,0.688000023,918037548,3222948,NONE_NONE,-3.830019391627585,105.80595197137495,-12.92351519094455
HHSE,CROWD,0.715399981,446069484,3701284,HHSE_CROWD,0.0,0.0,0.0
