Crossover_type,Mutation_type,Accuracy,FLOPs,Num_Params,Operators,Accuracy_diff_pct_vs_HHSE_HHSE,FLOPs_diff_pct_vs_HHSE_HHSE,Num_Params_diff_pct_vs_HHSE_HHSE
SPC,MPAR,0.692799985,505519148,4472228,SPC_MPAR,-2.4225344378496176,-65.30236229454783,-20.92373065364733
SPC,MSWAP,0.705600023,887885292,8496164,SPC_MSWAP,-0.6197121310055677,-39.05765526844968,50.22600656200558
SPC,NONE,0.674399972,839132844,5121188,SPC_NONE,-5.014085641261686,-42.40390789735681,-9.449061706757988
TPC,MPAR,0.67019999,634685164,3110436,TPC_MPAR,-5.605632419321528,-56.436712704901346,-45.00242945561098
TPC,MSWAP,0.708599985,1077034476,4695076,TPC_MSWAP,-0.19718225935328026,-26.07490301330877,-16.983415340721425
TPC,NONE,0.716600001,1421811820,7703332,TPC_NONE,0.9295805908749165,-2.410202242844475,36.20744651130882
UC,MPAR,0.7148,1188392940,8018980,UC_MPAR,0.6760593157707667,-18.43152164072496,41.78861685115677
UC,MSWAP,0.711600006,749285420,6334884,UC_MSWAP,0.22535592215840733,-48.570822403076285,12.011058797069376
UC,NONE,0.685599983,496267116,3351844,UC_NONE,-3.4366192565760594,-65.93739987056315,-40.73394313730066
NONE,MPAR,0.685800016,769086508,3522980,NONE_MPAR,-3.408445593770933,-47.21172259386831,-37.707980142825114
NONE,MSWAP,0.671599984,886818732,4984484,NONE_MSWAP,-5.408450159968247,-39.13086142219784,-11.866210905037637
NONE,NONE,0.688000023,918037548,3222948,NONE_NONE,-3.098585443760984,-36.9880757899488,-43.013034188487566
HHSE,SUCCMUT,0.709999979,1456926700,5655588,HHSE_SUCCMUT,0.0,0.0,0.0
