Execution,HD_P1_mean,HD_P2_mean,HD_P1_std,HD_P2_std,HD_BM_mean,HD_BM_std,succ_crossover,succ_mutation
1,3.75,3.75,3.3009793465674164,3.251650707445731,1.0818181818181818,1.084772146047593,6.166666666666667,17.11111111111111
2,3.17,3.24,2.5027459666808722,2.5190987646097933,0.9629629629629629,0.8079734187115377,7.111111111111111,17.22222222222222
3,2.55,2.63,2.705680518965066,2.773084924772409,1.146788990825688,0.9796606373240279,7.611111111111111,14.0
4,3.16,3.26,2.9600709792199584,2.9835237792607154,0.990909090909091,0.9625601808466103,11.277777777777779,14.222222222222221
5,2.85,2.81,2.516109711600049,2.4810188522972867,1.0458715596330275,0.9167709142835241,7.333333333333333,20.77777777777778
6,3.44,3.32,2.6979977611539856,2.624207432057277,1.1926605504587156,0.917697039294191,7.111111111111111,24.333333333333332
7,2.21,2.24,2.825908274477,2.8643401411921112,1.0091743119266054,0.7992521138891253,6.388888888888889,17.11111111111111
8,3.29,3.35,2.735088128508307,2.826194214376241,1.0,0.9861425171952498,8.055555555555555,18.88888888888889
9,3.83,3.64,2.570441930324767,2.4392414783901546,0.9166666666666666,1.0150733134979466,10.555555555555555,14.0
10,2.92,2.92,2.6041148479692944,2.6272849603014636,1.0095238095238095,0.9040000648319209,5.111111111111111,20.77777777777778
Mean,3.117,3.1159999999999997,,,1.0356376124724749,,7.6722222222222225,17.84444444444444
Std,0.45748422724922244,0.4204586240588419,,,0.07588077867447705,,1.7236797351611357,3.0829169798061553
