Execution,HD_P1_mean,HD_P2_mean,HD_P1_std,HD_P2_std,HD_BM_mean,HD_BM_std,succ_crossover,succ_mutation
1,3.55,3.7,2.4756388829528184,2.5839442092985823,1.18348623853211,0.9828637072038514,8.666666666666666,11.0
2,3.25,3.25,2.2490177429448637,2.2219065432345904,1.0,0.8459292702556339,10.5,12.222222222222221
3,3.62,3.78,2.330214365653725,2.455996578157061,0.8545454545454545,0.8656160094964629,10.11111111111111,13.11111111111111
4,3.21,3.21,2.434163411760089,2.48346044010686,1.1238095238095238,0.9970652908105838,9.38888888888889,8.222222222222221
5,3.32,3.4,2.448994846375908,2.5505000500000987,1.1376146788990826,0.8440191535945064,9.666666666666666,18.88888888888889
6,2.69,2.83,2.3341773365329033,2.601689427811836,1.018181818181818,0.9859733530260328,9.38888888888889,20.444444444444443
7,3.13,3.15,2.3980421306987205,2.42201602310175,0.8909090909090909,0.9985811452187158,9.38888888888889,18.77777777777778
8,3.15,3.24,2.2400171355765934,2.331687731401372,0.7798165137614679,0.8205440625668189,9.61111111111111,13.11111111111111
9,3.42,3.52,2.239137640641453,2.376144062564517,1.1090909090909091,0.9418452953999695,10.61111111111111,22.555555555555557
10,3.25,3.31,2.5,2.5214033289965223,1.2037037037037037,1.2362080947171064,9.444444444444445,21.444444444444443
Mean,3.2589999999999995,3.339,,,1.0301157931433162,,9.677777777777779,15.977777777777778
Std,0.23345040353165147,0.25068814382524246,,,0.13284625786350254,,0.5280036730818061,4.5215036780546995
