Execution,HD_P1_mean,HD_P2_mean,HD_P1_std,HD_P2_std,HD_BM_mean,HD_BM_std,succ_crossover,succ_mutation
1,3.36,3.49,2.236158321855597,2.1857897354678855,2.0454545454545454,2.0200207267369907,8.833333333333334,11.333333333333334
2,2.36,2.42,2.4309452790005266,2.4707582772595265,1.518181818181818,1.9849517276584534,10.166666666666666,6.111111111111111
3,2.82,2.86,2.221929273620044,2.269783952696642,1.724770642201835,2.0224277656515417,9.722222222222221,8.555555555555555
4,2.02,1.9,2.737616747199187,2.6457513110645907,1.9357798165137614,2.2413423117582334,8.222222222222221,7.555555555555555
5,2.91,2.69,2.314185503682569,2.144737510722231,1.7272727272727273,1.776033571202517,8.88888888888889,3.5555555555555554
6,2.75,2.75,2.4592640765033345,2.4592640765033345,1.4090909090909092,1.5101822877117956,7.222222222222222,7.333333333333333
7,3.11,2.96,2.453177695985517,2.3264834520205064,1.481818181818182,1.9895682911092771,9.166666666666666,8.11111111111111
8,3.48,3.31,2.5760356356152365,2.5333931412397894,1.7,2.0877537202290584,10.333333333333334,4.0
9,3.61,3.51,2.6926574309414186,2.657161088550156,1.5327102803738317,1.8899823150283002,7.5,5.777777777777778
10,2.89,2.78,2.8600169526939823,2.7287470762349164,1.4220183486238531,1.940282424944652,8.444444444444445,6.555555555555555
Mean,2.931,2.867,,,1.6497097269531467,,8.85,6.888888888888888
Std,0.44534868872093303,0.4466043601953015,,,0.19576101863332823,,0.945201716604954,2.046595267401982
