Execution,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params
1,0.7708719662714391,-99999.0,499773438.0,-359996400.0,9194346.0
2,0.7696609023277147,-99999.0,1704211262.0,-359996400.0,5765450.0
3,0.7740876227289099,-99999.0,238045326.0,-359996400.0,16841898.0
4,0.7820837615453794,-99999.0,594676286.0,-359996400.0,6716458.0
5,0.7805351487688938,-99999.0,401443550.0,-359996400.0,3721226.0
6,0.7673175673253878,-99999.0,341054846.0,-359996400.0,1399370.0
7,0.7799365365507016,-99999.0,2212401438.0,-359996400.0,35687050.0
8,0.7761652945729134,-99999.0,914439390.0,-359996400.0,9909514.0
9,0.7728996687187462,-99999.0,440176510.0,-359996400.0,3850122.0
10,0.7750598494172912,-99999.0,614762686.0,-359996400.0,9974282.0
Mean,0.7748618318227376,-99999.0,796098473.2,-359996400.0,10305971.6
Std,0.004649384406331997,0.0,616990320.8012183,0.0,9414275.053170044
