Execution,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params
1,0.7747884042972357,-99999.0,170435998.0,-359996400.0,1690570.0
2,0.7707965135298447,-99999.0,188803070.0,-359996400.0,2238154.0
3,0.7862847023478536,-99999.0,454445726.0,-359996400.0,11061386.0
4,0.7724880472853557,-99999.0,142769790.0,-359996400.0,8886986.0
5,0.7820248534356804,-99999.0,824841758.0,-359996400.0,17572426.0
6,0.771187889207109,-99999.0,685819614.0,-359996400.0,10417706.0
7,0.7806390290816115,-99999.0,1634260990.0,-359996400.0,35124266.0
8,0.7758854512895094,-99999.0,1081599582.0,-359996400.0,3662858.0
9,0.7774361606130143,-99999.0,333580862.0,-359996400.0,5536810.0
10,0.7764061039988555,-99999.0,1198976798.0,-359996400.0,10544970.0
Mean,0.776793715508607,-99999.0,671553418.8,-359996400.0,10673613.2
Std,0.004728316465251856,0.0,481867188.963235,0.0,9360779.642195929
