Execution,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params
1,0.784040099,-99999.0,1366249854.0,-359996400.0,34860842.0
2,0.788938672,-99999.0,2725204350.0,-359996400.0,19427114.0
3,0.779442492,-99999.0,689213534.0,-359996400.0,10594634.0
4,0.782304365,-99999.0,312201950.0,-359996400.0,2538506.0
5,0.78201734,-99999.0,2389422302.0,-359996400.0,6298954.0
6,0.780460365,-99999.0,2506398558.0,-359996400.0,69498634.0
7,0.783265565,-99999.0,378407518.0,-359996400.0,6503370.0
8,0.7778383,-99999.0,613911838.0,-359996400.0,6733450.0
9,0.785158471,-99999.0,243321358.0,-359996400.0,5108138.0
10,0.783629839,-99999.0,213047774.0,-359996400.0,1720586.0
Mean,0.7827095507999999,-99999.0,1143737903.6,-359996400.0,16328422.8
Std,0.0029636215580043234,0.0,969564136.3599173,0.0,20078921.89311534
