Execution,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params
1,0.778838296831307,-99999.0,221383262.0,-359996400.0,5194186.0
2,0.7769094160866298,-99999.0,361333502.0,-359996400.0,5764266.0
3,0.7819516945800573,-99999.0,1560500798.0,-359996400.0,35052906.0
4,0.7831566318076659,-99999.0,593105470.0,-359996400.0,6274314.0
5,0.7857672080844602,-99999.0,212362526.0,-359996400.0,9480394.0
6,0.7859323826235343,-99999.0,524237022.0,-359996400.0,5185802.0
7,0.7845667507898981,-99999.0,175850494.0,-359996400.0,2859594.0
8,0.7819181023979849,-99999.0,363276254.0,-359996400.0,3843722.0
9,0.7851742472698252,-99999.0,386028894.0,-359996400.0,9839018.0
10,0.7795836295105459,-99999.0,1141560958.0,-359996400.0,68164330.0
Mean,0.7823798359981908,-99999.0,553963918.0,-359996400.0,15165853.2
Std,0.0029660223694254768,0.0,428105608.63908124,0.0,19776634.147617396
