Execution,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params
1,0.7772971744851366,-99999.0,710643614.0,-359996400.0,34220042.0
2,0.7742994705293869,-99999.0,1364911998.0,-359996400.0,5300330.0
3,0.7813040633527659,-99999.0,2044703134.0,-359996400.0,5962538.0
4,0.7798505077298159,-99999.0,330693854.0,-359996400.0,17883402.0
5,0.779137545037253,-99999.0,564450174.0,-359996400.0,34078186.0
6,0.7690963027978391,-99999.0,2242595742.0,-359996400.0,4435274.0
7,0.7806819497535415,-99999.0,328291582.0,-359996400.0,17729642.0
8,0.7709402973259074,-99999.0,1299927518.0,-359996400.0,6300682.0
9,0.7823855803806679,-99999.0,673804894.0,-359996400.0,4088842.0
10,0.778380624269174,-99999.0,392551582.0,-359996400.0,4074122.0
Mean,0.7773373515661488,-99999.0,995257409.2,-359996400.0,13407306.0
Std,0.004255800102352142,0.0,671292163.6315355,0.0,11512013.168426102
