Execution,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params
1,0.7864745508411062,-99999.0,2673678238.0,-359996400.0,36139210.0
2,0.7845548762184192,-99999.0,507633790.0,-359996400.0,5010762.0
3,0.7868680371670458,-99999.0,481357406.0,-359996400.0,7328266.0
4,0.7887110225806596,-99999.0,227381694.0,-359996400.0,5533578.0
5,0.786616637057488,-99999.0,1562450014.0,-359996400.0,68575914.0
6,0.7862619552606576,-99999.0,472108766.0,-359996400.0,5577418.0
7,0.7793695249141208,-99999.0,2646407678.0,-359996400.0,10513450.0
8,0.7746523463083961,-99999.0,1705793342.0,-359996400.0,10052650.0
9,0.7810669232878326,-99999.0,2047595070.0,-359996400.0,35526442.0
10,0.7857908708491932,-99999.0,451373982.0,-359996400.0,3138442.0
Mean,0.7840366744484919,-99999.0,1277577998.0,-359996400.0,18739613.2
Std,0.004116193968063147,0.0,913308527.3734934,0.0,20300426.22510988
